#Created by dcGO at 26/04/2016 10:42:29 (day/month/year hour:min:sec)
GO_ID	GO_name	GO_subontology	slim_level
GO:0043167	ion binding	molecular_function	Least Informative
GO:0003676	nucleic acid binding	molecular_function	Least Informative
GO:0004872	receptor activity	molecular_function	Least Informative
GO:0008307	structural constituent of muscle	molecular_function	Least Informative
GO:0044877	macromolecular complex binding	molecular_function	Least Informative
GO:0008092	cytoskeletal protein binding	molecular_function	Least Informative
GO:0004871	signal transducer activity	molecular_function	Least Informative
GO:0004674	protein serine/threonine kinase activity	molecular_function	Least Informative
GO:0016787	hydrolase activity	molecular_function	Least Informative
GO:0005215	transporter activity	molecular_function	Least Informative
GO:0005102	receptor binding	molecular_function	Least Informative
GO:0098772	molecular function regulator	molecular_function	Least Informative
GO:0019899	enzyme binding	molecular_function	Least Informative
GO:0046983	protein dimerization activity	molecular_function	Least Informative
GO:0036094	small molecule binding	molecular_function	Least Informative
GO:0097367	carbohydrate derivative binding	molecular_function	Least Informative
GO:0016491	oxidoreductase activity	molecular_function	Least Informative
GO:0042802	identical protein binding	molecular_function	Least Informative
GO:1901265	nucleoside phosphate binding	molecular_function	Least Informative
GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular_function	Least Informative
GO:1990837	sequence-specific double-stranded DNA binding	molecular_function	Moderately Informative
GO:0008168	methyltransferase activity	molecular_function	Moderately Informative
GO:0031406	carboxylic acid binding	molecular_function	Moderately Informative
GO:0005219	ryanodine-sensitive calcium-release channel activity	molecular_function	Moderately Informative
GO:0008094	DNA-dependent ATPase activity	molecular_function	Moderately Informative
GO:0019199	transmembrane receptor protein kinase activity	molecular_function	Moderately Informative
GO:0004386	helicase activity	molecular_function	Moderately Informative
GO:0017016	Ras GTPase binding	molecular_function	Moderately Informative
GO:0003713	transcription coactivator activity	molecular_function	Moderately Informative
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	molecular_function	Moderately Informative
GO:0019838	growth factor binding	molecular_function	Moderately Informative
GO:0019900	kinase binding	molecular_function	Moderately Informative
GO:0022853	active ion transmembrane transporter activity	molecular_function	Moderately Informative
GO:0048037	cofactor binding	molecular_function	Moderately Informative
GO:0033218	amide binding	molecular_function	Moderately Informative
GO:0004857	enzyme inhibitor activity	molecular_function	Moderately Informative
GO:0034062	RNA polymerase activity	molecular_function	Moderately Informative
GO:0005244	voltage-gated ion channel activity	molecular_function	Moderately Informative
GO:0042393	histone binding	molecular_function	Moderately Informative
GO:0004721	phosphoprotein phosphatase activity	molecular_function	Moderately Informative
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular_function	Moderately Informative
GO:0044822	poly(A) RNA binding	molecular_function	Moderately Informative
GO:1901981	phosphatidylinositol phosphate binding	molecular_function	Moderately Informative
GO:0017171	serine hydrolase activity	molecular_function	Moderately Informative
GO:0042626	ATPase activity, coupled to transmembrane movement of substances	molecular_function	Moderately Informative
GO:0005539	glycosaminoglycan binding	molecular_function	Moderately Informative
GO:0003774	motor activity	molecular_function	Moderately Informative
GO:0001664	G-protein coupled receptor binding	molecular_function	Moderately Informative
GO:0004540	ribonuclease activity	molecular_function	Moderately Informative
GO:0008509	anion transmembrane transporter activity	molecular_function	Moderately Informative
GO:0004713	protein tyrosine kinase activity	molecular_function	Moderately Informative
GO:0005089	Rho guanyl-nucleotide exchange factor activity	molecular_function	Moderately Informative
GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	Moderately Informative
GO:0019902	phosphatase binding	molecular_function	Moderately Informative
GO:0016853	isomerase activity	molecular_function	Moderately Informative
GO:0016879	ligase activity, forming carbon-nitrogen bonds	molecular_function	Moderately Informative
GO:0046982	protein heterodimerization activity	molecular_function	Moderately Informative
GO:0016298	lipase activity	molecular_function	Moderately Informative
GO:1901681	sulfur compound binding	molecular_function	Moderately Informative
GO:0030165	PDZ domain binding	molecular_function	Moderately Informative
GO:0060589	nucleoside-triphosphatase regulator activity	molecular_function	Moderately Informative
GO:0008234	cysteine-type peptidase activity	molecular_function	Moderately Informative
GO:0008047	enzyme activator activity	molecular_function	Moderately Informative
GO:0003735	structural constituent of ribosome	molecular_function	Moderately Informative
GO:0008237	metallopeptidase activity	molecular_function	Moderately Informative
GO:0016757	transferase activity, transferring glycosyl groups	molecular_function	Moderately Informative
GO:0008081	phosphoric diester hydrolase activity	molecular_function	Moderately Informative
GO:0016407	acetyltransferase activity	molecular_function	Moderately Informative
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	Moderately Informative
GO:0005178	integrin binding	molecular_function	Moderately Informative
GO:0038024	cargo receptor activity	molecular_function	Moderately Informative
GO:0061134	peptidase regulator activity	molecular_function	Moderately Informative
GO:0008017	microtubule binding	molecular_function	Moderately Informative
GO:0004519	endonuclease activity	molecular_function	Moderately Informative
GO:0008134	transcription factor binding	molecular_function	Moderately Informative
