#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
622	32.6071598574	1.44914e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000398846, ENSP00000414946	6.90065639981e-15	E
600	32.6071598574	1.44914e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000352610, ENSP00000414946	6.90065639981e-15	E
653	32.6071598574	1.44914e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000391127, ENSP00000414946	6.90065639981e-15	E
592	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000341619, ENSP00000391127	7.80266667542e-15	E
558	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000368632, ENSP00000391127	7.80266667542e-15	E
615	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000341619, ENSP00000398846	7.80266667543e-15	E
604	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000352610, ENSP00000368632	7.80266667543e-15	E
529	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000341619, ENSP00000352610	7.80266667543e-15	E
588	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000368632, ENSP00000398846	7.80266667543e-15	E
507	32.3978047944	1.17541e+14	ENSP00000269305, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000414946	8.50769970023e-15	E
538	32.3978047944	1.17541e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000391478, ENSP00000414946	8.50769970023e-15	E
292	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000341619, ENSP00000391478	1.55327390993e-14	E
300	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000269305, ENSP00000368632	1.55327390993e-14	E
309	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000368632, ENSP00000391478	1.55327390993e-14	E
267	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000269305, ENSP00000341619	1.55327390993e-14	E
217	31.5798167331	5.18729e+13	ENSP00000341619, ENSP00000391478, ENSP00000414946	1.92779057788e-14	E
238	31.5798167331	5.18729e+13	ENSP00000269305, ENSP00000368632, ENSP00000414946	1.92779057788e-14	E
229	31.5798167331	5.18729e+13	ENSP00000368632, ENSP00000391478, ENSP00000414946	1.92779057788e-14	E
224	31.5798167331	5.18729e+13	ENSP00000269305, ENSP00000341619, ENSP00000414946	1.92779057788e-14	E
193	31.3186216777	3.99489e+13	ENSP00000261769, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000391127	2.50319927606e-14	E
166	31.3186216777	3.99489e+13	ENSP00000261769, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000398846	2.50319927607e-14	E
197	31.3186216777	3.99489e+13	ENSP00000261769, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000352610	2.50319927607e-14	E
82	30.5980702255	1.94345e+13	ENSP00000341619, ENSP00000352610, ENSP00000414946	5.14549243659e-14	E
92	30.5980702255	1.94345e+13	ENSP00000352610, ENSP00000368632, ENSP00000414946	5.14549243659e-14	E
90	30.5980702255	1.94345e+13	ENSP00000368632, ENSP00000391127, ENSP00000414946	5.14549243659e-14	E
87	30.5980702255	1.94345e+13	ENSP00000368632, ENSP00000398846, ENSP00000414946	5.14549243659e-14	E
89	30.5980702255	1.94345e+13	ENSP00000341619, ENSP00000391127, ENSP00000414946	5.14549243659e-14	E
106	30.5980702255	1.94345e+13	ENSP00000341619, ENSP00000398846, ENSP00000414946	5.14549243659e-14	E
58	30.0985209812	1.17929e+13	ENSP00000261769, ENSP00000352610, ENSP00000382423	8.47965971217e-14	E
49	30.0985209812	1.17929e+13	ENSP00000261769, ENSP00000382423, ENSP00000391127	8.47965971217e-14	E
47	30.0985209812	1.17929e+13	ENSP00000261769, ENSP00000382423, ENSP00000398846	8.47965971217e-14	E
46	30.0115554465	1.08107e+13	ENSP00000382423, ENSP00000398846, ENSP00000414946	9.25011381156e-14	E
51	30.0115554465	1.08107e+13	ENSP00000352610, ENSP00000382423, ENSP00000414946	9.25011381156e-14	E
44	30.0115554465	1.08107e+13	ENSP00000382423, ENSP00000391127, ENSP00000414946	9.25011381156e-14	E
36	29.7243563721	8.11193e+12	ENSP00000261769, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000391478	1.23275294708e-13	E
