#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
5688	20.7182186422	9.94966e+08	ENSP00000265140-uc003kkr.3-uc003kks.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.00505995326e-09	E
607	18.5593156622	1.1487e+08	ENSP00000338235-uc003yhz.2-uc010mbf.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	8.70545790845e-09	E
468	18.2462414776	8.39928e+07	ENSP00000273261-uc003dmx.2-uc011bfu.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.19057843197e-08	E
278	17.7400308824	5.06288e+07	ENSP00000386722-uc009ytl.2-uc001oth.3, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.97516089647e-08	E
240	17.7400308824	5.06288e+07	ENSP00000373648-uc003ytj.2-uc010mdt.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.97516089647e-08	E
221	17.3538411604	3.44094e+07	ENSP00000348630-uc003qws.1-uc011egu.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	2.90618023101e-08	E
194	17.3538411604	3.44094e+07	ENSP00000341903-uc002usq.2-uc002usu.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	2.90618023101e-08	E
266	16.9820403508	2.3725e+07	ENSP00000336580-uc004dap.2-uc004dao.2, ENSP00000362590-uc003onn.2-uc003onp.2, ENSP00000467366-uc002lwq.2-uc002lwp.1	4.21496122937e-08	E
108	16.8015331756	1.98067e+07	ENSP00000347999-uc002dbl.2-uc002dbi.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	5.0487847378e-08	E
92	16.3986172727	1.32382e+07	ENSP00000361565-uc004emy.1-uc004emz.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	7.55389611057e-08	E
90	16.3145519099	1.21708e+07	ENSP00000320797-uc002ixw.1-uc010wol.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	8.21637269805e-08	E
67	16.3127458602	1.21489e+07	ENSP00000361519-uc001cjk.1-uc001cjl.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	8.23122528337e-08	E
35	16.0086533626	8.96334e+06	ENSP00000357110-uc003qch.2-uc003qcd.1, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.11565568276e-07	E
42	15.946565473	8.42375e+06	ENSP00000369820-uc004cwr.2-uc010neu.2, ENSP00000404860-uc003fcu.1-uc003fcv.1, ENSP00000440926-uc003xfp.1-uc003xfq.1	1.1871199671e-07	E
