#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
789	22.5966038912	6.50999e+09	ENSP00000265993-uc001klb.3-uc001kla.3, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	1.53610046387e-10	E
552	22.5966038912	6.50999e+09	ENSP00000265993-uc001klb.3-uc001kla.3, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000384164-uc010gci.1-uc002wpg.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	1.53610046387e-10	E
404	22.2370140866	4.54373e+09	ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000401514, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	2.200835021e-10	E
242	21.8176187989	2.98725e+09	ENSP00000265993-uc001klb.3-uc001kla.3, ENSP00000374359-uc003eiv.2-uc003eix.2, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	3.34756136837e-10	E
89	21.4293103041	2.02596e+09	ENSP00000298281, ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000374359-uc003eiv.2-uc003eix.2, ENSP00000441202-uc001zcs.2-uc001zcr.2	4.93592763503e-10	E
106	21.1993788433	1.6098e+09	ENSP00000230640-uc003jpy.3-uc011cqi.1, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000411032-uc002oyg.1-uc010ejd.2, ENSP00000441202-uc001zcs.2-uc001zcr.2	6.21193279505e-10	E
173	20.971226155	1.28141e+09	ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	7.80390910123e-10	E
192	20.9100139012	1.20532e+09	ENSP00000346065-uc003oyj.2-uc010jze.2, ENSP00000358770-uc001kxo.1-uc001kxp.1, ENSP00000362298-uc001jrm.2-uc009xqk.2, ENSP00000415793	8.29652729263e-10	E
16	20.7546257725	1.03186e+09	ENSP00000362298-uc001jrm.2-uc009xqk.2, ENSP00000374359-uc003eiv.2-uc003eix.2, ENSP00000415793, ENSP00000441202-uc001zcs.2-uc001zcr.2	9.69126687104e-10	E
65	20.7283793364	1.00513e+09	ENSP00000358770-uc001kxo.1-uc001kxp.1, ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000415793, ENSP00000441202-uc001zcs.2-uc001zcr.2	9.94899552271e-10	E
