#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
11	13.6783304336	871813	ENSP00000238699-uc001xzh.2-uc001xzg.2, ENSP00000265104, ENSP00000356210-uc003qph.2-uc003qpg.2, ENSP00000385931-uc002wbs.2-uc002wbt.2	1.14703473884e-06	E
6	13.013084066	448240	ENSP00000295237, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000393596, ENSP00000402343	2.23094774292e-06	E
15	13.013084066	448240	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000387255, ENSP00000393596, ENSP00000402343	2.23094774292e-06	E
12	13.013084066	448240	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000386840, ENSP00000393596, ENSP00000402343	2.23094774292e-06	E
23	12.8234281213	370804	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000383933-uc003bim.3-uc003bio.3, ENSP00000387255, ENSP00000393596	2.69684463711e-06	E
11	12.8234281213	370804	ENSP00000295237, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000383933-uc003bim.3-uc003bio.3, ENSP00000393596	2.69684463711e-06	E
9	12.8234281213	370804	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000383933-uc003bim.3-uc003bio.3, ENSP00000386840, ENSP00000393596	2.69684463711e-06	E
6	12.6019851401	297148	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000387255, ENSP00000393596, ENSP00000419126-uc001lgw.2-uc001lgx.2	3.36532795119e-06	E
4	12.6019851401	297148	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000386840, ENSP00000393596, ENSP00000419126-uc001lgw.2-uc001lgx.2	3.36532795119e-06	E
2	12.6019851401	297148	ENSP00000295237, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000393596, ENSP00000419126-uc001lgw.2-uc001lgx.2	3.36532795119e-06	E
103	12.4036368005	243686	ENSP00000315113-uc001cqf.3-uc001cqe.3, ENSP00000348510-uc002dov.1-uc002dou.2, ENSP00000385931-uc002wbs.2-uc002wbt.2, ENSP00000402343	4.10363742609e-06	E
10	12.3363894543	227838	ENSP00000322604, ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
4	12.3363894543	227838	ENSP00000378818, ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
1	12.3363894543	227838	ENSP00000322604, ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
6	12.3363894543	227838	ENSP00000322604, ENSP00000344456, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
9	12.3363894543	227838	ENSP00000322604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
1	12.3363894543	227838	ENSP00000378820, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
10	12.3363894543	227838	ENSP00000322604, ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
8	12.3363894543	227838	ENSP00000378818, ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
10	12.3363894543	227838	ENSP00000378818, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
2	12.3363894543	227838	ENSP00000378820, ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
6	12.3363894543	227838	ENSP00000378820, ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
6	12.3363894543	227838	ENSP00000378818, ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
1	12.3363894543	227838	ENSP00000344456, ENSP00000378820, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
8	12.3363894543	227838	ENSP00000344456, ENSP00000378818, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
6	12.3363894543	227838	ENSP00000378820, ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	4.38908643317e-06	E
19	12.2106246382	200912	ENSP00000324056-uc002dya.1-uc002dxz.1, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000373884, ENSP00000387255	4.97729175974e-06	E
2	12.2106246382	200912	ENSP00000295237, ENSP00000324056-uc002dya.1-uc002dxz.1, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000373884	4.97729175974e-06	E
17	12.2106246382	200912	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000373884, ENSP00000386840, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
24	12.2106246382	200912	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000373884, ENSP00000387255, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
4	12.2106246382	200912	ENSP00000295237, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000373884, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
7	12.2106246382	200912	ENSP00000324056-uc002dya.1-uc002dxz.1, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000373884, ENSP00000386840	4.97729175974e-06	E
15	12.2106246382	200912	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000386840, ENSP00000399610, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
7	12.2106246382	200912	ENSP00000295237, ENSP00000324056-uc002dya.1-uc002dxz.1, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000399610	4.97729175974e-06	E
7	12.2106246382	200912	ENSP00000264895, ENSP00000295237, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
14	12.2106246382	200912	ENSP00000324056-uc002dya.1-uc002dxz.1, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000387255, ENSP00000399610	4.97729175974e-06	E
4	12.2106246382	200912	ENSP00000295237, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000399610, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
11	12.2106246382	200912	ENSP00000264895, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000387255, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
20	12.2106246382	200912	ENSP00000324056-uc002dya.1-uc002dxz.1, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000386840, ENSP00000399610	4.97729175974e-06	E
10	12.2106246382	200912	ENSP00000264895, ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000386840, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
6	12.2106246382	200912	ENSP00000367792-uc001ajb.1-uc001ajd.1, ENSP00000387255, ENSP00000399610, ENSP00000419126-uc001lgw.2-uc001lgx.2	4.97729175974e-06	E
9	12.074964448	175425	ENSP00000238699-uc001xzh.2-uc001xzg.2, ENSP00000373884, ENSP00000385931-uc002wbs.2-uc002wbt.2, ENSP00000413851-uc002kud.2-uc002kub.2	5.70045564862e-06	E
6	12.074964448	175425	ENSP00000238699-uc001xzh.2-uc001xzg.2, ENSP00000385931-uc002wbs.2-uc002wbt.2, ENSP00000399610, ENSP00000413851-uc002kud.2-uc002kub.2	5.70045564862e-06	E
6	12.0036883112	163356	ENSP00000273353, ENSP00000344456, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
4	12.0036883112	163356	ENSP00000275248, ENSP00000344456, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
6	12.0036883112	163356	ENSP00000275248, ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
6	12.0036883112	163356	ENSP00000344456, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000452815, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
8	12.0036883112	163356	ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000442040, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
5	12.0036883112	163356	ENSP00000273353, ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
4	12.0036883112	163356	ENSP00000273353, ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
7	12.0036883112	163356	ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000442040, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
6	12.0036883112	163356	ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000452815, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
6	12.0036883112	163356	ENSP00000273353, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
9	12.0036883112	163356	ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000442040, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
10	12.0036883112	163356	ENSP00000350770, ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
11	12.0036883112	163356	ENSP00000344456, ENSP00000350770, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
9	12.0036883112	163356	ENSP00000350770, ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
4	12.0036883112	163356	ENSP00000275248, ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
4	12.0036883112	163356	ENSP00000344456, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000442040, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
9	12.0036883112	163356	ENSP00000350770, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
4	12.0036883112	163356	ENSP00000273353, ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
3	12.0036883112	163356	ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000452815, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
8	12.0036883112	163356	ENSP00000385604, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000442040, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
2	12.0036883112	163356	ENSP00000275248, ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	6.12159232667e-06	E
