#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
1	14.2872371875	1.60276e+06	ENSP00000258526, ENSP00000292069, ENSP00000365637-uc001iru.3-uc001irx.2, ENSP00000424737	6.23924052019e-07	E
9	13.8085545093	993068	ENSP00000343434, ENSP00000365637-uc001iru.3-uc001irx.2, ENSP00000400327, ENSP00000424737	1.00698029816e-06	E
2	13.7423059512	929411	ENSP00000321618, ENSP00000365637-uc001iru.3-uc001irx.2, ENSP00000400327, ENSP00000424737	1.07595066114e-06	E
12	13.7423059512	929411	ENSP00000365637-uc001iru.3-uc001irx.2, ENSP00000400327, ENSP00000424737, ENSP00000439402	1.07595066114e-06	E
3	13.4200566971	673374	ENSP00000262854, ENSP00000347866, ENSP00000353393, ENSP00000410015	1.48505804768e-06	E
10	13.4200566971	673374	ENSP00000276211, ENSP00000340648, ENSP00000380252, ENSP00000442483	1.48505804768e-06	E
3	13.4200566971	673374	ENSP00000262854, ENSP00000276211, ENSP00000378998, ENSP00000410015	1.48505804768e-06	E
5	13.4200566971	673374	ENSP00000276211, ENSP00000340648, ENSP00000380253, ENSP00000442483	1.48505804768e-06	E
4	13.2933346236	593228	ENSP00000262873, ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000385848, ENSP00000405708	1.68569161623e-06	E
2	12.9808977432	434043	ENSP00000276211, ENSP00000340648, ENSP00000354555, ENSP00000467401	2.30392183099e-06	E
1	12.9808977432	434043	ENSP00000262854, ENSP00000276211, ENSP00000354555, ENSP00000467401	2.30392183099e-06	E
1	12.9808977432	434043	ENSP00000262854, ENSP00000353393, ENSP00000354555, ENSP00000410015	2.30392183099e-06	E
1	12.9808977432	434043	ENSP00000262854, ENSP00000276211, ENSP00000354555, ENSP00000380252	2.30392183099e-06	E
5	12.9689215522	428875	ENSP00000340648, ENSP00000380253, ENSP00000408515, ENSP00000442483	2.33167992533e-06	E
1	12.9689215522	428875	ENSP00000340648, ENSP00000347866, ENSP00000359960, ENSP00000380253	2.33167992533e-06	E
6	12.8431609367	378193	ENSP00000299308, ENSP00000315602-uc002bec.2-uc002beb.2, ENSP00000352172-uc001tws.2-uc001twt.2, ENSP00000413496-uc003fsx.2-uc003fsy.2	2.64414991724e-06	E
1	12.738576756	340638	ENSP00000374037-uc002fom.1-uc002fol.1, ENSP00000403954, ENSP00000414273, ENSP00000473078	2.93566440864e-06	E
5	12.539064991	279027	ENSP00000340648, ENSP00000354555, ENSP00000359960, ENSP00000467401	3.58387840376e-06	E
6	12.539064991	279027	ENSP00000340648, ENSP00000354555, ENSP00000359960, ENSP00000380253	3.58387840376e-06	E
