#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
4583	19.8292668803	4.09017e+08	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000358548, ENSP00000408342-uc002mkd.2-uc002mkc.2	2.44488712609e-09	E
1573	18.7421375519	1.37914e+08	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000376282-uc002jro.2-uc010wte.1	7.25091947595e-09	E
1306	18.5554162031	1.14423e+08	ENSP00000288602, ENSP00000358548, ENSP00000387261-uc002lbp.3-uc002lbq.3, ENSP00000408342-uc002mkd.2-uc002mkc.2	8.73947075819e-09	E
962	18.2753092089	8.64701e+07	ENSP00000251296-uc001bau.1-uc001bav.1, ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548	1.15646915932e-08	E
500	17.6143274255	4.46483e+07	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000387261-uc002lbp.3-uc002lbq.3	2.23972551061e-08	E
412	17.4046098836	3.62015e+07	ENSP00000288602, ENSP00000358548, ENSP00000376282-uc002jro.2-uc010wte.1, ENSP00000408342-uc002mkd.2-uc002mkc.2	2.76231987284e-08	E
140	16.1992568942	1.08455e+07	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2	9.22045005902e-08	E
63	15.4091344708	4.92155e+06	ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2, ENSP00000408342-uc002mkd.2-uc002mkc.2	2.03187940528e-07	E
46	15.2039385444	4.00854e+06	ENSP00000251296-uc001bau.1-uc001bav.1, ENSP00000288602, ENSP00000358548, ENSP00000387261-uc002lbp.3-uc002lbq.3	2.49467162317e-07	E
42	15.1081122353	3.64225e+06	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000358548, ENSP00000376282-uc002jro.2-uc010wte.1	2.7455554813e-07	E
39	15.0900648076	3.57711e+06	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548, ENSP00000370566-uc011mhg.1-uc004cqp.2	2.79555552429e-07	E
23	14.8694057004	2.8688e+06	ENSP00000288602, ENSP00000311925-uc010wlv.1-uc002ios.2, ENSP00000358548, ENSP00000408342-uc002mkd.2-uc002mkc.2	3.48577342935e-07	E
25	14.8694057004	2.8688e+06	ENSP00000288602, ENSP00000358548, ENSP00000370566-uc011mhg.1-uc004cqp.2, ENSP00000408342-uc002mkd.2-uc002mkc.2	3.48577342935e-07	E
