p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc001jrm.2-uc009xqk.2	0.00273206498536499	0.00322031371463364	-62.9851413333333	328.58983912	0.0408687925505769	0.0589361523664458
uc002ndi.2-uc002ndj.2	0.000402631635360574	0.000330050483981031	-147.570115	330.171904291417	0.0137927144831212	0.013362043836323
uc001xww.2-uc001xxa.2	0.0027531372227185	0.00359743304957941	-264.769484615385	324.623685526057	0.0408687925505769	0.060962654659293
uc003soi.3-uc003soj.2	0.00695839475151875	0.00457729235961533	-19.6350922580645	327.636609349349	0.0654677140002045	0.0672006878290777
uc003szf.2-uc003szh.2	1.20201454996563e-06	9.39212054254175e-06	-458.380856842105	331.760159406528	0.00010036821492213	0.000697104058046432
uc002chv.1-uc002cia.1	0.00255142304587477	0.00328549366206773	-389.003558888889	323.409712938296	0.0396360603405662	0.0593164801692228
uc002fii.2-uc010vof.1	0.000454871635443535	0.000742941542312805	-316.091203333333	326.543500423645	0.0148221586573796	0.0225584068302252
uc003hbg.1-uc003hbe.1	1.19741115927512e-31	2.00287392768878e-29	-404.174228454545	403.434184793478	7.99870654395783e-29	1.33791978369611e-26
uc001znl.2-uc010bcd.1	0.00576247945744538	0.00414530512475663	-125.556179473684	325.505294055391	0.0596796322104421	0.0644325379168703
uc001sky.2-uc001skw.2	0.00219666467788962	0.00340766777329536	-277.972173846154	324.792451465093	0.0380678735237272	0.0599032124358236
uc001exi.2-uc010pcv.1	0.00878473384376342	0.00530152037468473	-72.7911145454545	325.696120436508	0.0771861217819304	0.0715437497028162
uc004emu.3-uc004emw.3	0.0049946953853058	0.00941865844895169	-174.081419375	324.936476913215	0.0556076086230712	0.0960559365480875
uc001ycd.2-uc001ycb.1	9.49078334201964e-09	8.37780693569434e-08	-170.00361375	349.462232049689	2.11328109082304e-06	1.59896429515538e-05
uc001zod.2-uc001zoc.2	0.00817080422638139	0.0041986874900662	7.12715428571429	328.091290934673	0.0727746296429702	0.0644506856208458
uc001dib.3-uc001dif.1	0.0025176866802357	0.00160694431447772	-389.943186666667	323.417995651322	0.0395721106446458	0.0391617188839924
uc003ycj.1-uc003yck.1	0.00102209785003873	0.000696981602055941	65.1419465384615	337.83530782563	0.0239565390816096	0.0216550562871334
uc010zvw.1-uc002xhj.2	0.00130535316623291	0.0038422022094133	-212.364592777778	326.603604298419	0.0273706051424409	0.0631033417136184
uc003ltj.2-uc011dcn.1	0.00639189046614133	0.00684669348276107	-28.9330983333333	327.56827783	0.061880910599745	0.0846278300027593
uc003woy.2-uc003wpa.2	0.00971840527616389	0.0079511648855785	-325.415045	322.214877925636	0.0806446549624532	0.0879459445534452
uc010tdi.1-uc010tdj.1	0.0044771737007396	0.00424525474149284	538.541541842105	299.550448322851	0.0530058994983378	0.0644506856208458
uc001xxt.2-uc001xxx.1	0.00114600113943061	0.00270865501755268	-270.45293	325.869043182266	0.0253227426689437	0.0548297439916724
uc002azb.1-uc002aza.1	0.00228237364159894	0.00285904060770957	-63.3738929032258	328.993869429429	0.0380850136960956	0.0553266672771316
uc002rgz.2-uc010ykx.1	0.000479354789909627	0.000821492451842062	-150.173076666667	329.765660967099	0.014893441844634	0.0243156844294771
uc002kzk.1-uc002kzo.1	0.00172700960863515	0.00886520049741389	-110.644751538462	328.263992450199	0.0320456227380078	0.0953333585096008
uc010ddd.2-uc002iwx.2	0.00409744598227733	0.00539815882070492	585.418987592593	302.343913473361	0.0521351222125954	0.0721194018446178
uc001mkz.2-uc009ygn.2	0.00931379339754282	0.00904658549887189	-429.738561666667	321.561246337891	0.0792562291663516	0.0959225256070861
uc002zjx.2-uc011agc.1	9.11618795610411e-06	5.61287481745872e-06	-392.253107368421	330.517402492582	0.000608961355467755	0.000499920050408323
uc009wco.2-uc010osb.1	2.52803196221816e-06	6.11182516284437e-06	1195.34770285714	305.084071889764	0.000177760563238077	0.000507299964235527
uc009wht.1-uc001eiu.1	0.000380313659716869	0.000323995307716672	-223.612400952381	328.440183647175	0.0133710276153089	0.013362043836323
uc003ddx.2-uc010hmh.2	0.000774719286245686	0.00249636540057048	-207.499033	327.574520336634	0.0199043262773892	0.0529387964311455
