p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc001qqv.1-uc010sfk.1	0.0088524050175421	0.00559517057797607	-1232.3461	-805.7032486	0.2154408903561	0.526745344412319
uc001qnu.2-uc001qnt.2	0.000171770333483194	0.000395135362449347	-1115.6868775	-645.711185	0.03280813369529	0.478811000027439
uc011lzh.1-uc011lzj.1	0.00594948738979107	0.00326957435527083	-1231.12427538462	-797.320409183674	0.2154408903561	0.478811000027439
uc003lrl.2-uc011dcd.1	0.0068490318819575	0.00296618519499206	-1339.8013375	-821.387128333333	0.2154408903561	0.478811000027439
uc004fof.2-uc004fog.3	0.00684320416130475	0.00254922638678482	-1310.05973444444	-816.656189056604	0.2154408903561	0.478811000027439
uc002fjh.2-uc010chp.2	3.90072680716958e-05	0.00476714590222295	79.8250825	-955.045102758621	0.00910603002429254	0.526745344412319
uc011bzh.1-uc011bzf.1	0.00253303123528791	0.00262647524293471	-1093.75379137931	-707.710778181818	0.137967658445477	0.478811000027439
uc003sir.2-uc003sis.2	2.8407691976366e-06	0.000936015047483298	69.562194	-972.300466666667	0.000746057010529311	0.478811000027439
uc001stn.2-uc001sto.2	0.00999636768105409	0.00410995357992094	-1448.820468	-839.109005087719	0.2154408903561	0.526745344412319
uc001sib.2-uc010spw.1	0.00152222650784918	0.00136296622467393	-1503.818825	-822.328619285714	0.121965422498737	0.478811000027439
uc002xtw.1-uc002xtv.1	0.00367741303714439	0.00260772284455888	-1232.34097571429	-787.927957708333	0.175596472523645	0.478811000027439
uc002kne.2-uc010wzi.1	0.00962551256532409	0.00994287116820889	-1293.08324555556	-819.538989056604	0.2154408903561	0.728039122205518
