p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc001ffp.2-uc001ffo.2	4.52206877964203e-05	0.000782220004712972	1610.4483390625	1056.82467832981	0.00788347323917593	0.125877249989195
uc001vyn.2-uc001vyp.2	0.00390737169696743	0.00560039845952334	1605.20688882353	1074.02439055328	0.1512863018633	0.311468952368934
uc004aru.3-uc010mqr.2	0.000740521624160858	0.00150878566560243	473.5261975	1112.139060409	0.0673552712062833	0.166125242760015
uc002tjc.2-uc002tjh.2	0.00195184540021679	0.000141121756145342	731.610478421053	1121.2231724197	0.113423904923709	0.0421752448365793
uc002dyk.3-uc010vew.1	0.00329607245067604	0.00640696464851221	1778.259508	1078.04004973737	0.138914608259155	0.319766402152962
uc002ghv.2-uc002ghu.2	0.0011558300685855	0.00198747311128623	182.896537142857	1104.68301995984	0.0863570179814598	0.188990624945945
uc001ilo.2-uc001iln.2	0.000894911781267549	0.00565765783461735	353.839910909091	1108.34044672065	0.0780064769338213	0.311468952368934
uc003mug.2-uc003muf.2	9.64491469666067e-05	0.000209061257919371	526.5501592	1121.35138691667	0.0155208934964724	0.0546695189459156
uc001oyh.3-uc010rsn.1	0.00105667806068007	0.00108688518900392	1558.06305346154	1066.60288164927	0.0818729815904709	0.137363570385859
uc002jkv.2-uc010dfs.2	0.0014873736413093	0.00336077714221945	-87.607275	1101.32305149701	0.0954410841016983	0.27041329928935
uc010zyt.1-uc002xvm.2	3.57395507153282e-07	0.000245038093050486	-86.869222	1115.7194180202	0.000186917850241166	0.0569577434068464
uc001rhr.2-uc001rhs.2	0.00884089240833853	0.00672969856623219	1444.33716	1070.43412197479	0.205501632424936	0.319766402152962
uc001tav.2-uc009zsn.2	0.00105397953021088	0.00289127173106479	101.254551666667	1103.81741961924	0.0818729815904709	0.262980020060327
uc002pix.1-uc010xzo.1	0.00302318112580592	0.00733689641651155	1317.11065098765	1048.88315323113	0.136887136408663	0.319766402152962
uc001vmk.2-uc001vmj.2	0.0023960584410033	0.00328705592233487	2219.574255	1082.90244047904	0.122257420940949	0.27041329928935
uc004dyw.1-uc004dyv.1	0.00411158566040473	0.00377105045761672	139.151744	1101.43332196	0.1512863018633	0.281014545496497
uc004dap.2-uc004dao.2	0.0029333270975102	0.00731205910832982	1277.92913693694	1039.49818654822	0.136367117510919	0.319766402152962
uc001xzg.2-uc001xzh.2	5.43095241096667e-10	1.00123312048001e-09	715.945809473684	1201.52070951407	5.68077622187113e-07	1.04728984402209e-06
uc001jje.2-uc010qhk.1	0.00144746249642759	0.00700709788549072	35.383016	1102.47100924	0.0954410841016983	0.319766402152962
uc001ncf.2-uc001ncg.2	2.35838488288971e-05	0.00147046777360418	196.404490833333	1113.70297324544	0.00610965875788647	0.166125242760015
uc010fyv.2-uc002vxp.3	2.60357743149303e-05	5.96261214549696e-05	1474.04102779661	1041.35425798206	0.00610965875788647	0.0311844615209491
uc001vtr.1-uc010agw.1	0.00502147474390819	0.00451780770252918	1450.123025625	1067.67121116279	0.164139455691499	0.281014545496497
uc011mli.1-uc011mlj.1	0.000489772741825455	0.0045671580052012	1832.41542333333	1073.88120612576	0.0512302287949426	0.281014545496497
uc003zjm.1-uc010mhs.1	2.92048697795721e-05	0.00102699502819994	-167.88648	1107.05358432866	0.00610965875788647	0.137363570385859
uc003cfx.2-uc011axw.1	0.000479481804682546	0.00640583391655033	-203.138885	1102.24545956088	0.0512302287949426	0.319766402152962
uc001qgk.3-uc009zcw.2	0.000578419149360533	0.00314401523467845	-184.6583225	1102.09791015968	0.0550024027482834	0.27041329928935
uc002gvy.1-uc010cqp.1	0.000171742777844587	0.00073198315715022	1527.97656947368	1056.4225054818	0.0232231410193178	0.125877249989195
uc002xre.2-uc002xrc.2	0.00166772021713684	0.00434897869139076	1548.9185972	1068.10303077083	0.102613843948538	0.281014545496497
uc001isz.2-uc001ita.2	1.34445362715798e-05	7.8150816657448e-05	1839.67140833333	1064.26762700205	0.00513215167158637	0.0326983016894763
uc003cfu.2-uc003cfs.2	0.00150552379319123	0.00644315960008132	203.926078571429	1104.38742399598	0.0954410841016983	0.319766402152962
uc003zxe.1-uc003zxf.1	0.000549801811439035	0.00426962516703934	286.227114	1108.18211830303	0.0547707328347839	0.281014545496497
uc003hsu.3-uc003hsv.3	1.47193642588519e-05	0.00101267656004259	-509.7664375	1104.69358373253	0.00513215167158637	0.137363570385859
uc002yeh.2-uc011aaq.1	0.00289678006587494	0.00551927010924242	1361.14678666667	1055.60362359551	0.136367117510919	0.311468952368934
uc001rfo.3-uc009zix.2	0.000974920590289148	0.000102329625198515	678.353208181818	1120.81941489407	0.0815813549953959	0.0356789293192157
uc003jnf.2-uc010ivj.1	0.000276199899655348	0.00396631487705125	75.9565214285714	1106.18619287149	0.0339888347105287	0.281014545496497
uc001eal.1-uc001eak.1	2.26867395978085e-07	8.68136797454719e-08	1781.79446896552	1049.87474810924	0.000158202197462051	6.05380726758424e-05
uc001zxe.1-uc001zxd.1	2.68899039346885e-05	0.0011162431627914	-460.9197825	1104.30359047904	0.00610965875788647	0.137363570385859
uc003ncg.3-uc003nch.3	0.00400295837152412	0.00708290565786094	1679.74601307692	1076.3734177439	0.1512863018633	0.319766402152962
uc003hks.2-uc011ccd.1	0.00476804343548497	0.00899676210184445	1882.41277428571	1080.79423751004	0.158329315349755	0.375932481652457
uc001ziq.2-uc001zip.2	0.0033201388207255	0.00703273839057961	0.958842499999989	1100.61593678643	0.138914608259155	0.319766402152962
uc003mec.1-uc003meb.2	0.00261536740365706	0.00432289880315096	93.011952	1101.89471988	0.130270204963109	0.281014545496497
uc001zfh.1-uc010ubk.1	4.3216133586996e-05	0.000724177347725136	-260.2601	1105.4274404	0.00788347323917593	0.125877249989195
uc001etp.2-uc001etq.2	0.000177614845272029	0.00058718946118189	1488.73331066667	1053.08569721739	0.0232231410193178	0.122840035279251
uc003zhl.1-uc003zhn.1	0.00314081383729245	0.00540309595521249	1468.8542203125	1066.40398446089	0.136887136408663	0.311468952368934
uc002sen.3-uc010fde.2	0.000150779678135635	0.00198747311128623	33.7750585714286	1106.779105	0.0225307919042677	0.188990624945945
uc010qfc.1-uc010qfd.1	0.000440812842728338	0.00166421081704977	174.05542125	1106.68003285714	0.0512302287949426	0.174076451463406
uc003xfp.1-uc003xfq.1	2.11346709565384e-43	1.67935092793828e-36	1981.94571478261	893.640227457627	4.42137316410783e-40	3.51320214124688e-33
uc002eqa.2-uc002epz.2	0.00140704683403924	0.00367095973652747	-93.5115325	1101.37019127745	0.0954410841016983	0.281014545496497
