p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002twu.1-uc010zbu.1	6.6305196711741e-05	4.62953018775683e-05	1021.29553096774	601.168084873418	0.00239155985380969	0.00310285444941792
uc003bdd.2-uc010gzf.2	0.00481362477466081	0.00183443683065697	123.541268	637.128123252525	0.0367522008342716	0.0272173180832226
uc003xpm.2-uc010lxp.2	0.00137389644544176	0.000502956875646206	315.0588953125	648.059088879493	0.0173141765699512	0.0138445497875245
uc003ipx.2-uc010iqi.2	2.00986368852512e-05	8.74706314249758e-05	249.513739210526	657.670902783726	0.00107811149651142	0.00494563678219052
uc003fcu.1-uc003fcv.1	2.3578694081015e-06	1.15064002384223e-06	877.317612043011	570.444892645631	0.000205527616739514	0.000302223164504112
uc003mxn.2-uc003mxo.2	0.00895375567069001	0.00177736994446055	233.875392857143	638.166147026477	0.0550225090711168	0.0267500570058379
uc004dbf.2-uc010nfz.2	0.000208412668735362	0.00611707887986677	-112.790745	638.865512374245	0.00512940356463973	0.0498704283455733
uc003yta.1-uc003ysz.1	0.0027712391944999	0.00541100736186952	177.469280714286	639.774467942974	0.0258813946200616	0.0462033771470654
uc004aru.3-uc010mqr.2	3.77996910834309e-05	0.000218134859321195	51.390748125	645.790555664622	0.00153422622804785	0.00833213769190748
uc002klh.3-uc010dkj.2	0.00107159170982433	0.000433812334236459	228.946547142857	644.227182231405	0.0149430183970631	0.0124319918249681
uc001cln.2-uc010oko.1	0.000269012426930566	0.000118594056136004	246.298101428571	649.302907442348	0.0057425918075382	0.00632910096221827
uc001qoo.2-uc010sfd.1	0.00521885726799029	0.0016853063431604	424.165985454545	651.743787755556	0.0388324677717802	0.0261160064436411
uc002tjc.2-uc002tjh.2	0.00545108233822504	0.000316290920354135	379.666103421053	647.080346381156	0.0395681148443109	0.0102002216530754
uc010ujs.1-uc010ujt.1	0.0019895856502461	0.000229656088824771	363.19097	650.265094655172	0.0211279856868774	0.00833213769190748
uc001rpg.2-uc010sli.1	7.58156727118429e-06	2.10304013816088e-05	358.628963289474	674.494248205128	0.000495644960353673	0.00209502855668217
uc001hmc.2-uc001hmd.2	0.00143222906380675	0.00202544655424296	193.917588235294	642.043513709016	0.0175556290467967	0.0286299607532181
uc010ukd.1-uc010bik.1	0.00433810257428409	0.00249812247349845	373.188973947368	647.607393319058	0.0345068843551419	0.0316731649367198
uc003kpv.1-uc003kpu.1	0.00148601995065276	0.00599986650230083	331.758449428571	648.941038212766	0.0175556290467967	0.0493573563052084
uc001irl.3-uc010qcu.1	2.65473465417933e-07	1.15572911856257e-06	82.3955337037037	657.717895983264	3.98860406936983e-05	0.000302223164504112
uc011dvl.1-uc010jyu.2	0.0047753881973204	0.00531534670786144	186.375963846154	638.599484065041	0.0367283533411554	0.0459491955076287
uc001odj.2-uc001odk.2	0.00376184196733952	0.00215202079031614	174.659309230769	638.90907046748	0.0312292595066439	0.0293989230321586
uc001mhl.2-uc001mhk.2	0.000535077167680436	0.000178308501906999	125.689868666667	642.303031959184	0.00944910970178366	0.0077547829644233
uc001kwt.2-uc001kwu.2	0.00398003971948913	0.00378852909549124	306.7581192	643.635168145833	0.0327199629236026	0.0384738003289693
uc003ykz.3-uc011lhl.1	0.00567284293151762	0.00723318964004718	176.910024166667	637.912603245436	0.0400932007186988	0.0558370211327628
uc001dib.3-uc001dig.3	0.000119708022172342	0.00701859476489224	-25.0835545454545	641.477232368421	0.00357755974835057	0.0547869412244573
uc003lzv.2-uc003lzw.2	0.00125418656457977	0.00361248024453107	102.761641666667	639.717432028398	0.0164513433513504	0.0379577811107066
uc002mti.2-uc010xmh.1	0.00174029902570612	0.00148207514122259	-42.7461171428571	636.371599417671	0.01967948952312	0.0243036774921664
uc002jat.2-uc010wpf.1	0.00119877094326104	0.000362695253481435	294.312155517241	647.224330210084	0.0160758257262955	0.0111582127982818
uc003msy.1-uc003msx.2	0.00137395045420849	0.00571522617300823	227.4615515	643.43217043299	0.0173141765699512	0.0482106982013436
uc011byh.1-uc003gtn.2	3.48673700622459e-05	0.00305066176741276	-108.780756	641.821497474748	0.00148862322796364	0.0344972130671756
uc003pnz.1-uc003pob.1	9.74321355309157e-07	6.07913277500875e-06	1287.56000470588	603.94531477459	0.000113237793072598	0.000794846610332394
uc011bue.1-uc011bud.1	0.000636577676073792	0.00193532555679534	-238.307094	635.61073832	0.0105516689520973	0.0279276484899073
uc003hcl.1-uc003hcm.1	2.5793352780466e-05	0.00153313814009665	-120.770694	642.063718444444	0.00123542801649014	0.0244833968632229
uc003evt.3-uc003evu.3	0.000479927920228382	0.000143565811358561	-29.5441911111111	638.870426229839	0.00880709832559453	0.0067905201399273
uc001fmt.2-uc001fmq.2	0.00365241521677771	0.00221376534692717	205.417646666667	639.862385693878	0.0306319477922295	0.0293989230321586
uc003xsk.3-uc003xsl.3	0.00021380671011658	0.000655082802173232	124.976487647059	644.445150409836	0.00520097252981263	0.0155466969668413
uc002xak.2-uc010zuj.1	0.000151085108189891	0.00174341888846623	-331.70979	636.54476528	0.00426709174460914	0.0264292196715316
uc003ncx.1-uc011dji.1	0.00810451330054289	0.00612652967725255	421.86804755102	648.996270526316	0.052008103756858	0.0498704283455733
uc003kbz.3-uc011csd.1	0.00363952079611478	0.00398643748770522	371.916294358974	648.302785858369	0.0306319477922295	0.0395242996411342
uc003oth.2-uc010jyd.2	0.00808208771129574	0.00529130856631882	451.980511846154	652.807046409091	0.052008103756858	0.0459311930321119
uc003eib.2-uc011bkf.1	0.00260848140933785	0.00445545344238643	-69.4435216666667	635.331652945892	0.0249195271096947	0.0425607698697371
uc001qhb.1-uc009zcz.1	0.00470347262777857	0.000635704524615907	264.131390526316	641.142669279835	0.0367283533411554	0.0155466969668413
uc001ilo.2-uc001iln.2	8.09682389704983e-05	0.00224848359710582	-40.9072990909091	641.829582955466	0.00264664931134816	0.0293989230321586
uc001bjc.2-uc010oej.1	0.000417910950355091	0.000231675461489091	-77.32346375	638.294610462777	0.00802082301048486	0.00833213769190748
uc004dks.1-uc004dkx.1	0.00260868854542215	0.00109849274897988	217.822627647059	641.210756188525	0.0249195271096947	0.0196414259048367
uc001typ.3-uc001tyq.3	0.00198632593253509	0.00640696464851221	75.231506	638.104078040404	0.0211279856868774	0.0514095148600413
uc001qbt.2-uc010sax.1	0.00166471221663298	0.00467017081035811	-170.304376	634.93071114	0.0192367643923675	0.0438419142930601
uc003gzj.2-uc011bzp.1	0.00139851885569071	0.000286662338183424	238.107340952381	643.829709772727	0.0174148895601486	0.00967254212064071
uc004esv.2-uc010nqq.2	0.00556323469248057	0.00886218408582724	447.02338119403	654.482345091324	0.0398571471803745	0.0608145868768398
uc001etg.2-uc009wlk.2	0.0016735617205597	0.000397340981047049	309.873433	646.984485684211	0.0192367643923675	0.0117075680612736
uc003xoz.1-uc011lcs.1	0.000259597646260409	0.000293421150249837	146.051397777778	644.732871724846	0.00571189211192354	0.00974344517972476
uc001kzc.3-uc001kzb.2	0.00725464544472463	0.00220005979544633	272.380517222222	640.063622956879	0.0487997372037425	0.0293989230321586
uc003mug.2-uc003muf.2	1.10180948790128e-11	1.5954134771694e-09	-114.3440404	665.567572291667	7.68328482896491e-09	1.11253499807946e-06
uc004bsj.3-uc011mam.1	0.00178741156100769	0.00066140345604631	311.803457666667	646.862589389474	0.0199529107992814	0.0155466969668413
uc003gsg.3-uc010iey.2	0.00128235853644318	0.0017144293512717	340.817573947368	650.24146869379	0.0166626960139077	0.0263719573739736
uc001wzo.2-uc010tqs.1	0.00795258759332102	0.000701821548184584	227.862648571429	638.337589837067	0.0516464210532146	0.0161341832835401
uc003adk.2-uc011akg.1	8.42846897125671e-06	5.46232606472002e-06	326.564604516129	668.99961221219	0.000518598737878501	0.000794846610332394
uc010wbo.1-uc010wbp.1	2.9831303260162e-05	0.00100643155661919	-115.009232	641.947325272727	0.00132299961127236	0.0184689018986609
uc002imd.2-uc002imf.2	0.00515662211096135	0.00538779450213737	267.899467894737	640.995357613169	0.0385891028020768	0.0462033771470654
uc002tvu.2-uc010fnp.2	0.00241086271231898	0.000492055513862876	296.617766153846	644.888876346555	0.0237902112932609	0.0137250684666818
uc003akk.2-uc003aki.2	0.00153994047464149	0.00422098451093964	434.6924612	660.492788604651	0.0179975166086592	0.0408461905521933
uc004bqr.1-uc010mxg.1	3.35362375791016e-06	3.21801266548289e-05	90.5812178260869	652.552833360996	0.000250563603626717	0.0025892624985347
uc001fni.2-uc001fnk.2	0.00180963632367205	0.00747159033375907	189.60655125	641.268157198364	0.0199529107992814	0.0565179686377297
uc004cwr.2-uc010neu.2	0.000224753269558127	5.72210366032526e-05	324.715188636364	655.80556483731	0.0053429981808591	0.00352077672276483
uc003ujs.2-uc010lek.2	5.73734216807415e-06	2.82421489312078e-05	231.504919230769	660.053952446352	0.000387178058568101	0.00236330302256347
uc001muz.2-uc010rej.1	0.0030144163367256	0.00150896390430295	-7.76446142857142	635.87988939759	0.0269493973351707	0.0243036774921664
uc003dxd.2-uc011bhm.1	2.59841456623165e-05	4.48220785032357e-05	243.509026111111	656.391276652452	0.00123542801649014	0.00310285444941792
uc004dck.2-uc010ngl.2	0.0011037681870209	0.00471531104968381	-199.995106	635.22761844	0.0149940457613489	0.0438419142930601
