p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc003oxa.1-uc003oxc.1	0.00444571902180957	0.0096428156082077	525.3992778125	83.2662194478528	0.173487647004028	0.309562802772162
uc002cmb.2-uc002clz.2	0.000116930661450094	0.00116449640598799	1101.426849	104.707579297297	0.0298353080023047	0.185415309448779
uc002drk.2-uc010vdd.1	0.00261773443902358	0.00922765667861397	942.375357777778	117.762324946237	0.128209257362813	0.309562802772162
uc002wfw.3-uc010zpu.1	0.00983251653721886	0.00486201975089334	527.209210740741	96.1340593452381	0.250880441184269	0.288413457362128
uc003zsz.2-uc003zsy.2	0.00256363495110628	0.00804955933853002	562.421043	81.894178	0.128209257362813	0.307722629806123
uc003yvd.2-uc011ljo.1	0.00319600437136145	0.00399997977178706	723.03502	105.120728156425	0.145221184928849	0.276084185029199
uc003hrt.2-uc011cdm.1	0.000283068863038865	0.00330658531891447	932.640839230769	100.334284340659	0.0494178641421008	0.276084185029199
uc001gnz.2-uc001goc.2	0.000151540168960596	0.000269452720133031	635.144232424242	58.1815493209877	0.0335105826961531	0.0809462939219369
uc003epr.2-uc003epq.2	0.000363461296882776	0.00147924433771441	687.8326348	77.5844399411765	0.0547994765840542	0.202500764336588
uc003ugh.2-uc010lds.2	0.000645929308699431	0.00431774046930863	614.285069	72.4643550909091	0.0714182505652004	0.276084185029199
uc001xbx.1-uc001xbw.1	0.000174615054536738	0.00419819366766968	789.9934475	83.3445812	0.0361998834936475	0.276084185029199
uc003qdw.1-uc010kgd.1	0.0025723204909648	0.00255136935431951	526.388903142857	74.7597440625	0.128209257362813	0.252278509358965
uc003xyg.2-uc003xyi.1	0.0079914415724175	0.00885261712443964	595.926554761905	102.705247183908	0.228948831759577	0.309562802772162
uc001eai.1-uc009wfz.1	0.00687881235869823	0.00532250901706348	500.875877272727	85.5325105555556	0.21730495803621	0.288413457362128
uc001kig.2-uc001kih.2	0.0015073186645052	0.0037493497046956	559.518486666667	73.5867938271605	0.0972238656250834	0.276084185029199
uc003ncx.1-uc011dji.1	0.000105576755615147	0.00061298976897261	559.706275111111	34.6559218666667	0.0295826445522552	0.122610721888937
uc001dyb.1-uc001dye.1	0.00490286222869629	0.00912925475331831	502.162190285714	80.0593375	0.184804477415745	0.309562802772162
uc001qvk.1-uc001qvj.1	8.58682399328828e-05	0.000502963492236304	1412.778685	115.917981746032	0.0295826445522552	0.109017336942219
uc010oia.1-uc010oib.1	3.3948324963954e-06	3.26705743248639e-06	1006.26902470588	74.5988608988764	0.00337297015771653	0.0028325387939657
uc002rsi.2-uc010ynv.1	0.000513786840999432	0.00158260895643184	596.575323333333	66.0381789506173	0.060865391128397	0.203246776725019
uc001uio.2-uc001uip.2	0.00152960333603632	0.00599016828142988	866.414999166667	109.225085628415	0.0972238656250834	0.29487763758162
uc001rhk.3-uc001rhj.3	0.00789513534251173	0.0067630256992087	501.4163303125	87.9745281595092	0.228948831759577	0.29487763758162
uc003nqz.2-uc003nqy.2	0.00728568987517795	0.00669029500189068	559.104264	96.5150827058823	0.223270496552233	0.29487763758162
uc001kzu.2-uc010qrj.1	0.000325015814504868	0.000280090982428847	718.155130869565	80.6255968023256	0.0513370217482214	0.0809462939219369
uc003hly.3-uc003hlx.1	5.10507071126097e-05	0.000659957749498315	1019.02472538462	94.1640067582418	0.024190742213218	0.122610721888937
uc002pqt.1-uc002pqw.1	0.000193295659787739	0.000370716349181365	-873.89917375	199.873604545455	0.0377153943244664	0.096423322422073
uc002mpf.2-uc002mpi.2	0.00206863924039471	0.00690397196036749	555.2791415625	77.4002339263804	0.121105673299279	0.29487763758162
uc003qbd.2-uc003qbc.2	0.000231109847804385	0.00869418672285767	1839.70427666667	129.510717864583	0.0425884091759526	0.309562802772162
uc002chn.2-uc002chp.2	0.00583287171760475	0.00996843495175219	601.153044090909	99.1896167052023	0.198352395461957	0.309562802772162
uc001lqt.2-uc001lqy.2	0.000758093357656177	0.00515040448886051	1489.809485	127.884464502618	0.0768482420179477	0.288413457362128
uc003wgd.2-uc003wgc.2	0.000396499076881912	0.00383589599761599	1293.752965	119.696576031746	0.0547994765840542	0.276084185029199
uc001kgf.2-uc001kgg.2	0.00013676316888626	0.000452450846197623	970.503134615385	97.6298346703297	0.0324031022282661	0.106984059178183
uc002xeb.2-uc002xea.2	0.000393451112850387	0.00680350452819433	1078.04755333333	111.197541290323	0.0547994765840542	0.29487763758162
uc003ltq.2-uc011dcq.1	1.72564331978769e-07	3.46835420992089e-07	1076.37855444444	62.2054049717514	0.000286197944586788	0.000451059465000212
uc001orf.1-uc001orh.1	0.000672997418884078	0.00185643940572481	-786.31321375	196.126611604278	0.0720107238205964	0.219481767922283
uc002zwv.1-uc010gtw.1	0.00155347147365976	0.00198737966946401	937.396359	113.57409227027	0.0972238656250834	0.224746718272865
uc002oyg.1-uc010ejd.2	0.00417707386208005	0.00353542968607454	485.557087435897	73.3874631410256	0.168967731713653	0.276084185029199
uc002kus.3-uc002kut.3	0.000815157209038429	0.00267793994670318	776.877792941176	96.507012247191	0.0772536132108705	0.252278509358965
uc002hqs.2-uc010cvp.2	0.00146260676428098	0.00717528659936049	766.881489375	101.201490670391	0.0972238656250834	0.295665904260182
uc001pds.3-uc001pdr.2	0.00110675514223337	0.00940368160548177	1309.511132	125.461131578947	0.087407304923526	0.309562802772162
uc002rom.2-uc002ron.2	0.00148718342252966	0.001229280596743	514.9175805	63.1514028387097	0.0972238656250834	0.185415309448779
uc002mkd.2-uc002mkc.2	2.15595877892699e-05	2.90802665346323e-05	-712.281955714286	222.967502983425	0.0143026305394016	0.0151275546513157
uc001coj.1-uc001coi.1	0.00979640807772688	0.00656417154608344	-484.872541	190.45349227027	0.250880441184269	0.29487763758162
uc002hdy.3-uc002hdx.3	0.00253255650878414	0.00209742705817267	455.450211020408	55.2610295890411	0.128209257362813	0.227308657429463
