p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc003sir.2-uc003sis.2	0.00146899448596984	0.00838060301833822	142.112215	-732.419167905759	0.285306632777125	0.538554160832507
uc001jrr.3-uc001jru.3	0.0029903395673162	0.00247045426770333	-1077.90095888889	-677.522005367232	0.396758253791513	0.47826831831572
uc001bao.2-uc001bar.2	0.000241934233134385	0.00773163854963884	84.9546266666667	-739.858941640212	0.114642264472394	0.531634916689628
uc010oia.1-uc010oib.1	0.00298315066143129	0.0036899694551707	-339.376855294118	-750.304526235955	0.396758253791513	0.520734130340741
uc002opw.2-uc010xvx.1	0.0065113794904374	0.00532516515685926	-914.545324651163	-657.882652960526	0.478147651256389	0.520734130340741
uc003vop.1-uc003voq.1	0.00560074247459303	0.0062411910045516	-1076.73789125	-682.099474581006	0.478147651256389	0.520734130340741
uc003hly.3-uc003hlx.1	4.24035813106612e-05	0.000387977814212848	-122.559030769231	-756.760136318681	0.0370669099514995	0.201826058953524
uc002jkv.2-uc010dfs.2	0.00696820793312967	0.00257430082907346	-1365.117594	-697.35802231579	0.478147651256389	0.47826831831572
uc002iay.2-uc010wgs.1	0.00482951474591131	0.00514647560273713	-995.284479230769	-671.279383136095	0.478147651256389	0.520734130340741
uc003fsv.2-uc003fsw.2	0.000119638724953605	0.00106248691918098	-156.88696	-754.308141373626	0.0768674957885173	0.37323488667035
uc003ltq.2-uc011dcq.1	0.00381885765642898	0.00563496653432599	-360.156893888889	-750.512927231638	0.442142770396867	0.520734130340741
uc001orf.1-uc001orh.1	0.00685426175354698	0.00512898437360897	-1225.794625	-692.605642834225	0.478147651256389	0.520734130340741
uc002tmb.2-uc010yyq.1	0.0050722925665798	0.00179339366318498	-993.743723846154	-671.516422426036	0.478147651256389	0.424056083449466
uc001etp.2-uc001etq.2	0.00872022072679723	0.00640657138443049	-894.111105416667	-655.825028231293	0.507455651768183	0.520734130340741
uc002mkd.2-uc002mkc.2	0.000648074443492963	0.00120880634765386	-1191.487455	-677.58446320442	0.163145732150482	0.37323488667035
uc001vqr.2-uc010agj.2	0.000394885017870346	0.000502998372734019	-1025.1828796875	-653.483190552147	0.145537067141771	0.218049794580197
uc001qnc.2-uc010ses.1	0.00787236929532377	0.00618594307938587	-1120.52827666667	-687.853950218579	0.478147651256389	0.520734130340741
uc003xfp.1-uc003xfq.1	1.90303623968748e-05	4.34422268696298e-05	-274.294985833333	-776.260424269006	0.0315618560352168	0.0403118130862342
uc002amf.2-uc010uik.1	0.00635802701352042	0.00624960585235323	-964.742524666667	-668.977796787879	0.478147651256389	0.520734130340741
uc003uvo.2-uc003uvp.1	1.31006160616585e-09	5.83761888763308e-09	-1016.47931014085	-541.561138629032	4.34547434765211e-06	1.51836467267336e-05
uc002hbf.1-uc002hbg.1	0.00389360782708242	0.0025353589530726	-1136.38731692308	-684.343830164835	0.442142770396867	0.47826831831572
uc001cji.1-uc001cjh.2	0.000794773737130137	0.00352133223758949	90.263906	-735.657535473684	0.175750965737378	0.520734130340741
uc002thk.1-uc002thl.1	0.0025860229447457	0.00579768801975545	-105.108265714286	-737.169438031915	0.39472310504837	0.520734130340741
uc002jio.2-uc002jiq.2	0.00767495546976846	0.00693899622623689	-1023.0233225	-679.217975771429	0.478147651256389	0.52148969306714
uc002ftl.2-uc010cjw.2	0.00174284069760445	0.00129147019609117	-947.462227142857	-650.524174313725	0.289050129697698	0.37323488667035
uc002kay.3-uc002kaz.3	0.000139042802149866	4.6495747504307e-05	-962.57045627451	-626.614714861111	0.0768674957885173	0.0403118130862342
uc001vjc.2-uc010aep.2	0.0092863682968079	0.0044447285516599	-1152.422257	-690.807511567568	0.53108420069848	0.520734130340741
uc001dft.2-uc001dfs.2	0.00771948965126776	0.00387229980866931	-1218.4174775	-692.921242727273	0.478147651256389	0.520734130340741
uc001vps.2-uc001vpv.2	4.46993186029538e-05	0.00278141839589497	103.01558	-744.918730159574	0.0370669099514995	0.482297949848187
uc002wxh.2-uc002wxi.2	0.0056706259575177	0.00560637074582335	-1179.654336	-689.335507297297	0.478147651256389	0.520734130340741
uc001trs.1-uc010syd.1	0.000346739854689357	0.000102462041357816	-1076.8142204	-661.195627647059	0.143767012250575	0.0666259423929195
uc001ses.2-uc001sev.2	0.00381979155906476	0.00156650946472974	-960.353361176471	-662.556508881988	0.442142770396867	0.407449111776205
