p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002uhw.3-uc002uhv.3	0.00801173919637503	0.00435065420830975	-264.795263	497.042068054968	0.142214528139527	0.125193825408086
uc003oyj.2-uc010jze.2	8.5223479970811e-10	7.12916805051265e-10	1086.41516217391	380.411351135266	4.74126626904279e-07	3.96619382543521e-07
uc003qdo.2-uc003qdn.2	0.00211166268778916	0.00162233082444772	718.148233018868	414.666400159151	0.0698552646334194	0.0615379578637102
uc003atc.2-uc003atf.2	0.00454164714191578	0.00432377882138905	-553.364431666667	494.28329591195	0.113134463878469	0.125193825408086
uc003lon.1-uc003loo.2	0.00101598136892285	0.000468093201603982	-221.216644705882	506.896198540773	0.0507722885895642	0.0289350945732239
uc003weq.2-uc003weo.2	0.000159844532401618	0.00086237345257343	1985.76461	465.531637050209	0.0135081262292294	0.0411228940670016
uc002bad.2-uc002bae.2	0.000161870895497057	0.00028611175097141	84.2967782539683	540.814877452381	0.0135081262292294	0.0217054778350583
uc001brj.1-uc001brl.1	1.19979299551774e-08	3.36824990001702e-09	-284.60312225	550.422280925508	5.00613627379778e-06	1.4054022707821e-06
uc001ibl.2-uc001ibi.2	0.00608375874073086	0.00388814690513606	942.367335555556	453.967165570175	0.1262463939573	0.116418765733606
uc001ozx.3-uc001ozy.2	0.00623629787069508	0.00390351648546889	240.911214418605	533.336476372796	0.1262463939573	0.116418765733606
uc001jnb.2-uc001jnc.2	0.000923438813781344	0.00032788605773585	-137.882183181818	510.816385227766	0.0481631056312832	0.0228008113575681
uc001hef.2-uc001hed.2	0.00740400649016375	0.0077831111998555	-8.68179652173913	505.766580173913	0.135794360792124	0.163704012653178
uc002cmw.3-uc002cmx.3	0.00610061885744823	0.00461533323558966	-221.4310825	499.172226220807	0.1262463939573	0.128383186169986
uc003him.2-uc011cbm.1	0.000353073593764615	0.000379385644976082	-818.159861666667	497.614056037736	0.022664608768967	0.0243536400563493
uc003swc.2-uc003swa.2	0.00499630484979416	0.00366917263111965	-270.716306363636	498.794120614407	0.116739776547646	0.116418765733606
uc003gfz.2-uc003ggb.1	0.000485054078225446	0.000157863849969028	-313.876662666667	506.754477564103	0.0289126877342239	0.0138670929262267
uc002hdt.1-uc002hdu.1	4.50974318699731e-05	1.59436448665704e-05	-95.3262278378378	529.103174865471	0.00580401408194525	0.0022174952735255
uc010zwg.1-uc002xki.2	0.0014132022979981	0.00147645328829945	-593.808128571429	497.078996764706	0.0540005573574296	0.0601024521505312
uc003lkb.3-uc003lkd.1	0.00288820081581219	0.00810165313842071	963.086482068966	450.492153259912	0.0876437665743735	0.16489828156127
uc003jnf.2-uc010ivj.1	0.00123763529221999	0.00226546897803084	-425.95926	500.449340718816	0.052233217933891	0.0785160328419243
