p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002rmv.2-uc002rmw.2	0.00136075525295043	0.00134152435415144	65.698108	-715.613014344828	0.0178258938136506	0.031465919982472
uc003lwz.2-uc003lwy.2	0.000184515175139182	0.000134148053079367	-75.768203	-724.356496807017	0.00693194917146733	0.017573394953397
uc003yzp.1-uc003yzn.1	0.00143380064146679	0.000917829810670367	-5.67345166666667	-716.834750553633	0.0184473814674433	0.0287520164603478
uc002gph.1-uc002gpj.2	2.38870218452356e-05	0.00192553586775385	42.7873788888889	-725.819475629371	0.00264778449838342	0.0365091734925434
uc002owt.2-uc010xwp.1	0.00175650846037033	0.000627785689881793	-70.2232685714286	-717.735141458333	0.0205782820438507	0.0269852444544286
uc001zls.3-uc001zlr.2	0.000396381818887852	0.00165099508222846	-300.230072857143	-733.191430985401	0.00865433637905144	0.0339869130498744
uc003hqs.3-uc011cdc.1	0.0036369193846146	0.00135384249751094	-236.377468181818	-720.419477007042	0.0301367371434946	0.031465919982472
uc004blh.2-uc004bli.2	3.31752763673907e-08	3.91774543547573e-07	-50.6938336842105	-747.232249202899	4.780557324541e-05	0.000564547117252052
uc001kls.3-uc009xvc.2	0.00107992175267521	0.000374617656789665	-179.556114545455	-722.620304084507	0.0154446632565549	0.0195001302416038
uc003lrl.2-uc011dcd.1	1.1779366454907e-05	0.000362729800178226	69.5198366666667	-726.660706818182	0.00188600745128012	0.0195001302416038
uc002lus.2-uc002luq.1	0.00612618816633658	0.00331108749954076	-43.532122	-713.729734517241	0.0380672180316912	0.0478821599165
uc001jrd.3-uc001jre.3	7.97646273307536e-06	0.000116124430161823	-25.0600308333333	-731.0903295053	0.00188600745128012	0.017573394953397
uc003yhs.1-uc003yhr.1	0.00306350684796582	0.0021435953383097	-143.158135	-717.958252752613	0.0276308156766044	0.0391002643354971
uc002ied.3-uc002ief.1	0.00106376829426374	0.000126814341141903	-222.534105384615	-724.490568262411	0.0154446632565549	0.017573394953397
uc002lpp.2-uc002lps.2	0.000122789860632725	0.000149587419016422	-267.213404285714	-735.721905583942	0.00610138583350885	0.017962955900222
uc003spt.2-uc011jws.1	0.00297759578818908	0.00346203035490745	-429.118107096774	-734.456902651515	0.0273293982852259	0.0487109010005817
uc001kea.2-uc010qmn.1	0.000141071571265198	0.000807018362220203	-146.153669230769	-728.011652198582	0.00616012527858032	0.0283567759332176
uc002kuu.2-uc002kuv.2	0.0027790455302556	0.00107146569379212	-47.9616866666667	-715.956794117647	0.0263460829545942	0.0290477000824212
uc001ijq.2-uc001ijp.2	0.00589146194921642	0.00238165444309553	-212.449618888889	-717.787542132867	0.0370724745363356	0.0399705184065966
