p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002vny.2-uc010fwy.1	0.00526163316121751	0.00607206379521029	-997.875099375	-640.426035878136	0.136277006424399	0.185099916392829
uc002rmv.2-uc002rmw.2	0.00575881958133678	0.00519783401031222	-49.664714	-670.332903551724	0.143076879598384	0.179646851246925
uc003kjc.2-uc011ctx.1	0.0033024688035067	0.00297989033103968	-993.944977222222	-638.100563212996	0.120904387802868	0.157009557896404
uc002cwl.2-uc010uxk.1	0.00217287098514902	0.00262639916855951	-905.880020294118	-627.758409616858	0.11182525319999	0.157009557896404
uc001sky.2-uc001skw.2	0.00292836208151317	0.00394170645577777	-920.981762758621	-631.33982887218	0.120904387802868	0.157777750077105
uc010idh.2-uc003gju.3	0.00438645786483333	0.00922988919898395	-1061.0742675	-642.798496077738	0.129697694864758	0.221671172262264
uc003etr.2-uc011bmz.1	4.2379929180646e-07	8.6190529531408e-07	-1097.5706537931	-612.087656541353	0.000610694779493109	0.00124200553054759
uc002npb.1-uc002npc.1	0.00149909917934664	0.00173605318388705	-968.713699583333	-632.456593394834	0.0943461977823244	0.157009557896404
uc002sze.2-uc010fil.2	0.000772918278519378	0.00117916108968117	-1095.51633571429	-638.105469395018	0.0742516826230949	0.14159759418588
uc003kcb.2-uc011csh.1	4.47201710257193e-05	0.000163839741432527	-1413.64103	-641.4908971875	0.0124928659565317	0.0340045419299505
uc002xho.3-uc002xhp.3	0.00354398528285157	0.00421158059336825	-1038.59920785714	-640.941198185053	0.120904387802868	0.164023990136315
uc004aym.2-uc004ayk.2	0.00474440653362907	0.00823268649254965	-1013.70849133333	-640.85442225	0.129697694864758	0.213947438985533
uc002lfj.3-uc010dpg.2	0.00298289932258184	0.00645304019235847	-1045.42739571429	-640.601003772242	0.120904387802868	0.18977205953446
uc001yaz.1-uc001yba.1	0.00460172609086629	0.00708901659696188	-1003.026001875	-640.130643620072	0.129697694864758	0.196447556081194
uc002kqw.2-uc002kqy.2	5.75341378080628e-05	0.000205098497487811	-1313.01327	-639.257853741259	0.0124928659565317	0.0369433668599919
uc002azb.1-uc002aza.1	0.00529598359456373	0.0066923825574517	-1349.809825	-650.328612714777	0.136277006424399	0.192874465305758
uc002eeu.3-uc002eew.3	0.00874005849486222	0.00837986613945454	-874.317138484848	-632.795419961832	0.181341023888971	0.213947438985533
uc001btk.1-uc001bti.1	0.00662821149623213	0.00979437556456366	-1259.873424	-649.467236137931	0.156577914197877	0.231372052271086
uc003vlm.2-uc003vlo.2	0.000323010406570393	0.000332065685831585	-1008.85327791667	-628.901796789668	0.0517175550964374	0.0531674059203682
uc003ihz.1-uc011chd.1	0.000282173700521288	0.000524492647290936	-950.344890882353	-621.966050996169	0.0508265378063969	0.0755793904746238
uc010asx.2-uc010tvp.1	0.00381225719478467	0.00846287579609672	-868.62911902439	-626.106581574803	0.12207694705966	0.213947438985533
uc003yjw.2-uc011lhg.1	0.00477028301723258	0.00386081240981884	-990.848792941176	-639.569914100719	0.129697694864758	0.157777750077105
uc001grw.2-uc010por.1	0.0027131826097937	0.00376112909443083	-939.331255769231	-632.79647936803	0.120904387802868	0.157777750077105
uc001rzo.1-uc001rzp.1	0.0015058726918761	0.00139520380866814	-1210.1894	-644.471604181185	0.0943461977823244	0.154652976022368
uc003liz.2-uc011dak.1	0.00375074181967878	0.0058064053729964	-1243.07941333333	-647.703768581315	0.12207694705966	0.185099916392829
uc003dik.2-uc003dil.2	0.00231900543595066	0.00886152701897678	92.9514325	-670.16038257732	0.115230580455341	0.219762290045406
uc001qnu.2-uc001qnt.2	0.00203298571449043	0.00244514709980327	-1163.65165555556	-643.958044405594	0.108501200540027	0.157009557896404
uc001waz.2-uc010tlv.1	0.00358970682598001	0.00312114678178471	-991.036335555556	-638.289572418773	0.120904387802868	0.157009557896404
uc001jcp.3-uc001jcl.3	0.00432131106167513	0.00363269985128401	-1234.210435	-647.887899619377	0.129697694864758	0.157777750077105
uc002qbm.2-uc002qbn.2	0.00075448208175635	0.00226586754172885	-1021.136296	-633.535053381818	0.0742516826230949	0.157009557896404
uc003ean.1-uc011bij.1	0.00466244648708956	0.00811902051727217	-845.985441458333	-623.633864008097	0.129697694864758	0.213947438985533
uc003xry.2-uc011ldx.1	0.00184344201636605	0.00269950649019157	-970.015612173913	-633.582744558823	0.106255997823339	0.157009557896404
uc001cgo.2-uc010ojr.1	0.00351735313556684	0.00369109051473575	-916.079619655172	-631.874273045113	0.120904387802868	0.157777750077105
uc003etf.3-uc011bmv.1	0.00360783391778161	0.00616571546624276	-990.859928888889	-638.30103566787	0.120904387802868	0.185099916392829
uc002etl.2-uc002etm.1	0.000764385923486249	0.00285206285493574	-1490.057745	-648.400806254296	0.0742516826230949	0.157009557896404
uc001caa.2-uc001cad.2	0.00357256842080113	0.00727724624017745	-1201.66922857143	-646.642989583333	0.120904387802868	0.197858713813126
uc001xxj.2-uc010atj.2	0.00248130681433994	0.00526816319196577	-1003.74620777778	-637.463660144404	0.119185437315462	0.179646851246925
uc001jpb.2-uc001jpd.2	0.00202530641532665	0.00267703090755718	-967.285385652174	-633.813609301471	0.108501200540027	0.157009557896404
uc001bgv.2-uc001bgw.2	5.9623418252816e-05	0.000165185144697886	-1159.42671933333	-633.048088607143	0.0124928659565317	0.0340045419299505
uc002nxx.2-uc002nxy.1	0.00103134192411729	0.00215487085118994	-1070.12162533333	-637.832290071429	0.0782191427712112	0.157009557896404
uc004aqc.1-uc004aqd.2	0.000414653481395908	0.000157528100598244	-338.397644814815	-692.194511902985	0.0597515666691504	0.0340045419299505
uc003jhj.3-uc010iuj.2	0.00344307009067786	0.0054102674721228	-1112.550478	-643.927581824561	0.120904387802868	0.179646851246925
uc001qqt.3-uc001qqu.2	0.000590589289253163	0.00386382512292185	-1349.24676666667	-645.499602076125	0.0742516826230949	0.157777750077105
uc003lzb.2-uc011del.1	0.00310723214978814	0.00548540003807404	-873.154065609756	-625.376176811024	0.120904387802868	0.179646851246925
uc010xqv.1-uc010xqu.1	0.00175632612604794	0.00242810991016264	-964.28984375	-632.84837398524	0.105452747818128	0.157009557896404
uc004dck.2-uc010ngl.2	9.78519789495513e-06	1.35430436442072e-05	-1208.55333933333	-630.416305392857	0.00705023508331517	0.00975776294565125
uc004bdn.2-uc010mtr.2	0.00456612828217326	0.00463267619705291	-1286.297658	-649.011645896552	0.129697694864758	0.175495576933965
uc003him.2-uc003hin.2	0.0013129057400505	0.00315980373282145	-1076.533205	-639.051248149466	0.0900903414958462	0.157009557896404
uc003sjg.2-uc011jvr.1	0.000693173747593463	0.00211419707687213	-1212.83218111111	-642.41040548951	0.0742516826230949	0.157009557896404
uc002ass.2-uc002ast.2	6.06870657152826e-05	2.97574516966906e-05	-1142.209001875	-632.148822831541	0.0124928659565317	0.0125184535020196
uc002era.2-uc010vja.1	0.000997296815783436	0.00206295527753476	-1103.37717615385	-639.365114574468	0.0782191427712112	0.157009557896404
uc004bnv.2-uc004bnr.2	0.00414980785952969	0.00498767954379928	-879.331534054054	-628.331778449612	0.129697694864758	0.179646851246925
uc003nil.3-uc003nij.2	0.000874066946568624	0.00109987980241558	-957.140155714286	-628.632738726592	0.0782191427712112	0.14159759418588
uc010jda.2-uc011cws.1	0.00102062805339327	0.00343308571328986	-1269.49963	-644.994333993056	0.0782191427712112	0.157777750077105
uc002uow.1-uc010fro.1	0.00113663780542748	0.00222520587394066	-1009.0648595	-634.412976036364	0.0818947538810499	0.157009557896404
uc001hoh.2-uc009xef.2	1.77447790505741e-05	3.47493504566818e-05	-1192.890488	-631.255386714286	0.00852340887062574	0.0125184535020196
uc002gpy.2-uc002gpz.2	0.00258717437222592	0.00307724307532681	-934.895951111111	-632.099533283582	0.120261879689598	0.157009557896404
uc001hcq.2-uc001hct.2	0.00769339288423796	0.00611363217361533	-1035.52385416667	-643.881905830389	0.17453249615479	0.185099916392829
