p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc003ecy.1-uc003ecx.1	3.69506401853069e-06	7.02954217901271e-05	-188.838743484848	-506.420747692308	0.0014022767950324	0.0177847417129022
uc003jnf.2-uc010ivj.1	9.7863867778518e-06	3.82015342465036e-05	-885.738014642857	-438.794846723769	0.00247595585479651	0.0144974822465481
uc003uvo.2-uc003uvp.1	0.00444596326907794	0.00928433442108104	-1021.88746428571	-456.075093401639	0.146716787879572	0.391489434755584
uc002lbi.3-uc002lbf.3	0.0018798761431406	0.00117271640787518	-1.27312416666667	-475.574700496894	0.0791544107426462	0.0984220356248983
uc003zcn.2-uc003zcq.2	0.00414923869740454	0.00635558762591189	-1209.9153625	-458.000399959267	0.146716787879572	0.344563643433366
uc003fsv.2-uc003fsw.2	4.10346360759916e-14	1.20826307691951e-11	-37.3597805714286	-534.359231035294	3.11452887816776e-11	9.17071675381912e-09
uc002rat.2-uc002ras.2	0.00205404605224288	0.00218397999808599	-40.0713864285714	-476.417585072765	0.0791544107426462	0.150694619867933
uc001bau.1-uc001bav.1	0.000459081811226508	0.000247206413544895	-771.297715757576	-442.132106515152	0.0580738491201533	0.0455387236651544
uc011mhg.1-uc004cqp.2	0.00129716569756469	0.000299991591997065	-136.9031324	-481.47931812766	0.0771796941225494	0.0455387236651544
uc001apy.2-uc001apz.2	0.00598551391638875	0.00812064938156728	-938.55782	-455.28978899177	0.181720202501562	0.385223305038098
uc001tlh.3-uc001tli.3	0.001321918344655	0.00129673301218575	-597.980513781513	-421.697278430851	0.0771796941225494	0.0984220356248983
uc001vhb.2-uc001vha.2	5.69609744097588e-05	0.000698956048903949	20.5545922222222	-482.364445471698	0.0108083448942517	0.0834654679676239
uc002mkd.2-uc002mkc.2	0.000836828943142965	0.000879741427853743	-623.760476458333	-425.656270902256	0.0705725742050567	0.0834654679676239
uc003sis.2-uc003sir.2	0.000622361674587564	0.00518140053709634	-1352.76968	-456.836617331976	0.0590465638764951	0.302514077512009
uc001bgv.2-uc001bgw.2	0.00185422961463547	0.00506997542663624	345.17808	-470.669185641548	0.0791544107426462	0.302514077512009
uc011cea.1-uc003hue.2	0.0016987772495154	0.00747583571562751	200.731586666667	-472.233634662577	0.0791544107426462	0.378277287210752
uc011mju.1-uc004daz.1	0.00106904603250742	0.000861803428933198	-706.734962666667	-439.810632244444	0.0771796941225494	0.0834654679676239
