#List of 29 CNA cancer driver genes in TCGA cohort.
#
#The tumor types where a gene is CNA driver is a merge of Tumor_type_mutational and Tumor_type_GISTIC columns.
#
##geneHGNCsymbol
##Tumor_type_mutational = tumor type where driver was detected as mutational driver
##Tumor_type_GISTIC = tumor type where driver was detected by GISTIC. 
##GISTIC_CNA = CNA status (according GISTIC)
###
geneHGNCsymbol	Tumor_type_mutational	Tumor_type_GISTIC	GISTIC_CNA
AURKA		COREAD	A
BAP1	BRCA		
BAP1		BRCA	D
BAP1		LGG	D
BRCA1	BRCA		
BRCA2	BRCA		
CCND2		COREAD	A
CCND2		GBM	A
CCND3		COREAD	A
CCNE1		BLCA	A
CCNE1		BRCA	A
CCNE1		OV	A
CCNE1		UCEC	A
CDK4		GBM	A
CDK4		LGG	A
CDK4		LUAD	A
CDK4	CM		
CDK4		CM	A
CDK6		GBM	A
CDK6		LUSC	A
CDKN1B	BRCA		
CDKN1B		BRCA	D
CDKN1B	PRAD		
CDKN1B		PRAD	D
CDKN2A	BLCA		
CDKN2A		BLCA	D
CDKN2A		BRCA	D
CDKN2A		GBM	D
CDKN2A	HNSC		
CDKN2A		HNSC	D
CDKN2A		RCCC	D
CDKN2A		LGG	D
CDKN2A	LUAD		
CDKN2A		LUAD	D
CDKN2A	LUSC		
CDKN2A		LUSC	D
CDKN2A	CM		
CDKN2A		CM	D
CDKN2B		BLCA	D
CDKN2B		BRCA	D
CDKN2B		GBM	D
CDKN2B		RCCC	D
EGFR		BLCA	A
EGFR	BRCA		
EGFR	GBM		
EGFR	HNSC		
EGFR		HNSC	A
EGFR	LGG		
EGFR		LGG	A
EGFR	LUAD		
EGFR		LUAD	A
EGFR	LUSC		
EGFR		LUSC	A
ERBB2		BLCA	A
ERBB2	BRCA		
ERBB2		BRCA	A
ERBB2		COREAD	A
ERBB2		UCEC	A
FBXW7	BLCA		
FBXW7	HNSC		
FBXW7		LUSC	D
FGFR1		HNSC	A
FGFR2	STAD		
FGFR3	BLCA		
FGFR3		BLCA	A
FGFR3		GBM	A
FGFR3		UCEC	A
IGF1R		BRCA	A
IGF1R		OV	A
MDM2		BLCA	A
MDM2		GBM	A
MDM2		HNSC	A
MDM2		LUAD	A
MDM2		CM	A
MDM4		GBM	A
MDM4		LGG	A
MET	GBM		
MET		GBM	A
MET	RCCC		
MET	LUAD		
MET	STAD		
NF1	BRCA		
NF1	AML		
NF1		AML	D
NF1	OV		
NF1		OV	D
NF1		UCEC	D
NF2	CM		
NF2	UCEC		
PTEN	BRCA		
PTEN		BRCA	D
PTEN	COREAD		
PTEN		COREAD	D
PTEN	GBM		
PTEN		GBM	D
PTEN		HNSC	D
PTEN	RCCC		
PTEN	LUSC		
PTEN		LUSC	D
PTEN	OV		
PTEN	PRAD		
PTEN		PRAD	D
PTEN	CM		
PTEN		CM	D
PTEN	STAD		
PTEN	THCA		
PTEN	UCEC		
PTEN		UCEC	D
SMARCA4	BRCA		
SMARCB1	PRAD		
STK11	BRCA		
STK11		HNSC	D
STK11	LUSC		
STK11		LUSC	D
STK11		OV	D
TP53	BRCA		
TP53	AML		
TP53	PRAD		
TP53		PRAD	D
TP53	THCA		
