#List of 666 genes for which we were able to compute clonal frequency
#
#All driver genes stated as major or those with an FDR < 0.1 
#
##geneHGNCsymbol
##Mean VAF = average variant allele frequency of somatic mutations detected in the driver gene across samples of each tumor type.
##Zvalue = Zscore of the gene's average variant allele frequency in the context of all somatic mutations detected in the tumor type.
##Nmutations = Number of mutations observed in the driver across the cohort
##Pvalue = P-value resulting from the statistical test of major drivers
##FDR = Corrected P-value
##MeanCCF = Mean CCF of all mutations detected in drivers of the tumor type
###
geneHGNCsymbol	MeanVAF	Nmutations	Zvalue	Pvalue	FDR	MeanCCF
EP300	0.43716458978401801	57	7.2702900000000001	1.7935828113721344e-13	9.3266306191350982e-12	0.87432917956803602
TP53	0.45446145976936747	37	6.6560800000000002	1.4061360992068139e-11	3.6559538579377159e-10	0.90892291953873494
BAP1	0.5	9	4.3951799999999999	5.5340500482465723e-06	9.5923534169607252e-05	1.0
MLL2	0.43935710116536603	14	3.8646099999999999	5.563341918440381e-05	0.00072323444939724946	0.87871420233073205
HSPA8	0.4462185329601544	12	3.50061	0.00023209731048945905	0.0024138120290903742	0.8924370659203088
RB1	0.4748540750777287	8	3.3719000000000001	0.00037325774087627683	0.0032349004209277325	0.9497081501554574
ACTG1	0.45873446525468231	8	3.1491600000000002	0.00081870259767644602	0.0060817907255964563	0.91746893050936462
TSC1	0.49781974431064668	5	3105	0.00095139512293015169	0.0061840682990459859	0.99563948862129337
ARID1A	0.40928487647220291	16	2.9455100000000001	0.0016121136264987599	0.0093144342864372801	0.81856975294440582
KDM6A	0.43718642417014508	9	2.8847	0.0019589340611865761	0.010186457118170195	0.87437284834029017
FAT1	0.41118656032279238	13	2.8450299999999999	0.00222036202251134	0.010496256833689972	0.82237312064558477
MGA	0.46851999999999999	5	2.6896300000000002	0.0035765639953060958	0.015498443979659748	0.93703999999999998
CDH1	0.41957081977945532	7	2.1463100000000002	0.01592412715146975	0.063696508605878999	0.83914163955891063
CDKN1B	0.41529999999999995	6	2.0722900000000002	0.019119202221600424	0.071014179680230147	0.83059999999999989
EEF1B2	0.42409999999999998	4	1.7241599999999999	0.042339481477072692	0.14677686912051868	0.84819999999999995
