#List of 475 drivers. driver type and its role in cancer
#
##geneHGNCsymbol
##Driver_type = whether it is a mutational driver (MUTATION). a CNA driver (CNA) or a fusion driver (FUSION) 
##Role = Between Activating. Loss of function or No class. Retrieved from OncodriveROLE for mutational drivers. Remaining driver role was established through coherent manual annotation.
##OncodriveROLE_prob = OncodriveROLE results for 459 mutational drivers
###
geneHGNCsymbol	Driver_type	Role	OncodriveROLE_prob
ABL1	FUSION	Activating	N/A
ABL2	MUTATION	Activating	0.811
ACACA	MUTATION	Activating	0.7815
ACAD8	MUTATION	Activating	0.734
ACO1	MUTATION	Loss of function	0.254
ACSL3	MUTATION	No class	N/A
ACSL6	MUTATION	Loss of function	0.0455
ACTB	MUTATION	Activating	0.8405
ACTG1	MUTATION	Activating	0.927
ACTG2	MUTATION	Activating	0.769
ACVR1B	MUTATION	Loss of function	0.187
ACVR2A	MUTATION	Loss of function	0.012
ADAM10	MUTATION	Activating	0.7845
ADCY1	MUTATION	Activating	0.872
AFF4	MUTATION	No class	0.682
AHCTF1	MUTATION	No class	0.565
AHNAK	MUTATION	Activating	0.956
AHR	MUTATION	Activating	0.876
AKAP9	MUTATION	No class	0.4245
AKT1	MUTATION	Activating	0.9945
AKT3	FUSION	Activating	N/A
ALK	MUTATION	Activating	0.966
ALK	FUSION	Activating	0.966
ANK3	MUTATION	Activating	0.881
APAF1	MUTATION	Loss of function	0.0095
APC	MUTATION	Loss of function	5.00E-004
AQR	MUTATION	Activating	0.7445
ARAP3	MUTATION	Loss of function	0.0195
ARFGAP1	MUTATION	No class	0.4275
ARFGAP3	MUTATION	Loss of function	0.012
ARFGEF1	MUTATION	No class	N/A
ARFGEF2	MUTATION	Activating	0.862
ARHGAP26	MUTATION	Loss of function	0.05
ARHGAP29	MUTATION	No class	N/A
ARHGAP35	MUTATION	Loss of function	5.00E-004
ARHGEF2	MUTATION	Activating	0.7575
ARHGEF6	MUTATION	Loss of function	0.214
ARID1A	MUTATION	Loss of function	5.00E-004
ARID1B	MUTATION	Loss of function	0.02
ARID2	MUTATION	Loss of function	0.0185
ARID4A	MUTATION	No class	N/A
ARID4B	MUTATION	Loss of function	0.173
ARID5B	MUTATION	Loss of function	0.082
ARNTL	MUTATION	Loss of function	0.0785
ASH1L	MUTATION	Activating	0.9625
ASPM	MUTATION	Activating	0.95
ASXL1	MUTATION	Loss of function	0.1055
ATF1	MUTATION	No class	0.622
ATIC	MUTATION	Loss of function	0.0305
ATM	MUTATION	Loss of function	0
ATP6AP2	MUTATION	Loss of function	0.0415
ATR	MUTATION	No class	0.386
ATRX	MUTATION	Loss of function	0.0015
AURKA	CNA	A	N/A
AXIN1	MUTATION	Loss of function	0.172
AXIN2	MUTATION	Loss of function	0.265
B2M	MUTATION	Loss of function	0.032
BAP1	MUTATION	Loss of function	0.0015
BAP1	CNA	Loss of function	0.0015
BAZ2B	MUTATION	Activating	0.909
BCL11A	MUTATION	Activating	0.939
BCLAF1	MUTATION	Activating	0.9105
BCOR	MUTATION	Loss of function	0.0225
BLM	MUTATION	No class	0.3155
BMPR2	MUTATION	Loss of function	0.0405
BNC2	MUTATION	Loss of function	0.0515
BPTF	MUTATION	Activating	0.937
BRAF	MUTATION	Activating	0.9995
BRCA1	MUTATION	Loss of function	0.0045
BRCA1	CNA	Loss of function	0.0045
BRCA2	MUTATION	Loss of function	0.0415
BRCA2	CNA	Loss of function	0.0415
BRWD1	MUTATION	Activating	0.926
C15orf55	MUTATION	No class	0.698
CAD	MUTATION	Activating	0.8805
CAPN7	MUTATION	No class	0.354
CARM1	MUTATION	Activating	0.83
CASP1	MUTATION	Loss of function	0.031
CASP8	MUTATION	Loss of function	0.011
CAST	MUTATION	Loss of function	0.0135
CAT	MUTATION	Activating	0.836
CBFB	MUTATION	Loss of function	0.0055
CCAR1	MUTATION	Loss of function	0.012
CCND1	MUTATION	Activating	0.9595
CCND2	CNA	A	N/A
CCND3	CNA	A	N/A
CCNE1	CNA	A	N/A
CCT5	MUTATION	Activating	0.8805
CDC27	MUTATION	Loss of function	0.0445
CDC73	MUTATION	No class	0.5795
CDH1	MUTATION	Loss of function	0.0035
CDK12	MUTATION	Loss of function	0.089
CDK4	MUTATION	No class	N/A
CDK4	CNA	A	N/A
CDK6	CNA	A	N/A
CDKN1A	MUTATION	Loss of function	0.043
CDKN1B	MUTATION	Loss of function	0.0515
CDKN1B	CNA	Loss of function	0.0515
CDKN2A	MUTATION	Loss of function	0.0315
CDKN2A	CNA	Loss of function	0.0315
CDKN2B	CNA	Loss of function	N/A
CEBPA	MUTATION	Loss of function	0.1245
CEP290	MUTATION	Loss of function	0.1625
CHD1L	MUTATION	No class	0.658
CHD3	MUTATION	Loss of function	0.2125
CHD4	MUTATION	Activating	0.9665
CHD6	MUTATION	Activating	0.973
CHD8	MUTATION	Loss of function	0.048
CHD9	MUTATION	Activating	0.7155
CHEK2	MUTATION	Loss of function	0.2895
CIC	MUTATION	Loss of function	0.079
CIITA	MUTATION	No class	0.6355
CLASP2	MUTATION	Loss of function	0.198
CLCC1	MUTATION	Activating	0.7855
CLOCK	MUTATION	Loss of function	0.126
CLSPN	MUTATION	Loss of function	0.116
CLTC	MUTATION	Activating	0.8705
CNOT1	MUTATION	Loss of function	0.0965
CNOT3	MUTATION	Activating	0.9095
CNOT4	MUTATION	No class	0.5875
CNTNAP1	MUTATION	No class	0.6955
COL1A1	MUTATION	Activating	0.977
COPS2	MUTATION	Loss of function	0.0355
CREBBP	MUTATION	Loss of function	0.043
CRNKL1	MUTATION	Activating	0.8775
CRTC3	MUTATION	No class	N/A
CSDA	MUTATION	Activating	0.8635
CSDE1	MUTATION	Loss of function	0.245
CSNK1G3	MUTATION	Loss of function	0.0235
CSNK2A1	MUTATION	Loss of function	0.1625
CTCF	MUTATION	Loss of function	0.007
CTNNB1	MUTATION	Activating	0.982
CTNND1	MUTATION	Loss of function	0.015
CTTN	MUTATION	Activating	0.876
CUL1	MUTATION	Loss of function	0.213
CUL2	MUTATION	Loss of function	0.207
CUL3	MUTATION	Loss of function	0.1075
CUX1	MUTATION	No class	0.4385
CYLD	MUTATION	Loss of function	0.035
CYTH4	MUTATION	No class	N/A
DDX3X	MUTATION	Loss of function	0.1495
DDX5	MUTATION	Loss of function	0.126
DEPDC1B	MUTATION	Loss of function	0.059
DHX15	MUTATION	Loss of function	0.0075
DHX35	MUTATION	Activating	0.8525
DHX9	MUTATION	Activating	0.928
DICER1	MUTATION	Loss of function	0.0705
DIS3	MUTATION	Activating	0.8525
DLG1	MUTATION	Activating	0.8765
DNMT3A	MUTATION	Loss of function	0.1995
EEF1A1	MUTATION	Loss of function	0.1925
EEF1B2	MUTATION	Activating	0.8225
EFTUD2	MUTATION	No class	0.679
EGFR	MUTATION	Activating	0.999
EGFR	CNA	A	0.999
EIF1AX	MUTATION	Loss of function	0.194
EIF2AK3	MUTATION	Loss of function	0.038
EIF2C3	MUTATION	Activating	0.881
EIF4A2	MUTATION	Activating	0.836
EIF4G1	MUTATION	Activating	0.8765
EIF4G3	MUTATION	Activating	0.763
ELF1	MUTATION	Loss of function	0.0395
ELF3	MUTATION	Loss of function	0.039
ELF4	MUTATION	Activating	0.8745
EP300	MUTATION	Loss of function	0.0085
EPC1	MUTATION	No class	N/A
EPHA1	MUTATION	Activating	0.9545
EPHA2	MUTATION	Loss of function	0.089
EPHA4	MUTATION	No class	0.696
EPHB2	MUTATION	Activating	0.849
ERBB2	MUTATION	No class	N/A
ERBB2	CNA	A	N/A
ERBB2IP	MUTATION	Loss of function	0.2055
ERBB3	MUTATION	Activating	0.995
ERCC2	MUTATION	Activating	0.9525
EZH2	MUTATION	Loss of function	0.179
F8	MUTATION	Activating	0.796
FAF1	MUTATION	Loss of function	0.0145
FAM123B	MUTATION	Loss of function	0.05
FAM46C	MUTATION	No class	N/A
FANCI	MUTATION	No class	N/A
FAS	MUTATION	Loss of function	0.0895
FAT1	MUTATION	Loss of function	0.01
FAT2	MUTATION	Activating	0.7365
FBXO11	MUTATION	No class	N/A
FBXW7	MUTATION	Loss of function	0.0335
FBXW7	CNA	Loss of function	0.0335
FCRL4	MUTATION	No class	N/A
FGFR1	MUTATION	No class	N/A
FGFR1	CNA	A	N/A
FGFR2	MUTATION	Activating	0.9965
FGFR2	CNA	A	0.9965
FGFR3	MUTATION	Activating	0.8115
FGFR3	CNA	A	0.8115
FGFR3	FUSION	Activating	0.8115
FIP1L1	MUTATION	Activating	0.932
FKBP5	MUTATION	Activating	0.9305
FLT3	MUTATION	Activating	0.952
FMR1	MUTATION	Loss of function	0.1195
FN1	MUTATION	Loss of function	0.104
FOXA1	MUTATION	Loss of function	0.1645
FOXA2	MUTATION	Loss of function	0.14
FOXP1	MUTATION	Loss of function	0.0035
FRG1	MUTATION	Loss of function	0.046
FUBP1	MUTATION	Loss of function	0.0195
FUS	MUTATION	Loss of function	0.021
FXR1	MUTATION	Loss of function	0.1815
G3BP1	MUTATION	No class	0.685
G3BP2	MUTATION	Activating	0.882
GATA3	MUTATION	Loss of function	0.012
GNA11	MUTATION	Activating	0.8415
GNAI1	MUTATION	Loss of function	0.069
GNAS	MUTATION	Activating	0.9755
GNG2	MUTATION	Loss of function	0.0205
GOLGA5	MUTATION	No class	0.596
GPS2	MUTATION	Loss of function	0.012
GPSM2	MUTATION	Loss of function	0.1075
HCFC1	MUTATION	Activating	0.837
HDAC3	MUTATION	Loss of function	0.028
HDAC9	MUTATION	Activating	0.9045
HGF	MUTATION	No class	0.4255
HLA-A	MUTATION	Loss of function	0.003
HLA-B	MUTATION	Loss of function	0.0645
HLF	MUTATION	Activating	0.8865
HNF1A	MUTATION	Activating	0.723
HNRPDL	MUTATION	Loss of function	0.0195
HRAS	MUTATION	Activating	0.922
HSP90AA1	MUTATION	Activating	0.886
HSP90AB1	MUTATION	Loss of function	0.081
HSPA8	MUTATION	Activating	0.768
IDH1	MUTATION	Activating	0.995
IDH2	MUTATION	Activating	0.9945
IGF1R	CNA	A	N/A
ING1	MUTATION	Loss of function	0.011
INPP4A	MUTATION	Loss of function	0.09
