#List of 10 fusion driver genes in TCGA cohort.
#
##geneHGNCsymbol
##Fusion = fusion partners (__) separated.
##Tumor_type = where gene is driver
###
geneHGNCsymbol	Fusion	Tumor_type
ABL1	ABL1__BCR	ALL,CLL,AML
ALK	ALK__EML4	NSCLC
AKT3	AKT3__MAGI3	BRCA
NTRK3	NTRK3__ETV6	ALL,AML,CLL,DLBCL,MM,BRCA
NTRK1	NTRK1__CD74	LUAD
NTRK1	NTRK1__MPRIP	LUAD
NTRK1	NTRK1__TPM3	THCA
NTRK1	NTRK1__TPR	THCA
NTRK1	NTRK1__TFG	THCA
RAF1	RAF1__SRGAP3	PA
RET	RET__KIF5B	LUAD
RET	RET__CCDC6	LUAD
RET	RET__NCOA4	LUAD,ALL,AML,CLL,DLBCL,MM
ROS1	ROS1__SLC34A2	NSCLC
ROS1	ROS1__FIG	NSCLC
ROS1	ROS1__CD74	NSCLC
ROS1	ROS1__TPM3	NSCLC
ROS1	ROS1__SDC4	NSCLC
ROS1	ROS1__EZR	NSCLC
ROS1	ROS1__LRIG3	NSCLC
ROS1	ROS1__KDELR2	NSCLC
ROS1	ROS1__CCDC6	NSCLC
MLL	MLL__MLLT1	AML,ALL
MLL	MLL__MLLT2	AML,ALL
MLL	MLL__MLLT3	AML,ALL
MLL	MLL__MLLT4	AML,ALL
MLL	MLL__MLLT6	AML,ALL
MLL	MLL__MLLT7	AML,ALL
MLL	MLL__MLLT10	AML,ALL
FGFR3	FGFR3__TACC3	GBM,BLCA
FGFR3	FGFR3__BAIAP2L1	BLCA

