#List of 459 mutation driver genes in full cohort.
#
##geneHGNCsymbol
##Tumor_type = where gene was detected as mutational driver
###
geneHGNCsymbol	Tumor_type
ABL2	LUSC
ACACA	UCEC
ACAD8	GBM
ACAD8	HNSC
ACAD8	LUAD
ACAD8	LUSC
ACAD8	STAD
ACO1	BRCA
ACO1	COREAD
ACO1	ESCA
ACO1	RCCC
ACO1	LGG
ACO1	LUAD
ACO1	LUSC
ACO1	OV
ACO1	CM
ACSL3	CM
ACSL6	BLCA
ACSL6	BRCA
ACSL6	COREAD
ACSL6	ESCA
ACSL6	LUSC
ACSL6	STAD
ACTB	BLCA
ACTB	BRCA
ACTB	DLBC
ACTB	HNSC
ACTB	UCEC
ACTG1	BLCA
ACTG1	CLL
ACTG1	HNSC
ACTG1	RCCC
ACTG1	LUAD
ACTG1	OV
ACTG1	CM
ACTG1	UCEC
ACTG2	LUAD
ACTG2	LUSC
ACTG2	CM
ACTG2	STAD
ACVR1B	BRCA
ACVR1B	COREAD
ACVR1B	ESCA
ACVR1B	LUAD
ACVR1B	LUSC
ACVR1B	PAAD
ACVR1B	CM
ACVR1B	STAD
ACVR2A	HNSC
ACVR2A	HC
ACVR2A	LUAD
ACVR2A	CM
ACVR2A	STAD
ADAM10	BLCA
ADAM10	ESCA
ADAM10	GBM
ADAM10	HNSC
ADAM10	LUAD
ADAM10	LUSC
ADAM10	STAD
ADCY1	PRAD
AFF4	BLCA
AFF4	BRCA
AFF4	ESCA
AFF4	LUAD
AFF4	LUSC
AFF4	OV
AFF4	CM
AFF4	STAD
AHCTF1	CM
AHNAK	BLCA
AHNAK	BRCA
AHNAK	PAAD
AHNAK	PRAD
AHNAK	SCLC
AHNAK	CM
AHNAK	THCA
AHR	BLCA
AHR	ESCA
AHR	HNSC
AHR	RCCC
AHR	NB
AHR	SCLC
AHR	CM
AHR	UCEC
AKAP9	BRCA
AKAP9	COREAD
AKAP9	DLBC
AKAP9	GBM
AKAP9	NSCLC
AKAP9	PRAD
AKAP9	SCLC
AKAP9	STAD
AKAP9	THCA
AKT1	BRCA
AKT1	HNSC
AKT1	RCCC
AKT1	LUAD
AKT1	CM
AKT1	UCEC
ALK	NB
ALK	UCEC
ANK3	BLCA
ANK3	BRCA
ANK3	CLL
ANK3	GBM
ANK3	NB
ANK3	PAAD
ANK3	SCLC
ANK3	CM
ANK3	STAD
ANK3	UCEC
APAF1	HNSC
APC	BLCA
APC	BRCA
APC	COREAD
APC	HNSC
APC	HC
APC	MM
APC	NSCLC
APC	PRAD
APC	STAD
AQR	BLCA
AQR	BRCA
AQR	GBM
AQR	LUSC
AQR	PRAD
AQR	CM
AQR	STAD
ARAP3	UCEC
ARFGAP1	BLCA
ARFGAP1	HNSC
ARFGAP1	LUAD
ARFGAP1	CM
ARFGAP3	PRAD
ARFGEF1	STAD
ARFGEF2	BLCA
ARFGEF2	BRCA
ARFGEF2	ESCA
ARFGEF2	GBM
ARFGEF2	HNSC
ARFGEF2	LGG
ARFGEF2	LUSC
ARFGEF2	CM
ARHGAP26	BLCA
ARHGAP26	ESCA
ARHGAP26	RCCC
ARHGAP26	LGG
ARHGAP26	LUAD
ARHGAP26	CM
ARHGAP26	STAD
ARHGAP26	THCA
ARHGAP29	CM
ARHGAP35	BLCA
ARHGAP35	BRCA
ARHGAP35	ESCA
ARHGAP35	GBM
ARHGAP35	HNSC
ARHGAP35	HC
ARHGAP35	MM
ARHGAP35	PAAD
ARHGAP35	CM
ARHGAP35	STAD
ARHGAP35	UCEC
ARHGEF2	CM
ARHGEF6	GBM
ARHGEF6	HNSC
ARHGEF6	LGG
ARHGEF6	LUSC
ARHGEF6	CM
ARHGEF6	STAD
ARHGEF6	UCEC
ARID1A	BLCA
ARID1A	BRCA
ARID1A	CLL
ARID1A	COREAD
ARID1A	DLBC
ARID1A	ESCA
ARID1A	GBM
ARID1A	RCCC
ARID1A	LGG
ARID1A	HC
ARID1A	LUAD
ARID1A	LUSC
ARID1A	MB
ARID1A	NB
ARID1A	OV
ARID1A	PAAD
ARID1A	SCLC
ARID1A	STAD
ARID1A	UCEC
ARID1B	BLCA
ARID1B	HNSC
ARID1B	RCCC
ARID1B	LGG
ARID1B	HC
ARID1B	LUSC
ARID1B	MB
ARID1B	PRAD
ARID1B	SCLC
ARID1B	CM
ARID1B	STAD
ARID2	BRCA
ARID2	ESCA
ARID2	GBM
ARID2	HNSC
ARID2	RCCC
ARID2	LGG
ARID2	HC
ARID2	MB
ARID2	MM
ARID2	PAAD
ARID2	SCLC
ARID2	CM
ARID2	THCA
ARID4A	STAD
ARID4B	BRCA
ARID5B	UCEC
ARNTL	BRCA
ARNTL	COREAD
ARNTL	ESCA
ARNTL	LUSC
ARNTL	UCEC
ASH1L	BRCA
