#List of genes with at least 1 signal of positive selection across the 6792 samples.
#
##geneHGNCsymbol
##ALL_Leu,ALL_Mem,ALL_NewS,AST_NewS,AST_SJ,BCell_Lymp,BLCA_TCGA,BRCA_BC,BRCA_Broad,BRCA_JH,BRCA_Sanger,BRCA_TCGA,BRCA_WU,CLL_Broad,CLL_HC,COADREAD_TCGA,CO_JH,ESO_DFCI,GAST_Pfizer,GBM_JH,GBM_TCGA,HNSC_Broad,HNSC_TCGA,KIRC_TCGA,LAML_TCGA,LGG_TCGA,LIV_FR,LIV_ICGC,LUAD_TCGA,LUNG_TSP,LUSC_TCGA,MED_NewS,Myeloma_NewS,NBM_Broad,NSCLC_Wisc,OV_TCGA,PAAD_JH,PAAD_OICR,PAAD_QCMG,POOLED,PRAD_TCGA,PedBrain,SCLC_Cologne,SCLC_JH,SKCM_Broad,SKCM_TCGA,STAD_TCGA,THCA_TCGA,UCEC_TCGA = = projects where gene exhibits signals of positive selection. R: Gene exhibiting significant recurrence of mutations (detected by MutSigCV) in the corresponding tumor type; F: Gene exhibiting significant FMbias (detected by OncodriveFM) in the corresponding tumor type; C: Gene exhibiting significant clustering (detected by OncodriveCLUST) in the corresponding tumor type.
##Pooled: Results of the analysis of all TCGA datasets together
##VariousSignals_geneCounts: Number of datasets where the driver gene exhibits at least two signals of positive selection
##OneSingleSignal_geneCounts: Number of datasets where the driver gene exhibits at least one signal of positive selection
##Recur_counts: Number of datasets where the driver gene exhibits significant mutational recurrence
##FM_counts: Number of datasets where the driver gene exhibits significant FMbias
##CLUST_counts: Number of datasets where the driver gene exhibits significant CLUSTbias
##CGC: The driver gene is in the CGC
##HCD_seed: The driver gene is either a two-signal gene or a one-signal-CGC gene
##driver gene_connected: The driver gene is connected through protein-protein or functional interactions to an HCD_seed driver gene.
##Where_detected: Indicates whether the driver gene was detected as such either in a single project, in the pooled TCGA cohort, or in both.
###
geneHGNCsymbol	ALL_Leu	ALL_Mem	ALL_NewS	AST_NewS	AST_SJ	BCell_Lymp	BLCA_TCGA	BRCA_BC	BRCA_Broad	BRCA_JH	BRCA_Sanger	BRCA_TCGA	BRCA_WU	CLL_Broad	CLL_HC	COADREAD_TCGA	CO_JH	ESO_DFCI	GAST_Pfizer	GBM_JH	GBM_TCGA	HNSC_Broad	HNSC_TCGA	KIRC_TCGA	LAML_TCGA	LGG_TCGA	LIV_FR	LIV_ICGC	LUAD_TCGA	LUNG_TSP	LUSC_TCGA	MED_NewS	Myeloma_NewS	NBM_Broad	NSCLC_Wisc	OV_TCGA	PAAD_JH	PAAD_OICR	PAAD_QCMG	PRAD_TCGA	PedBrain	SCLC_Cologne	SCLC_JH	SKCM_Broad	SKCM_TCGA	STAD_TCGA	THCA_TCGA	UCEC_TCGA	Pooled	VariousSignals_geneCounts	OneSingleSignal_geneCounts	Recur_counts	FM_counts	CLUST_counts	CGC	HCD_seed	CD_connected	Where_Detected
TP53		F				F	RF	F	F	F	F	RF	F	FC	F	RFC	F	FC	F	FC	RFC	F	RFC		RF	RFC		F	RF	F	RF		F		F	RFC	FC	F	F	F	F	F	F	F	RF	RFC	F	RF	RFC	18	23	14	41	11	CGC	HCD_seed		
KRAS			F									RC		C		RFC	FC								RF				RFC	FC			FC				FC	FC	FC							RFC		FC	RFC	13	2	6	13	13	CGC	HCD_seed		
PIK3CA								C	C		C	RFC	C			FC		C			RF	C	RFC			RC					R															FC		RFC	RFC	8	7	7	7	13	CGC	HCD_seed		
NRAS														FC		RFC									RFC					C			FC											FC	RFC		RFC	F	RFC	8	2	5	9	9	CGC	HCD_seed		
IDH1														F						FC	RFC				RFC	RFC														FC					FC				RFC	7	1	4	8	7	CGC	HCD_seed		
PTEN	F											RF							F	F	RF			RF		F					RF									F		F		F	F			RFC	RFC	6	8	6	14	2	CGC	HCD_seed		
RB1							RF	F				RF	F							F	RF								RF	F	RF					F						F	F						RF	6	7	6	13	0	CGC	HCD_seed		
BRAF																F					C								RF				FC							F				FC	RFC		RFC		RFC	6	3	4	8	6	CGC	HCD_seed		
CDKN2A																		F				F	RFC						RF		RF													FC	RFC				RFC	6	2	5	8	4	CGC	HCD_seed		
CTNNB1																F											C	C				FC								FC	FC				F	F		RF	RF	5	5	2	8	5	CGC	HCD_seed		
SF3B1											FC	RF	FC	FC	FC																																		F	5	1	1	6	4	CGC	HCD_seed		
FBXW7	F						F							F		RFC							RF									F												F				RFC	RFC	4	5	4	9	3	CGC	HCD_seed		
NFE2L2							F																RFC	F							RF																	RF	RF	4	2	4	6	1	CGC	HCD_seed		
PIK3R1												R									RF					FC																				F		RF	RF	4	2	4	5	1	CGC	HCD_seed		
HRAS																						FC	RFC																								RFC		RFC	4	0	3	4	4	CGC	HCD_seed		
CTCF												RF											RF																									RF	RF	4	0	4	4	0		HCD_seed		
ARID1A						F	RF				F	F			F	F		F	F					F		F			F		F								F							F		RF	RF	3	13	3	16	0	CGC	HCD_seed		
NF1		FC										F								F	RF					F			F		F					F								F	F				RF	3	8	2	11	1	CGC	HCD_seed		
SMAD4																RF	F	FC																			F	F	F	F						F			RF	3	6	2	9	1	CGC	HCD_seed		
EGFR																				F	RFC			F		FC				C																			FC	3	3	1	5	4	CGC	HCD_seed		
CASP8											F	RF										F	RFC																						F				RF	3	3	3	6	1		HCD_seed		
AKT1									FC		C	RFC																																					FC	3	1	1	3	4	CGC	HCD_seed		
IDH2																									RFC	FC																							FC	3	0	1	3	3	CGC	HCD_seed		
RUNX1												RF													RFC																								RF	3	0	3	3	1	CGC	HCD_seed		
ELF3							RF									RF																																	RF	3	0	3	3	0		HCD_seed		
KEAP1																													RF		RF																		RF	3	0	3	3	0		HCD_seed		
PPP6C																																												FC	RFC				FC	3	0	1	3	3		HCD_seed		
RAC1																							RF																						FC				FC	3	0	1	3	2		HCD_seed		
SPOP																																								FC								RF	FC	3	0	1	3	2		HCD_seed		
MLL3							F				F	RF	F		F									F					F								F							F	F		F		RF	2	10	2	12	0	CGC	HCD_seed		
MLL2							F						F										RF								R	F								F	F								RF	2	6	3	7	0	CGC	HCD_seed		
KDM6A							RF								F								F																	F	F								RF	2	4	2	6	0	CGC	HCD_seed		
SETD2							F																	RF		F			F							F													RF	2	4	2	6	0	CGC	HCD_seed		
MAP3K1									F		F	RF	F																																			F	RF	2	4	2	6	0		HCD_seed		
FAT1							F															F	RF						F																				RF	2	3	2	5	0		HCD_seed		
STAG2							RF					F									F				F																								RF	2	3	2	5	0		HCD_seed		
APC																RFC	F																													F			RF	2	2	2	4	1	CGC	HCD_seed		
ATRX																					F					RF								F															RF	2	2	2	4	0	CGC	HCD_seed		
CDH1											F	RF	F																																				RF	2	2	2	4	0	CGC	HCD_seed		
GATA3									F		F	RF																																					RF	2	2	2	4	0	CGC	HCD_seed		
RPL22																			F																											F		RF	RF	2	2	2	4	0	CGC	HCD_seed		
RPSAP58																					C		FC																								C		FC	2	2	0	2	4		HCD_seed		
DNMT3A																									RFC				F																				RFC	2	1	2	3	2	CGC	HCD_seed		
FUBP1																							F			RF																							RF	2	1	2	3	0	CGC	HCD_seed		
STK11																													RF	F																			RF	2	1	2	3	0	CGC	HCD_seed		
U2AF1																									RFC				F																				FC	2	1	1	3	2	CGC	HCD_seed		
