Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o
brca	5998	RGS3	uc004bia.2	uc011lxh.1	4	11	1	77	0.00210641326672655
brca	23265	EXOC7	uc002jqr.2	uc002jqp.1	2	1	2	82	0.00473607245624794
brca	158381	ATP8B5P	uc010mkp.2	uc003zwu.2	2	8	0	82	0.0107501194457716
brca	4942	OAT	uc001lhp.2	uc001lhr.2	1	1	0	93	0.0210526315789475
brca	5047	PAEP	uc004cge.1	uc010nay.2	1	1	0	93	0.0210526315789475
brca	6734	SRPR	uc001qdh.2	uc010sbm.1	1	1	0	93	0.0210526315789475
brca	25921	ZDHHC5	uc001nkx.1	uc001nky.1	1	1	0	93	0.0210526315789475
brca	6284	S100A13	uc001fch.2	uc001fcf.3	1	1	0	92	0.0212765957446811
brca	79631	EFTUD1	uc002bgt.1	uc002bgs.1	2	15	0	78	0.0304591265397537
brca	5445	PON2	uc003unv.2	uc003unu.2	1	2	0	92	0.031578947368421
brca	10322	SMYD5	uc002siw.2	uc002six.1	1	2	0	92	0.031578947368421
brca	22985	ACIN1	uc001wis.3	uc001wir.3	1	2	0	92	0.031578947368421
brca	79034	C7orf26	uc003sqo.1	uc003sqp.1	1	2	0	92	0.031578947368421
brca	84557	MAP1LC3A	uc002xaq.1	uc002xap.1	1	2	0	92	0.031578947368421
brca	286042	FLJ10661	uc003wsf.3	uc011kwt.1	1	2	0	92	0.031578947368421
brca	56606	SLC2A9	uc003gmc.2	uc003gmd.2	5	22	3	65	0.039347963115318
brca	7358	UGDH	uc003guk.1	uc011byp.1	1	3	0	91	0.0421052631578948
brca	8242	KDM5C	uc004drz.2	uc004dsa.2	1	3	0	91	0.0421052631578948
brca	84895	FAM73B	uc004bxa.2	uc004bxb.2	1	3	0	91	0.0421052631578948
brca	123811	C16orf63	uc002dec.1	uc002ded.1	1	3	0	91	0.0421052631578948
brca	57828	CATSPERG	uc002oig.3	uc010efw.2	1	3	0	89	0.043010752688172
brca	1944	EFNA3	uc001fhg.2	uc010pew.1	1	4	0	90	0.0526315789473687
brca	6926	TBX3	uc001tvt.1	uc010syw.1	1	4	0	90	0.0526315789473687
brca	54960	GEMIN8	uc004cwc.2	uc004cwd.2	1	4	0	90	0.0526315789473687
brca	54963	UCKL1	uc010gkn.2	uc002yhj.2	1	4	0	90	0.0526315789473687
brca	64393	ZMAT3	uc003fjg.2	uc003fji.2	1	4	0	90	0.0526315789473687
brca	150082	LCA5L	uc002yxx.1	uc002yxw.1	1	4	0	90	0.0526315789473687
brca	3659	IRF1	uc010jdt.1	uc003kxb.2	1	4	0	89	0.0531914893617023
brca	80008	TMEM156	uc010ifj.2	uc003gto.2	6	9	14	66	0.05855638569528
brca	90141	C14orf143	uc001xxt.2	uc001xxx.1	3	17	2	73	0.0611381993316284
brca	4188	MDFI	uc003oqq.3	uc003oqp.3	1	2	1	91	0.0624860022396414
brca	63874	ABHD4	uc001wgm.2	uc010tnb.1	1	2	1	91	0.0624860022396414
brca	3620	IDO1	uc003xnn.2	uc003xnm.2	1	5	0	89	0.0631578947368422
brca	51149	C5orf45	uc011dgt.1	uc011dgu.1	1	5	0	89	0.0631578947368422
brca	51304	ZDHHC3	uc011bad.1	uc003cog.2	1	5	0	89	0.0631578947368422
brca	91662	NLRP12	uc002qci.3	uc002qch.3	1	5	0	89	0.0631578947368422
brca	149041	RC3H1	uc010pms.1	uc001gju.3	1	5	0	89	0.0631578947368422
brca	151888	BTLA	uc003dza.3	uc003dzb.3	1	5	0	89	0.0631578947368422
brca	8795	TNFRSF10B	uc003xcu.2	uc003xcv.2	1	6	0	88	0.0736842105263159
brca	10276	NET1	uc001iib.2	uc001iia.2	1	6	0	87	0.074468085106383
brca	79157	MFSD11	uc002jtd.3	uc010dhb.2	1	6	0	87	0.074468085106383
brca	348825	TPRXL	uc011avd.1	uc003byg.2	3	25	1	65	0.0776163050938497
brca	400954	EML6	uc002rya.2	uc002ryb.3	2	25	0	68	0.0786114221724524
brca	84271	POLDIP3	uc003bcu.2	uc003bcv.2	1	3	1	90	0.0828667413213887
brca	92906	HNRPLL	uc002rqx.2	uc002rqv.2	1	3	1	90	0.0828667413213887
brca	404281	YY2	uc011mjp.1	uc010nfq.2	1	3	1	90	0.0828667413213887
brca	952	CD38	uc003gol.1	uc003goj.1	1	7	0	87	0.0842105263157896
brca	9166	EBAG9	uc003yng.2	uc003ynf.2	1	7	0	87	0.0842105263157896
brca	9685	CLINT1	uc003lxj.1	uc003lxg.1	1	7	0	87	0.0842105263157896
brca	51274	KLF3	uc003gth.3	uc003gtg.2	1	7	0	87	0.0842105263157896
brca	54881	TEX10	uc004bas.2	uc011lvf.1	1	7	0	87	0.0842105263157896
brca	57707	KIAA1609	uc002fib.2	uc002fic.2	1	7	0	87	0.0842105263157896
brca	80264	ZNF430	uc002npk.2	uc002npj.2	1	7	0	87	0.0842105263157896
brca	136895	C7orf31	uc003sxn.1	uc003sxm.1	1	7	0	87	0.0842105263157896
brca	169436	C9orf96	uc004cdl.2	uc004cdk.2	1	7	0	87	0.0842105263157896
brca	654466	KGFLP2	uc004aca.3	uc011lqu.1	1	7	0	87	0.0842105263157896
brca	8034	SLC25A16	uc001joi.2	uc001joj.2	1	6	0	75	0.0853658536585367
brca	2702	GJA5	uc001ept.1	uc001eps.1	2	2	11	80	0.0889590063906746
brca	1725	DHPS	uc002muh.1	uc002muf.1	1	2	2	89	0.0936931156933541
brca	489	ATP2A3	uc002fxc.1	uc002fxb.1	1	8	0	86	0.0947368421052633
brca	5110	PCMT1	uc003qnb.2	uc011eeg.1	1	8	0	86	0.0947368421052633
brca	80856	KIAA1715	uc002ukc.1	uc010fqw.1	1	8	0	86	0.0947368421052633
brca	202151	RANBP3L	uc003jkh.2	uc011cow.1	1	8	0	86	0.0947368421052633
brca	140894	C20orf152	uc010gfp.1	uc002xes.1	1	8	0	85	0.095744680851064
brca	7942	TFEB	uc003oqu.1	uc003oqt.1	1	8	0	84	0.0967741935483873
brca	2649	NR6A1	uc004boq.1	uc010mwq.1	2	28	0	63	0.101683029453015
brca	4163	MCC	uc003kqj.3	uc003kql.3	3	42	0	50	0.102517790701875
brca	51000	SLC35B3	uc010joe.2	uc011did.1	1	4	1	89	0.103023516237402
brca	79895	ATP8B4	uc001zxt.2	uc001zxu.2	2	29	0	64	0.104143337066069
brca	2547	XRCC6	uc003bao.1	uc003bas.1	1	9	0	85	0.105263157894737
brca	2744	GLS	uc002use.2	uc002usf.2	1	9	0	85	0.105263157894737
brca	6391	SDHC	uc001gah.2	uc001gaj.2	1	9	0	85	0.105263157894737
brca	55768	NGLY1	uc003cdl.2	uc011awo.1	1	9	0	85	0.105263157894737
brca	84925	DIRC2	uc003efw.3	uc010hrm.2	1	9	0	85	0.105263157894737
brca	22900	CARD8	uc002pii.3	uc002pig.3	1	10	0	84	0.115789473684211
brca	90167	FRMD7	uc004ewn.2	uc011muy.1	1	10	0	84	0.115789473684211
brca	170371	C10orf128	uc001jhn.3	uc001jho.3	1	10	0	84	0.115789473684211
brca	966	CD59	uc001muv.3	uc001mut.3	1	10	0	83	0.117021276595745
brca	8550	MAPKAPK5	uc001tsz.2	uc001ttb.2	1	5	1	88	0.122956326987682
brca	9640	ZNF592	uc002bld.2	uc010upb.1	1	5	1	88	0.122956326987682
brca	7464	CORO2A	uc004aym.2	uc004ayk.2	1	11	0	83	0.126315789473684
brca	55885	LMO3	uc010shz.1	uc001rdn.1	1	11	0	83	0.126315789473684
brca	124602	KIF19	uc002jkm.3	uc002jkl.2	1	11	0	83	0.126315789473684
brca	729873	TBC1D3	uc010wdn.1	uc010cvk.2	1	11	0	83	0.126315789473684
brca	166647	GPR125	uc003gqm.1	uc003gql.1	1	12	0	82	0.136842105263158
brca	653390	RRN3P2	uc002dsf.3	uc010vdn.1	1	12	0	81	0.138297872340426
brca	3772	KCNJ15	uc002ywx.2	uc002yww.2	1	6	1	86	0.144131777625258
brca	4924	NUCB1	uc002plb.3	uc002pld.2	1	6	1	85	0.145628798503974
brca	25794	FSCN2	uc010wup.1	uc010wuo.1	1	13	0	81	0.147368421052632
brca	55722	CEP72	uc003jbf.2	uc011clz.1	1	13	0	81	0.147368421052632
brca	55066	PDPR	uc010vls.1	uc002eyg.1	1	14	0	80	0.157894736842105
brca	55827	DCAF6	uc001gey.2	uc001gez.2	1	14	0	80	0.157894736842105
brca	9249	DHRS3	uc001auc.2	uc001aub.2	1	7	1	86	0.162150055991041
brca	10166	SLC25A15	uc001uxn.2	uc010tfb.1	1	7	1	86	0.162150055991041
brca	55559	HAUS7	uc004fhn.1	uc004fho.1	1	7	1	86	0.162150055991041
brca	57185	NIPAL3	uc001bjh.2	uc001bjg.2	1	7	1	86	0.162150055991041
brca	51206	GP6	uc010esq.2	uc002qik.2	1	15	0	79	0.168421052631579
brca	56111	PCDHGA4	uc003ljp.1	uc003ljq.1	1	15	0	79	0.168421052631579
brca	84632	AFAP1L2	uc001lbn.2	uc001lbq.1	1	15	0	79	0.168421052631579
brca	644873	FLJ33630	uc003kur.2	uc003kuq.1	1	15	0	77	0.172043010752688
brca	54716	SLC6A20	uc011baj.1	uc011bai.1	2	6	7	76	0.178022919249424
brca	5055	SERPINB2	uc002ljo.2	uc010dqh.2	1	5	2	87	0.17953978976267
brca	6809	STX3	uc001nog.2	uc010rky.1	1	8	1	85	0.181410974244121
brca	55323	LARP6	uc002ass.2	uc002ast.2	2	4	11	78	0.188971503689844
brca	10260	DENND4A	uc002aph.2	uc002api.2	1	17	0	77	0.189473684210526
