Tissue	Switch	Symbol	Group	NumPatients
brca	uc003ytj.2-uc010mdt.2	KCNQ3	No driver	194
brca	uc001hpo.2-uc010pvj.1	LEFTY1	No driver	195
brca	uc004aqc.1-uc004aqd.2	C9orf47	No driver	149
brca	uc001vys.2-uc001vyr.2	SLC39A2	No driver	156
brca	uc003hzx.3-uc003hzw.3	LRIT3	No driver	134
brca	uc009zth.1-uc001tel.1	AMDHD1	No driver	130
brca	uc003dwv.1-uc003dwt.1	CD47	No driver	98
brca	uc001ycd.2-uc001ycb.1	ASB2	No driver	64
brca	uc003tlz.2-uc003tma.2	H2AFV	No driver	122
brca	uc002jqr.2-uc010wsx.1	EXOC7	No driver	76
brca	uc010mvf.2-uc004bjj.3	TNC	No driver	115
brca	uc001uip.2-uc001uio.2	STX2	No driver	115
brca	uc003hbg.1-uc003hbe.1	EXOC1	No driver	110
brca	uc001joi.2-uc010qiy.1	SLC25A16	No driver	84
brca	uc001ihz.2-uc001ihy.2	TUBAL3	No driver	101
brca	uc001jzp.2-uc001jzq.2	RPS24	No driver	106
brca	uc001nyx.2-uc001nyw.2	VEGFB	No driver	105
brca	uc010rre.1-uc001oss.2	ARAP1	No driver	55
brca	uc010mxy.2-uc004bur.3	COQ4	No driver	99
brca	uc001sev.2-uc001ses.2	HOXC6	No driver	94
brca	uc003qig.3-uc003qii.2	REPS1	No driver	72
brca	uc011arv.1-uc011aru.1	FAM116B	No driver	79
brca	uc010tdi.1-uc010tdj.1	ATP8A2	No driver	76
brca	uc003ycj.1-uc003yck.1	ZFAND1	No driver	78
brca	uc001jsm.2-uc001jsl.2	PSAP	No driver	76
brca	uc003apr.2-uc011amr.1	EIF3D	No driver	74
brca	uc002ruo.2-uc002rup.2	SIX2	No driver	70
brca	uc003utu.2-uc010lgq.2	GAL3ST4	No driver	66
brca	uc001kgz.2-uc001khb.2	HTR7	No driver	62
brca	uc003lem.2-uc003lek.2	SPATA24	No driver	63
brca	uc002gnz.3-uc002gnw.3	ELAC2	No driver	42
brca	uc003lkb.3-uc003lkd.1	PCDHGA8	No driver	54
brca	uc010ddd.2-uc002iwx.2	PPM1E	No driver	54
brca	uc003pvj.2-uc003pvh.2	FYN	No driver	53
brca	uc004cfh.1-uc004cfg.1	FCN2	No driver	58
brca	uc001xrq.2-uc010tvc.1	JDP2	No driver	30
brca	uc003cbm.2-uc003cbl.3	EFHB	No driver	54
brca	uc002amv.2-uc010uio.1	SNX1	No driver	55
brca	uc001hmc.2-uc001hmd.2	IARS2	No driver	51
brca	uc001xzg.2-uc001xzh.2	GPR68	No driver	50
brca	uc002suq.2-uc002sun.1	KCNIP3	No driver	38
brca	uc002jym.1-uc002jyk.2	FLJ35220	No driver	49
brca	uc002rhw.2-uc002rhx.2	MAPRE3	No driver	49
brca	uc001ocr.1-uc001ocs.1	C11orf2	No driver	49
brca	uc011edq.1-uc003qif.1	ECT2L	No driver	44
brca	uc003etv.2-uc011bnb.1	ACPL2	No driver	42
brca	uc001mpi.2-uc001mpj.2	ZDHHC13	No driver	46
brca	uc003sjs.2-uc003sju.2	C7orf50	No driver	41
brca	uc002gpy.2-uc002gpz.2	TRPV2	No driver	44
brca	uc003aos.2-uc003aot.2	APOL3	No driver	43
brca	uc003faq.2-uc011bom.1	GMPS	No driver	43
brca	uc002hdt.1-uc002hdu.1	MYO18A	No driver	37
brca	uc004cdf.1-uc004cde.1	RPL7A	No driver	43
brca	uc003lhk.1-uc003lhl.2	PCDHA5	No driver	38
brca	uc002bqg.2-uc002bqi.2	UNC45A	No driver	42
brca	uc003eog.1-uc003eof.2	NUDT16	No driver	40
brca	uc001iig.2-uc001iii.2	ASB13	No driver	42
brca	uc002fsr.2-uc010vql.1	INPP5K	No driver	41
