Normal_transcript	Tumor_transcript	Origin
uc001aae.3	uc001aah.3	Tumor
uc001aav.3	uc001aau.2	Tumor
uc001abe.3	uc002khh.2	Tumor
uc001abq.1	uc001abp.1	Tumor
uc001abq.1	uc009vjo.1	Tumor
uc001abv.1	uc001abx.1	Tumor
uc001abx.1	uc001abw.1	Tumor
uc001abz.3	uc009vjq.2	Tumor
uc001aca.1	uc001acb.1	Tumor
uc001aca.1	uc001acc.1	Tumor
uc001acc.1	uc001aca.1	Tumor
uc001acd.2	uc001acf.2	Tumor
uc001ach.2	uc001acg.2	Tumor
uc001aci.2	uc010nyc.1	Tumor
uc001acm.2	uc001acp.2	Tumor
uc001acm.2	uc001acs.2	Tumor
uc001acm.2	uc009vju.1	Tumor
uc001acm.2	uc010nyd.1	Tumor
uc001acp.2	uc001acr.2	Tumor
uc001acp.2	uc009vju.1	Tumor
uc001acy.2	uc001acz.1	Tumor
uc001ada.2	uc001adb.2	Tumor
uc001ada.2	uc001adc.2	Tumor
uc001ada.2	uc001add.2	Tumor
uc001adb.2	uc001ada.2	Tumor
uc001adb.2	uc001adc.2	Tumor
uc001adc.2	uc001ada.2	Tumor
uc001adc.2	uc001adb.2	Tumor
uc001ade.2	uc001adf.2	Tumor
uc001adh.3	uc009vjv.2	Tumor
uc001adp.2	uc001adn.2	Tumor
uc001adp.2	uc001adq.2	Tumor
uc001adp.2	uc001ads.2	Tumor
uc001adv.2	uc001adx.2	Tumor
uc001aeb.2	uc001ady.2	Tumor
uc001aeb.2	uc001aec.1	Tumor
uc001aed.2	uc010nyi.1	Tumor
uc001aee.1	uc001aeh.1	Tumor
uc001aee.1	uc001aej.1	Tumor
uc001aej.1	uc001aee.1	Tumor
uc001aer.3	uc002quu.2	Stroma
uc001aer.3	uc009vka.2	Tumor
uc001aez.2	uc001aew.2	Tumor
uc001aez.2	uc010nyl.1	Tumor
uc001afb.1	uc001afc.2	Tumor
uc001afb.1	uc001afd.2	Tumor
uc001afb.1	uc009vkb.1	Tumor
uc001aff.1	uc001afh.2	Tumor
uc001aff.1	uc001afi.2	Tumor
uc001afh.2	uc001afg.1	Tumor
uc001afh.2	uc001afk.2	Tumor
uc001afi.2	uc001aff.1	Tumor
uc001afi.2	uc001afh.2	Tumor
uc001afi.2	uc001afk.2	Tumor
uc001afk.2	uc001afg.1	Tumor
uc001afm.2	uc009vkd.2	Tumor
uc001afp.2	uc001afq.2	Tumor
uc001afq.2	uc001afp.2	Tumor
uc001afr.2	uc001afs.2	Tumor
uc001afs.2	uc001afr.2	Tumor
uc001afx.2	uc001afv.2	Tumor
uc001afx.2	uc001afy.2	Tumor
uc001afy.2	uc001afv.2	Tumor
uc001aga.1	uc001agb.1	Tumor
uc001agb.1	uc001aga.1	Tumor
uc001agg.2	uc001agi.2	Tumor
uc001agh.2	uc009vkh.2	Tumor
uc001agi.2	uc001agh.2	Tumor
uc001agj.2	uc001agg.2	Tumor
uc001agj.2	uc001agn.2	Tumor
uc001agk.2	uc010nyq.1	Tumor
uc001agl.1	uc001agj.2	Tumor
uc001agl.1	uc001agn.2	Tumor
uc001agl.1	uc009vkh.2	Tumor
uc001agm.2	uc010nyq.1	Tumor
uc001ago.2	uc001agg.2	Tumor
uc001agq.2	uc001agr.2	Tumor
uc001agr.2	uc001agp.2	Tumor
uc001agr.2	uc009vki.2	Tumor
uc001agt.1	uc001agv.1	Tumor
uc001agt.1	uc009vkj.2	Tumor
uc001ahe.3	uc001ahg.3	Tumor
uc001ahj.3	uc010nyt.1	Tumor
uc001aht.1	uc009vkr.2	Tumor
uc001ahy.2	uc009vkm.1	Tumor
uc001ahz.2	uc001ahy.2	Tumor
uc001aib.1	uc001ahy.2	Tumor
uc001aib.1	uc001ahz.2	Tumor
uc001aib.1	uc009vkm.1	Tumor
uc001aic.2	uc001aid.3	Tumor
uc001aic.2	uc009vkw.2	Tumor
uc001aic.2	uc010nyv.1	Tumor
uc001aid.3	uc001aie.2	Tumor
uc001aif.2	uc009vky.2	Tumor
uc001aii.2	uc001aij.2	Tumor
uc001aij.2	uc001aii.2	Tumor
uc001aiq.2	uc001air.2	Tumor
uc001aiq.2	uc001ais.2	Tumor
uc001aiq.2	uc009vla.2	Tumor
uc001ais.2	uc001aiq.2	Tumor
uc001ais.2	uc001ait.2	Tumor
uc001aiv.1	uc001aiw.1	Tumor
uc001aiv.1	uc001aix.1	Tumor
uc001ajb.1	uc001ajd.1	Tumor
uc001ajb.1	uc009vld.2	Tumor
uc001ajb.1	uc010nyy.1	Tumor
uc001ajd.1	uc001ajb.1	Tumor
uc001ajd.1	uc009vld.2	Tumor
uc001aje.1	uc001ajf.1	Tumor
uc001aji.1	uc001ajk.1	Tumor
uc001aji.1	uc001ajl.1	Stroma
uc001ajl.1	uc001aji.1	Tumor
uc001ajl.1	uc001ajj.1	Tumor
uc001ajl.1	uc001ajk.1	Tumor
uc001ajl.1	uc010nyz.1	Tumor
uc001ajm.1	uc010nza.1	Tumor
uc001ajp.2	uc001ajo.2	Tumor
uc001ajp.2	uc010nzb.1	Tumor
uc001aju.1	uc001ajv.1	Tumor
uc001aju.1	uc001ajw.1	Tumor
uc001aju.1	uc001ajx.1	Tumor
uc001aju.1	uc010nze.1	Tumor
uc001aju.1	uc010nzf.1	Tumor
uc001ajw.1	uc001aju.1	Tumor
uc001ajw.1	uc001ajx.1	Tumor
uc001ajx.1	uc001ajw.1	Tumor
uc001ajy.2	uc009vlg.1	Tumor
uc001akc.2	uc009vlh.2	Tumor
uc001akg.3	uc001aki.2	Tumor
uc001akg.3	uc001akj.2	Tumor
uc001akg.3	uc010nzh.1	Tumor
uc001aki.2	uc001akj.2	Tumor
uc001aki.2	uc010nzh.1	Tumor
uc001akj.2	uc010nzh.1	Tumor
uc001akk.2	uc001akl.2	Tumor
uc001akl.2	uc001akk.2	Tumor
uc001akm.2	uc009vlj.2	Tumor
uc001akn.3	uc001ako.2	Tumor
uc001ako.2	uc001akn.3	Tumor
uc001akt.3	uc009vlm.2	Tumor
uc001aky.2	uc001akz.2	Tumor
uc001aky.2	uc010nzm.1	Tumor
uc001alb.2	uc001alc.2	Tumor
uc001alb.2	uc001ald.2	Tumor
uc001alc.2	uc001alb.2	Tumor
uc001alc.2	uc001ald.2	Tumor
uc001alc.2	uc001ale.2	Tumor
uc001alc.2	uc009vlp.2	Tumor
uc001alc.2	uc009vlr.2	Tumor
uc001alc.2	uc010nzn.1	Tumor
uc001ald.2	uc001alc.2	Tumor
uc001alh.3	uc010nzo.1	Tumor
uc001alm.1	uc001aln.2	Tumor
uc001aln.2	uc001alm.1	Tumor
uc001alq.1	uc001alr.1	Tumor
uc001alv.1	uc009vlv.1	Tumor
uc001alw.1	uc001alv.1	Tumor
uc001alw.1	uc009vlv.1	Tumor
uc001aly.1	uc001alw.1	Tumor
uc001amd.2	uc001ame.2	Tumor
uc001amo.1	uc001amp.1	Tumor
uc001amq.2	uc001ams.2	Tumor
uc001amq.2	uc010nzq.1	Tumor
uc001amr.2	uc001amq.2	Tumor
uc001amr.2	uc001ams.2	Tumor
uc001amr.2	uc001amt.2	Tumor
uc001amr.2	uc010nzq.1	Tumor
uc001ams.2	uc001amt.2	Tumor
uc001amx.2	uc001amw.2	Tumor
uc001amy.2	uc001amz.2	Tumor
uc001amz.2	uc001amy.2	Tumor
uc001anb.2	uc001ani.1	Tumor
uc001anc.2	uc001ane.2	Tumor
uc001ane.2	uc001anb.2	Tumor
uc001ane.2	uc001anc.2	Tumor
uc001anf.2	uc001ang.2	Tumor
uc001ang.2	uc001anh.2	Tumor
uc001ank.1	uc001anj.1	Tumor
uc001ank.1	uc001anl.1	Tumor
uc001anl.1	uc001anj.1	Tumor
uc001anl.1	uc001anr.1	Tumor
uc001ann.1	uc001ank.1	Tumor
uc001ann.1	uc001ano.1	Tumor
uc001ann.1	uc010nzr.1	Tumor
uc001ano.1	uc001anj.1	Tumor
uc001ans.2	uc010nzs.1	Tumor
uc001ant.2	uc001anw.2	Tumor
uc001anu.2	uc001ant.2	Tumor
uc001anu.2	uc001anv.2	Tumor
uc001anu.2	uc001anw.2	Tumor
uc001aoa.2	uc001anz.1	Tumor
uc001aoc.2	uc001aod.2	Tumor
uc001aoc.2	uc001aoe.1	Tumor
uc001aod.2	uc001aoc.2	Tumor
uc001aof.2	uc010nzt.1	Tumor
uc001aof.2	uc010nzu.1	Tumor
uc001aop.2	uc001aoo.2	Tumor
uc001aop.2	uc010nzw.1	Tumor
