GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o	OR	eOR
1000	CDH2	uc010xbn.1	uc002kwg.2	0	65	2	73	1	0	0.224427480916031
100129482	ZNF37B	uc001jaa.3	uc001jac.3	0	7	1	87	1	0	3.88888888888889
100130522	LOC100130522	uc010xfo.1	uc002lnx.2	0	4	1	89	1	0	6.62962962962963
100130522	LOC100130522	uc010xfo.1	uc010xfn.1	0	4	1	89	1	0	6.62962962962963
100131814	C6orf217	uc010kgo.2	uc010kgm.2	1	34	0	60	0.368421052631579	Inf	5.26086956521739
100132923	FAM66D	uc011kxo.1	uc011kxp.1	1	47	2	45	0.882852292020374	0.482328786967158	0.574736842105263
100190939	LOC100190939	uc001vae.2	uc010tfr.1	0	3	3	89	1	0	3.6530612244898
10025	MED16	uc002lqe.2	uc010drw.1	0	9	1	85	1	0	3
100288778	LOC100288778	uc010sdg.1	uc010sdd.1	0	12	1	82	1	0	2.2
100302692	NCRNA00182	uc010nlq.1	uc004ebr.1	0	39	1	55	1	0	0.468354430379747
10042	HMGXB4	uc003anl.2	uc003ank.2	1	10	1	83	0.219260918253079	7.96089445390821	7.95238095238095
10043	TOM1	uc003ann.2	uc011ami.1	0	10	1	84	1	0	2.68253968253968
10049	DNAJB6	uc003wnk.2	uc011kvz.1	0	26	4	111	1	0	0.467505241090147
10066	SCAMP2	uc002azb.1	uc002aza.1	0	19	6	161	1	0	0.637080867850099
10068	IL18BP	uc001orf.1	uc001ori.2	0	2	3	135	1	0	7.74285714285714
10099	TSPAN3	uc002bcj.2	uc010bkx.2	0	4	2	135	1	0	6.02222222222222
100	ADA	uc002xmj.2	uc010ggt.2	0	4	1	90	1	0	6.7037037037037
1010	CDH12	uc011cno.1	uc010iuc.2	1	78	0	16	0.831578947368421	Inf	0.630573248407643
10121	ACTR1A	uc001kvv.2	uc010qqo.1	0	4	3	134	1	0	4.26984126984127
10129	FRY	uc001uty.2	uc001utx.2	0	22	1	72	1	0	1.07407407407407
10131	TRAP1	uc002cvt.3	uc002cvs.2	0	10	1	84	1	0	2.68253968253968
10146	G3BP1	uc003lun.2	uc003luq.2	0	4	1	90	1	0	6.7037037037037
10164	CHST4	uc002fao.2	uc002fan.2	0	1	1	93	1	0	20.7777777777778
10166	SLC25A15	uc001uxn.2	uc010tfb.1	1	9	3	128	0.257368626045377	4.64586986769729	5.79699248120301
10171	RCL1	uc003zis.2	uc010mhl.1	0	14	1	80	1	0	1.85057471264368
1018	CDK3	uc010dgt.2	uc002jqg.3	0	6	1	88	1	0	4.53846153846154
10193	RNF41	uc001skf.1	uc001skg.1	0	8	3	158	1	0	2.66386554621849
10196	PRMT3	uc001mqb.2	uc010rdn.1	1	20	2	72	0.531669255499765	1.78723300793711	2.1219512195122
10207	INADL	uc001dab.2	uc009waf.1	1	51	0	43	0.547368421052632	Inf	2.53398058252427
10227	MFSD10	uc003gfz.2	uc003ggb.1	0	1	1	93	1	0	20.7777777777778
10230	NBR2	uc010czb.1	uc002idg.2	0	7	1	87	1	0	3.88888888888889
10239	AP3S2	uc002boq.3	uc002bos.3	1	21	3	122	0.480965823583409	1.92592481059631	2.44186046511628
10241	CALCOCO2	uc002iof.2	uc010wlq.1	0	11	1	83	1	0	2.42028985507246
10242	KCNMB2	uc003fjd.2	uc003fjf.2	0	47	1	47	1	0	0.333333333333333
10260	DENND4A	uc002aph.2	uc002api.2	2	38	0	100	0.0801644398766701	Inf	13.0519480519481
10270	AKAP8	uc002nav.2	uc010dzy.2	0	9	2	130	1	0	2.74736842105263
10276	NET1	uc001iib.2	uc001iia.2	1	6	0	87	0.074468085106383	Inf	40.3846153846154
10276	NET1	uc001iib.2	uc010qar.1	0	12	3	125	1	0	1.43428571428571
10285	SMNDC1	uc001kzc.3	uc001kzb.2	0	3	1	91	1	0	8.71428571428571
10309	CCNO	uc003jpw.2	uc003jpv.2	0	1	1	93	1	0	20.7777777777778
10311	DSCR3	uc002ywf.1	uc011aeh.1	0	6	1	88	1	0	4.53846153846154
10318	TNIP1	uc003ltj.2	uc011dcn.1	0	18	5	146	1	0	0.71990171990172
10322	SMYD5	uc002siw.2	uc002six.1	1	2	0	92	0.031578947368421	Inf	111
10329	TMEM5	uc001srs.1	uc001srq.1	0	4	1	90	1	0	6.7037037037037
10390	CEPT1	uc001eai.1	uc009wfz.1	0	12	4	151	1	0	1.34666666666667
103910	MYL12B	uc010wyv.1	uc002klt.3	0	3	1	91	1	0	8.71428571428571
10393	ANAPC10	uc003ijv.3	uc003ijw.3	0	17	1	76	1	0	1.45714285714286
10393	ANAPC10	uc003ijw.3	uc003ijv.3	0	18	2	108	1	0	1.17297297297297
10397	NDRG1	uc003yug.2	uc003yue.1	0	28	7	205	1	0	0.480701754385965
10427	SEC24B	uc011cfr.1	uc003hzl.2	0	17	1	77	1	0	1.47619047619048
10434	LYPLA1	uc003xry.2	uc003xrz.2	0	15	3	123	1	0	1.13824884792627
10439	OLFM1	uc004cfl.3	uc010nar.2	0	21	2	117	1	0	1.09302325581395
10443	N4BP2L2	uc001uuk.3	uc010abe.1	1	19	1	73	0.382063601006634	3.77038447240533	3.76923076923077
10443	N4BP2L2	uc001uuk.3	uc001uul.1	1	21	1	88	0.358558558558559	4.11732842946073	4.11627906976744
10447	FAM3C	uc010lkm.2	uc003vjx.2	0	9	3	127	1	0	1.91729323308271
10457	GPNMB	uc003swc.2	uc003swa.2	2	19	2	116	0.108286025985342	5.97995051201191	5.97435897435897
10457	GPNMB	uc003swc.2	uc011jyz.1	0	11	2	105	1	0	1.83478260869565
10461	MERTK	uc002thk.1	uc002thl.1	1	41	5	120	0.829506319446094	0.586983963992448	0.791894852135816
10466	COG5	uc003vec.2	uc003ved.2	0	37	1	57	1	0	0.511111111111111
10491	CRTAP	uc003cfl.3	uc003cfn.2	0	3	1	91	1	0	8.71428571428571
10522	DEAF1	uc001lqq.1	uc009ycf.1	0	9	1	85	1	0	3
10524	KAT5	uc001ofi.2	uc001ofk.2	0	1	1	91	1	0	20.3333333333333
10524	KAT5	uc001ofi.2	uc010roo.1	0	1	1	91	1	0	20.3333333333333
10524	KAT5	uc001ofi.2	uc001ofj.2	0	1	1	91	1	0	20.3333333333333
10531	PITRM1	uc001igt.1	uc001igs.1	1	13	3	123	0.347072643376889	3.11476102229137	3.92063492063492
10531	PITRM1	uc001igt.1	uc009xhv.1	0	7	1	86	1	0	3.84444444444444
10533	ATG7	uc003bwc.2	uc011aum.1	0	35	1	59	1	0	0.55868544600939
10544	PROCR	uc002xbt.2	uc010zuw.1	0	1	3	91	1	0	8.71428571428571
10553	HTATIP2	uc009yia.1	uc009yib.1	0	4	1	90	1	0	6.7037037037037
10556	RPP30	uc010qnj.1	uc009xtx.2	0	3	1	91	1	0	8.71428571428571
10574	CCT7	uc002siz.2	uc002sja.2	0	2	1	92	1	0	12.3333333333333
10575	CCT4	uc002sbo.2	uc010ypr.1	0	8	1	86	1	0	3.3921568627451
10587	TXNRD2	uc002zqj.1	uc002zqn.1	0	12	2	98	1	0	1.576
10587	TXNRD2	uc002zqj.1	uc011ahc.1	0	11	1	82	1	0	2.39130434782609
10622	POLR3G	uc011cuc.1	uc003kjq.2	3	12	13	122	0.202764456627439	2.32896099290335	2.54074074074074
10627	MYL12A	uc002kls.2	uc002klr.2	0	2	1	92	1	0	12.3333333333333
10636	RGS14	uc003mgh.2	uc003mgf.2	0	2	1	92	1	0	12.3333333333333
10637	LEFTY1	uc010pvj.1	uc001hpo.2	0	5	1	67	1	0	4.09090909090909
10637	LEFTY1	uc001hpo.2	uc010pvj.1	5	8	36	89	0.331875695858858	1.53994572880531	1.58662369057212
10650	SLMO1	uc010wzu.1	uc002kra.2	0	8	3	127	1	0	2.14285714285714
10666	CD226	uc002lkm.3	uc010dqo.2	0	15	1	79	1	0	1.70967741935484
10682	EBP	uc004djx.3	uc004djz.2	0	5	2	133	1	0	4.85454545454545
10694	CCT8	uc002ynb.2	uc010glm.2	0	1	1	93	1	0	20.7777777777778
10715	LASS1	uc010ebx.2	uc002nkj.2	0	7	1	87	1	0	3.88888888888889
10767	HBS1L	uc003qez.2	uc011ecz.1	0	13	1	81	1	0	2.01234567901235
10806	SDCCAG8	uc001hzy.1	uc010pyk.1	0	31	1	62	1	0	0.661375661375661
10806	SDCCAG8	uc001hzy.1	uc010pyl.1	0	31	1	62	1	0	0.661375661375661
10813	UTP14A	uc004euz.2	uc011mup.1	0	4	2	135	1	0	6.02222222222222
10826	C5orf4	uc003lvs.3	uc011dde.1	0	8	8	125	1	0	0.868512110726644
10827	FAM114A2	uc003lvc.2	uc011dda.1	0	15	2	124	1	0	1.60645161290323
10874	NMU	uc010igw.1	uc010igv.1	0	9	1	85	1	0	3
10879	SMR3B	uc011cas.1	uc003hfh.2	0	6	1	88	1	0	4.53846153846154
10892	MALT1	uc002lhn.1	uc002lhm.1	0	18	2	120	1	0	1.3027027027027
10901	DHRS4	uc001wla.2	uc010akz.2	0	5	1	87	1	0	5.3030303030303
10901	DHRS4	uc001wla.2	uc001wlb.2	0	5	2	87	1	0	3.18181818181818
10908	PNPLA6	uc002mgs.2	uc002mgt.1	0	3	3	115	1	0	4.71428571428571
10916	MAGED2	uc004dtk.1	uc004dtn.1	0	8	6	126	1	0	1.1447963800905
10930	APOBEC2	uc010jxf.2	uc003opl.2	0	3	1	91	1	0	8.71428571428571
10943	MSL3	uc004cuy.2	uc004cux.2	0	3	1	90	1	0	8.61904761904762
10943	MSL3	uc004cuy.2	uc004cuw.2	0	3	1	90	1	0	8.61904761904762
10965	ACOT2	uc001xon.3	uc001xom.2	0	2	2	137	1	0	11
10994	ILVBL	uc002nam.2	uc010xof.1	0	2	3	135	1	0	7.74285714285714
