GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.me
100008586	GAGE12F	None	None	0	0	0	3598	1
100009676	LOC100009676	None	None	0	1	0	3597	1
10000	AKT3	uc001iab.1	uc001hzz.1	0	29	0	3569	1
10001	MED6	uc001xmf.2	uc010tti.1	0	9	2	3587	0.995002783957912
10001	MED6	uc001xmf.2	uc010tth.1	0	9	0	3589	1
10002	NR2E3	None	None	0	6	0	3592	1
100033413	SNORD116-1	None	None	0	0	0	3598	1
100033414	SNORD116-2	None	None	0	0	0	3598	1
100033415	SNORD116-3	None	None	0	0	0	3598	1
100033416	SNORD116-4	uc001yxh.1	uc001yxj.1	0	0	1	3597	1
100033416	SNORD116-4	uc001yxh.1	uc001yxm.1	0	0	1	3597	1
100033417	SNORD116-5	None	None	0	0	0	3598	1
100033420	SNORD116-8	None	None	0	0	0	3598	1
100033422	SNORD116-10	None	None	0	0	0	3598	1
100033423	SNORD116-11	None	None	0	0	0	3598	1
100033424	SNORD116-12	None	None	0	0	0	3598	1
100033425	SNORD116-13	None	None	0	0	0	3598	1
100033426	SNORD116-14	None	None	0	0	0	3598	1
100033427	SNORD116-15	None	None	0	0	0	3598	1
100033428	SNORD116-16	None	None	0	0	0	3598	1
100033430	SNORD116-18	None	None	0	0	0	3598	1
100033431	SNORD116-20	None	None	0	0	0	3598	1
100033433	SNORD116-22	None	None	0	0	0	3598	1
100033434	SNORD116-23	None	None	0	0	0	3598	1
100033435	SNORD116-24	None	None	0	0	0	3598	1
100033436	SNORD116-25	None	None	0	0	0	3598	1
100033437	SNORD115-2	None	None	0	0	0	3598	1
100033438	SNORD116-26	None	None	0	0	0	3598	1
100033439	SNORD116-27	None	None	0	0	0	3598	1
100033440	SNORD115-3	None	None	0	0	0	3598	1
100033441	SNORD115-4	None	None	0	0	0	3598	1
100033442	SNORD115-5	None	None	0	0	0	3598	1
100033443	SNORD115-6	None	None	0	0	0	3598	1
100033444	SNORD115-7	None	None	0	0	0	3598	1
100033445	SNORD115-8	None	None	0	0	0	3598	1
100033446	SNORD115-9	None	None	0	0	0	3598	1
100033447	SNORD115-10	None	None	0	0	0	3598	1
100033448	SNORD115-11	None	None	0	0	0	3598	1
100033450	SNORD115-13	None	None	0	0	0	3598	1
100033451	SNORD115-14	None	None	0	0	0	3598	1
100033454	SNORD115-16	None	None	0	0	0	3598	1
100033455	SNORD115-17	None	None	0	0	0	3598	1
100033460	SNORD115-20	None	None	0	0	0	3598	1
100033799	SNORD115-22	None	None	0	0	0	3598	1
100033801	SNORD115-25	None	None	0	0	0	3598	1
100033802	SNORD115-26	None	None	0	0	0	3598	1
100033804	SNORD115-30	None	None	0	0	0	3598	1
100033805	SNORD115-31	None	None	0	0	0	3598	1
100033806	SNORD115-32	None	None	0	0	0	3598	1
100033807	SNORD115-33	None	None	0	0	0	3598	1
100033809	SNORD115-35	None	None	0	0	0	3598	1
100033811	SNORD115-37	None	None	0	0	0	3598	1
100033812	SNORD115-38	None	None	0	0	0	3598	1
100033813	SNORD115-39	None	None	0	0	0	3598	1
100033814	SNORD115-40	None	None	0	0	0	3598	1
100033815	SNORD115-41	None	None	0	0	0	3598	1
100033818	SNORD115-44	None	None	0	0	0	3598	1
100033820	SNORD116-28	None	None	0	0	0	3598	1
100033821	SNORD116-29	None	None	0	0	0	3598	1
100033822	SNORD115-48	None	None	0	0	0	3598	1
100036519	FOXD4L2	None	None	0	6	0	3592	1
100036563	HBII-52-24	None	None	0	0	0	3598	1
100036564	HBII-52-27	None	None	0	0	0	3598	1
100036565	HBII-52-28	None	None	0	0	0	3598	1
100036566	HBII-52-45	None	None	0	0	0	3598	1
100036567	HBII-52-46	None	None	0	0	0	3598	1
100037417	DDTL	uc011aji.1	uc002zyy.3	0	1	7	3590	0.998054474708171
100038246	TLX1NB	None	None	0	1	0	3597	1
10003	NAALAD2	uc001pdf.3	uc009yvx.2	0	50	2	3546	0.972396087592603
10003	NAALAD2	uc009yvx.2	uc009yvy.2	0	50	1	3547	0.986103390772652
10003	NAALAD2	uc001pdf.3	uc009yvy.2	0	50	1	3547	0.986103390772652
100048912	CDKN2BAS	uc010miz.2	uc010mix.1	0	0	1	3597	1
100049587	SIGLEC14	None	None	0	23	0	3575	1
