Feature	TotalMutations	TotalLength	ExpectedMutFrequency	fc_m	p_m	adjp_m	H_m	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Frame_Shift_Del_out	Frame_Shift_Ins_out	Nonsense_Mutation_out
PS01031|HSP20_Heat_shock_hsp20_proteins_family_profile.	23	2840	0.000210942759642312	0.987710214690139	0.551305358173466	1	0.87794487620199	2	0	0	0	19	2	0	4	0	5
PS01033|GLOBIN_Globin_family_profile.	87	3934	0.000292200287476358	2.69714904451316	1.28160910168948e-15	8.98407980284328e-13	0.925995860603236	4	2	0	0	80	1	0	4	2	1
PS01178|ANAPHYLATOXIN_2_Anaphylatoxin_domain_profile.	5	1463	0.000108665231463628	0.416817291705548	0.992378868328865	1	0.685475297227334	0	0	0	0	4	1	0	0	1	1
PS01179|PID_Phosphotyrosine_interaction_domain_(PID)_profile.	111	27927	0.00207429522835594	0.484751032706263	1	1	0.962913109308963	5	2	0	0	99	5	0	9	3	15
PS01180|CUB_CUB_domain_profile.	445	44575	0.0033108357433296	1.21755533597542	3.01577894999097e-05	0.0198438254909406	0.912378442164982	22	13	0	0	381	29	0	60	45	75
PS01225|CTCK_2_C-terminal_cystine_knot_domain_profile.	39	1850	0.000137409896245873	2.57106423922632	2.30192315884968e-07	0.000154919428590584	0.926879726070282	1	2	0	0	34	2	0	6	4	3
PS50001|SH2_Src_homology_2_(SH2)_domain_profile.	324	59646	0.00443024360620611	0.662496724259565	0.999999999999999	1	0.9463022795312	15	8	4	0	271	26	0	48	29	75
PS50002|SH3_Src_homology_3_(SH3)_domain_profile.	388	80602	0.00598676349038368	0.587091721627017	1	1	0.948170678064409	19	10	0	0	328	31	0	70	34	89
PS50003|PH_DOMAIN_PH_domain_profile.	732	144469	0.0107305244868892	0.617954449417021	1	1	0.957839660946133	46	17	3	1	617	48	0	104	43	114
PS50004|C2_C2_domain_profile.	441	59643	0.00443002077934734	0.90177700891793	0.987119379921308	1	0.944483117957173	21	9	2	2	375	32	0	83	48	85
