###################################################################################################################################################################
#Enrichment results using 'Biological Process from Gene Ontology (GO)', created by dcGO Enrichment at 30/05/2016 17:04:37 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0023051	regulation of signaling	1	9.20	5.13e-17	4.72e-14	112|425|441|3527	PF00019;PF00020;PF00027;PF00040;PF00057;PF00059;PF00063;PF00072;PF00086;PF00093;PF00094;PF00097;PF00122;PF00130;PF00168;PF00169;PF00179;PF00240;PF00270;PF00271;PF00307;PF00349;PF00373;PF00400;PF00435;PF00452;PF00515;PF00564;PF00605;PF00610;PF00611;PF00618;PF00630;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00870;PF00884;PF00969;PF01017;PF01030;PF01291;PF01302;PF01391;PF01392;PF01403;PF01412;PF01437;PF01485;PF01562;PF01585;PF01699;PF01753;PF01833;PF02145;PF02148;PF02177;PF02199;PF02214;PF02218;PF02262;PF02377;PF02434;PF02761;PF02762;PF02865;PF03165;PF03226;PF03489;PF03727;PF03920;PF04868;PF05076;PF05184;PF06920;PF07525;PF07645;PF07653;PF07679;PF07710;PF08232;PF08563;PF09289;PF09324;PF09379;PF09380;PF10358;PF10401;PF10409;PF10608;PF12470;PF12548;PF12763;PF12783;PF12796;PF12924;PF12925;PF13353;PF13405;PF13637;PF13639;PF13716;PF13855;PF13905;PF14324;PF14429
Group	GO:0010646	regulation of cell communication	1	8.37	4.13e-14	1.90e-11	88|425|336|3527	PF00019;PF00020;PF00027;PF00040;PF00057;PF00059;PF00063;PF00072;PF00086;PF00093;PF00122;PF00130;PF00168;PF00169;PF00179;PF00240;PF00270;PF00271;PF00307;PF00349;PF00373;PF00400;PF00435;PF00452;PF00618;PF00630;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00870;PF00884;PF00969;PF01017;PF01030;PF01291;PF01302;PF01391;PF01392;PF01403;PF01437;PF01485;PF01585;PF01699;PF01833;PF02145;PF02214;PF02218;PF02262;PF02434;PF02761;PF02762;PF02865;PF03165;PF03226;PF03727;PF03920;PF04868;PF05076;PF07525;PF07645;PF07653;PF07679;PF07710;PF08563;PF09289;PF09379;PF09380;PF10358;PF10409;PF10608;PF12470;PF12548;PF12763;PF12796;PF13353;PF13405;PF13637;PF13639;PF13716;PF13855;PF13905;PF14324
Group	GO:0048583	regulation of response to stimulus	1	8.04	8.28e-14	2.54e-11	115|425|503|3527	PF00019;PF00020;PF00027;PF00040;PF00057;PF00059;PF00063;PF00072;PF00086;PF00093;PF00094;PF00097;PF00122;PF00130;PF00149;PF00168;PF00169;PF00179;PF00240;PF00270;PF00271;PF00307;PF00373;PF00400;PF00452;PF00515;PF00564;PF00605;PF00610;PF00611;PF00618;PF00630;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00754;PF00757;PF00778;PF00780;PF00870;PF00884;PF00969;PF01017;PF01030;PF01217;PF01302;PF01391;PF01392;PF01403;PF01412;PF01437;PF01476;PF01485;PF01562;PF01585;PF01602;PF01753;PF01833;PF02145;PF02148;PF02177;PF02199;PF02214;PF02218;PF02262;PF02377;PF02434;PF02760;PF02761;PF02762;PF02865;PF03165;PF03226;PF03489;PF03920;PF04868;PF05076;PF05184;PF06733;PF06920;PF07525;PF07534;PF07645;PF07653;PF07679;PF07686;PF07710;PF08232;PF08246;PF08563;PF09289;PF09379;PF09380;PF10358;PF10401;PF10409;PF11648;PF12470;PF12548;PF12763;PF12796;PF12924;PF12925;PF13353;PF13405;PF13637;PF13639;PF13716;PF13855;PF13905;PF14324;PF14429
Group	GO:0019538	protein metabolic process	1	7.60	2.69e-13	6.19e-11	168|425|869|3527	PF00019;PF00027;PF00040;PF00045;PF00057;PF00059;PF00063;PF00076;PF00082;PF00085;PF00094;PF00097;PF00122;PF00130;PF00133;PF00149;PF00168;PF00169;PF00179;PF00226;PF00240;PF00246;PF00254;PF00258;PF00266;PF00270;PF00271;PF00373;PF00385;PF00400;PF00413;PF00415;PF00432;PF00452;PF00515;PF00530;PF00534;PF00535;PF00557;PF00564;PF00583;PF00605;PF00611;PF00622;PF00630;PF00651;PF00667;PF00675;PF00688;PF00702;PF00749;PF00754;PF00757;PF00780;PF00789;PF00884;PF00899;PF00989;PF01030;PF01088;PF01302;PF01336;PF01391;PF01426;PF01433;PF01471;PF01485;PF01530;PF01546;PF01562;PF01663;PF01753;PF01814;PF01841;PF02008;PF02148;PF02177;PF02182;PF02185;PF02214;PF02225;PF02259;PF02260;PF02262;PF02359;PF02434;PF02518;PF02671;PF02761;PF02762;PF02824;PF02865;PF03133;PF03155;PF03165;PF03256;PF03485;PF04137;PF04389;PF04557;PF04558;PF04721;PF04756;PF04810;PF04811;PF04818;PF04868;PF05020;PF05021;PF05024;PF05033;PF05193;PF05207;PF05773;PF05922;PF06480;PF07645;PF07653;PF07679;PF07686;PF07687;PF07707;PF07973;PF08064;PF08246;PF08288;PF08295;PF08367;PF08662;PF08736;PF08773;PF08926;PF09247;PF09379;PF09380;PF09409;PF10250;PF10401;PF10409;PF10436;PF10585;PF11701;PF11717;PF11816;PF12548;PF12697;PF12796;PF12894;PF12895;PF12906;PF12924;PF12925;PF13344;PF13353;PF13405;PF13519;PF13589;PF13599;PF13620;PF13637;PF13639;PF13733;PF13831;PF13832;PF13848;PF13855;PF13891;PF14324
Group	GO:0043412	macromolecule modification	1	7.62	7.09e-13	1.09e-10	128|425|602|3527	PF00019;PF00027;PF00063;PF00076;PF00085;PF00094;PF00097;PF00130;PF00149;PF00168;PF00169;PF00179;PF00240;PF00246;PF00254;PF00258;PF00270;PF00271;PF00373;PF00385;PF00400;PF00415;PF00432;PF00515;PF00530;PF00534;PF00535;PF00557;PF00564;PF00567;PF00583;PF00605;PF00611;PF00622;PF00630;PF00651;PF00667;PF00688;PF00754;PF00757;PF00780;PF00899;PF00989;PF01030;PF01088;PF01189;PF01302;PF01426;PF01485;PF01530;PF01585;PF01663;PF01753;PF01814;PF01841;PF02008;PF02148;PF02177;PF02182;PF02185;PF02214;PF02225;PF02259;PF02260;PF02434;PF02518;PF02671;PF02865;PF03133;PF03155;PF03165;PF03256;PF04389;PF04408;PF04756;PF04762;PF04810;PF04811;PF04818;PF04868;PF05024;PF05033;PF05207;PF05773;PF06464;PF07645;PF07653;PF07679;PF07707;PF08032;PF08064;PF08210;PF08288;PF08295;PF08736;PF08926;PF09247;PF09379;PF09380;PF10250;PF10401;PF10409;PF10436;PF10585;PF11717;PF11816;PF12047;PF12148;PF12697;PF12796;PF12872;PF12894;PF12895;PF12906;PF12924;PF12925;PF12933;PF12934;PF13344;PF13599;PF13637;PF13639;PF13733;PF13831;PF13832;PF13855;PF13891;PF14324
Group	GO:0048519	negative regulation of biological process	1	7.59	5.99e-13	1.09e-10	140|425|681|3527	PF00019;PF00024;PF00057;PF00072;PF00076;PF00086;PF00093;PF00097;PF00122;PF00130;PF00168;PF00169;PF00179;PF00226;PF00240;PF00241;PF00254;PF00258;PF00270;PF00271;PF00307;PF00349;PF00350;PF00373;PF00385;PF00400;PF00435;PF00452;PF00515;PF00530;PF00564;PF00567;PF00605;PF00611;PF00622;PF00630;PF00642;PF00651;PF00667;PF00683;PF00688;PF00689;PF00690;PF00702;PF00754;PF00757;PF00778;PF00780;PF00789;PF00870;PF00884;PF00969;PF01017;PF01030;PF01088;PF01291;PF01302;PF01335;PF01391;PF01392;PF01403;PF01426;PF01477;PF01562;PF01585;PF01602;PF01624;PF01699;PF01753;PF01833;PF01909;PF02145;PF02148;PF02177;PF02181;PF02214;PF02259;PF02260;PF02262;PF02463;PF02671;PF02761;PF02762;PF02865;PF02881;PF03165;PF03167;PF03226;PF03727;PF03920;PF05033;PF05076;PF05773;PF06733;PF06741;PF07525;PF07546;PF07645;PF07653;PF07679;PF07686;PF07710;PF08210;PF08246;PF08295;PF08563;PF08953;PF08954;PF09058;PF09289;PF09307;PF09379;PF09380;PF10401;PF10409;PF10524;PF10608;PF11934;PF11977;PF12047;PF12470;PF12548;PF12697;PF12701;PF12763;PF12796;PF12906;PF12924;PF12925;PF13086;PF13353;PF13405;PF13639;PF13716;PF13733;PF13854;PF13855;PF13905;PF14259;PF14324
Group	GO:0032879	regulation of localization	1	7.71	2.79e-12	3.67e-10	81|425|318|3527	PF00019;PF00020;PF00027;PF00040;PF00045;PF00059;PF00063;PF00076;PF00085;PF00086;PF00093;PF00097;PF00122;PF00130;PF00168;PF00169;PF00254;PF00258;PF00307;PF00349;PF00362;PF00373;PF00400;PF00413;PF00435;PF00452;PF00564;PF00610;PF00611;PF00618;PF00622;PF00630;PF00667;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00884;PF00928;PF00969;PF01030;PF01044;PF01217;PF01302;PF01391;PF01392;PF01403;PF01437;PF01471;PF01562;PF01833;PF02145;PF02185;PF02214;PF03727;PF04810;PF04811;PF05076;PF07546;PF07645;PF07651;PF07653;PF07679;PF07686;PF07690;PF07965;PF08246;PF08725;PF10409;PF12470;PF12548;PF12697;PF12796;PF13353;PF13405;PF13637;PF13716;PF13855;PF13903
Group	GO:0065008	regulation of biological quality	1	7.07	1.95e-11	2.24e-09	128|425|628|3527	PF00019;PF00024;PF00027;PF00057;PF00059;PF00063;PF00076;PF00082;PF00085;PF00093;PF00094;PF00122;PF00130;PF00149;PF00153;PF00168;PF00169;PF00240;PF00241;PF00246;PF00254;PF00270;PF00271;PF00282;PF00307;PF00349;PF00373;PF00400;PF00435;PF00452;PF00530;PF00583;PF00610;PF00611;PF00618;PF00622;PF00630;PF00642;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00754;PF00780;PF00870;PF00928;PF00999;PF01017;PF01044;PF01217;PF01302;PF01336;PF01391;PF01392;PF01401;PF01403;PF01433;PF01437;PF01477;PF01496;PF01553;PF01562;PF01565;PF01602;PF01699;PF01715;PF01814;PF01826;PF01841;PF02145;PF02148;PF02177;PF02181;PF02214;PF02218;PF02225;PF02259;PF02260;PF02463;PF02765;PF02865;PF03165;PF03727;PF04382;PF04389;PF04811;PF05076;PF06367;PF06371;PF06733;PF06741;PF06920;PF07645;PF07653;PF07679;PF07686;PF07690;PF07707;PF07710;PF07973;PF08246;PF08563;PF08736;PF08742;PF08953;PF09379;PF09380;PF10409;PF10608;PF11971;PF12424;PF12470;PF12710;PF12756;PF12763;PF12796;PF12924;PF12925;PF13246;PF13405;PF13637;PF13716;PF13855;PF13903;PF14259;PF14429
Group	GO:0051641	cellular localization	1	6.48	1.01e-09	8.50e-08	103|425|494|3527	PF00019;PF00027;PF00053;PF00063;PF00076;PF00085;PF00122;PF00130;PF00149;PF00153;PF00168;PF00169;PF00179;PF00226;PF00240;PF00270;PF00271;PF00307;PF00350;PF00400;PF00432;PF00435;PF00452;PF00515;PF00567;PF00610;PF00611;PF00618;PF00622;PF00630;PF00638;PF00651;PF00675;PF00683;PF00688;PF00689;PF00690;PF00702;PF00780;PF00870;PF00928;PF00989;PF00999;PF01017;PF01044;PF01217;PF01302;PF01391;PF01392;PF01403;PF01412;PF01428;PF01465;PF01602;PF02138;PF02145;PF02177;PF02181;PF02359;PF02865;PF02881;PF02985;PF03810;PF04695;PF04810;PF04811;PF04841;PF05076;PF05193;PF06480;PF07645;PF07651;PF07653;PF07679;PF07707;PF07710;PF08389;PF08506;PF08563;PF08700;PF08953;PF08954;PF09177;PF09324;PF10559;PF10608;PF11413;PF11957;PF11971;PF12455;PF12470;PF12756;PF12763;PF12783;PF12796;PF12924;PF12925;PF13246;PF13385;PF13405;PF13637;PF13850;PF13855
Group	GO:0033036	macromolecule localization	1	6.43	2.53e-09	1.94e-07	80|425|354|3527	PF00019;PF00052;PF00053;PF00057;PF00063;PF00076;PF00122;PF00130;PF00168;PF00169;PF00226;PF00240;PF00241;PF00270;PF00271;PF00307;PF00350;PF00373;PF00400;PF00432;PF00435;PF00501;PF00515;PF00564;PF00567;PF00611;PF00630;PF00638;PF00675;PF00683;PF00688;PF00778;PF00870;PF00928;PF00999;PF01017;PF01044;PF01217;PF01302;PF01391;PF01392;PF01428;PF01465;PF01477;PF01602;PF02145;PF02359;PF02865;PF02881;PF02985;PF03765;PF03810;PF04695;PF04810;PF04811;PF05076;PF05193;PF07645;PF07653;PF07679;PF07710;PF08389;PF08506;PF08563;PF09058;PF09379;PF09380;PF10409;PF10559;PF10608;PF11957;PF12470;PF12710;PF12763;PF12796;PF13246;PF13405;PF13637;PF13855;PF14259
