#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
707	27.1862093946	6.40945e+11	ENSP00000269305, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000382423, ENSP00000414946	1.56019641651e-12	E
732	27.1862093946	6.40945e+11	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000382423, ENSP00000391478, ENSP00000414946	1.56019641651e-12	E
678	27.1499434115	6.18117e+11	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000382423, ENSP00000391127, ENSP00000414946	1.61781699148e-12	E
683	27.1499434115	6.18117e+11	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000352610, ENSP00000382423, ENSP00000414946	1.61781699148e-12	E
718	27.1499434115	6.18117e+11	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000382423, ENSP00000398846, ENSP00000414946	1.61781699148e-12	E
295	26.9943037032	5.29026e+11	ENSP00000263967, ENSP00000347512-uc003dwv.1-uc003dwt.1, ENSP00000368632, ENSP00000391478	1.89026572173e-12	E
257	26.9943037032	5.29026e+11	ENSP00000263967, ENSP00000269305, ENSP00000341619, ENSP00000347512-uc003dwv.1-uc003dwt.1	1.89026572173e-12	E
323	26.9943037032	5.29026e+11	ENSP00000263967, ENSP00000269305, ENSP00000347512-uc003dwv.1-uc003dwt.1, ENSP00000368632	1.89026572173e-12	E
247	26.9943037032	5.29026e+11	ENSP00000263967, ENSP00000341619, ENSP00000347512-uc003dwv.1-uc003dwt.1, ENSP00000391478	1.89026572173e-12	E
275	26.1681924382	2.3158e+11	ENSP00000261769, ENSP00000341619, ENSP00000352610, ENSP00000382423	4.31815694313e-12	E
236	26.1681924382	2.3158e+11	ENSP00000261769, ENSP00000352610, ENSP00000368632, ENSP00000382423	4.31815694313e-12	E
258	26.1681924382	2.3158e+11	ENSP00000261769, ENSP00000341619, ENSP00000382423, ENSP00000398846	4.31815694313e-12	E
265	26.1681924382	2.3158e+11	ENSP00000261769, ENSP00000368632, ENSP00000382423, ENSP00000391127	4.31815694313e-12	E
