#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
55	13.9952096759	1.19686e+06	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000384675-uc002rrk.3-uc002rrj.3	8.35521567033e-07	E
11	13.6838734126	876659	ENSP00000257290-uc003han.3-uc003hao.1, ENSP00000261681-uc001xjc.2-uc001xjd.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.14069433797e-06	E
28	13.4694635412	707479	ENSP00000276072-uc004dzt.3-uc004dzv.3, ENSP00000343206-uc004did.2-uc004die.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.41346907096e-06	E
36	13.1479118155	512939	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000311579-uc003wss.2-uc011kww.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.94955032308e-06	E
49	12.9706454448	429615	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000260600-uc002rfs.3-uc002rfr.3, ENSP00000423228-uc003jlg.1-uc003jlb.1	2.3276638222e-06	E
21	12.7369946261	340100	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000378056-uc002blh.2-uc002bll.2	2.94031268718e-06	E
36	12.6853445825	322980	ENSP00000326603-uc002klm.3-uc002kll.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000365998	3.09617034592e-06	E
13	12.4535429684	256156	ENSP00000276072-uc004dzt.3-uc004dzv.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000345133	3.9038669579e-06	E
24	12.3269312635	225693	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000340427-uc003zjm.1-uc010mhs.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	4.43079618881e-06	E
13	12.3269312635	225693	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000279907-uc001tgq.2-uc001tgp.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	4.43079618881e-06	E
10	12.2500265112	208987	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000261681-uc001xjc.2-uc001xjd.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	4.78499053461e-06	E
16	12.197435984	198280	ENSP00000276072-uc004dzt.3-uc004dzv.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000374359-uc003eiv.2-uc003eix.2	5.04337032557e-06	E
4	12.098089691	179529	ENSP00000257290-uc003han.3-uc003hao.1, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000454523-uc010cgg.2-uc002faz.2	5.57014378022e-06	E
19	11.9773936718	159117	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000409279-uc003ika.3-uc003ijz.3, ENSP00000423228-uc003jlg.1-uc003jlb.1	6.28469231994e-06	E
14	11.9773936718	159117	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000344223-uc002fhi.2-uc002fhh.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	6.28469231994e-06	E
12	11.9262394341	151182	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000365757-uc001irl.3-uc010qcu.1, ENSP00000365998	6.61454573901e-06	E
5	11.8840946542	144943	ENSP00000257290-uc003han.3-uc003hao.1, ENSP00000267938-uc002bbg.2-uc002bbi.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	6.89927203449e-06	E
19	11.7159440253	122510	ENSP00000304956, ENSP00000326603-uc002klm.3-uc002kll.3, ENSP00000343897-uc001wuz.3-uc001wvg.3	8.16263091197e-06	E
18	11.7159440253	122510	ENSP00000242505-uc009xqz.2-uc001jtq.2, ENSP00000261681-uc001xjc.2-uc001xjd.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	8.16263091197e-06	E
13	11.5524804996	104035	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000406367-uc003xkj.2-uc010lvy.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	9.61217052267e-06	E
13	11.5524804996	104035	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000216297-uc001wao.2-uc001wan.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	9.61217052267e-06	E
7	11.5524804996	104035	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000184956-uc002iyk.1-uc010ddk.1, ENSP00000423228-uc003jlg.1-uc003jlb.1	9.61217052267e-06	E
1	11.5524804996	104035	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000364493-uc004aur.2-uc011luh.1, ENSP00000423228-uc003jlg.1-uc003jlb.1	9.61217052267e-06	E
12	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000326924-uc002bby.2-uc010bkr.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
5	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000386626-uc002tzd.3-uc010zch.1	9.82480894041e-06	E
8	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000261507-uc003ire.2-uc003irf.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
7	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000259021-uc002ipm.2-uc010wmg.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
11	11.5305998467	101783	ENSP00000221200-uc003xeo.2-uc011lad.1, ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
9	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368020-uc003kxo.2-uc003kxm.2	9.82480894041e-06	E
8	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000298832-uc001xrx.2-uc001xsa.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
4	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000317128-uc003emx.2-uc003emw.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
7	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000321746-uc003hti.2-uc003htj.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	9.82480894041e-06	E
10	11.5305998467	101783	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000369681-uc002amf.2-uc010uik.1	9.82480894041e-06	E
8	11.4366912088	92659.9	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000262982-uc002xty.2-uc010ghy.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.07921535742e-05	E
6	11.4366912088	92659.9	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000365757-uc001irl.3-uc010qcu.1	1.07921535742e-05	E
7	11.4366912088	92659.9	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000364037-uc004bas.2-uc011lvf.1	1.07921535742e-05	E
9	11.3417636089	84268.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368798-uc004dae.2-uc010nfr.2, ENSP00000385191-uc003axx.2-uc003axy.2	1.18668280535e-05	E
4	11.3417636089	84268.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000371475-uc001zrr.3-uc001zrp.2, ENSP00000419397-uc004awp.1-uc011lup.1	1.18668280535e-05	E
8	11.2924928208	80217.2	ENSP00000326603-uc002klm.3-uc002kll.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000462169-uc002qvn.1-uc010evy.1	1.24661595507e-05	E
1	11.2134306557	74119.3	ENSP00000267890-uc001zqo.2-uc010bcy.2, ENSP00000292079-uc001prj.2-uc001prk.1, ENSP00000364037-uc004bas.2-uc011lvf.1	1.34917704364e-05	E
8	11.1905326391	72441.4	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000365998, ENSP00000454523-uc010cgg.2-uc002faz.2	1.38042693684e-05	E
4	11.1122573637	66987.2	ENSP00000276072-uc004dzt.3-uc004dzv.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000419397-uc004awp.1-uc011lup.1	1.49282172056e-05	E
4	11.0595112892	63545.5	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000296411-uc003huf.3-uc010ild.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.57367582993e-05	E
1	11.0595112892	63545.5	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000334738-uc003adk.2-uc011akg.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.57367582993e-05	E
3	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000311291-uc003eqa.3-uc003eqb.3, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
3	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000263209-uc002zri.2-uc002zrj.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
10	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000325355-uc002joc.2-uc010wsc.1, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
4	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000333657-uc002yzf.1-uc010gop.1, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
6	11.0145829243	60753.7	ENSP00000354280, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000459626-uc010uza.1-uc002dcj.2	1.6459908457e-05	E
2	11.0145829243	60753.7	ENSP00000354280, ENSP00000366243-uc011lsa.1-uc004aik.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
5	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000374029-uc003ltj.2-uc011dcn.1, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
5	11.0145829243	60753.7	ENSP00000368715, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000459626-uc010uza.1-uc002dcj.2	1.6459908457e-05	E
7	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000459626-uc010uza.1-uc002dcj.2	1.6459908457e-05	E
5	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000345292-uc002xfw.2-uc010zvr.1, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
9	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000366243-uc011lsa.1-uc004aik.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.6459908457e-05	E
3	11.0145829243	60753.7	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000457258-uc002ejb.2-uc002ejc.2	1.6459908457e-05	E
2	10.9635017919	57728.2	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000399828-uc003gfr.2-uc003gfn.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.73225438524e-05	E
4	10.8960034941	53960.3	ENSP00000267938-uc002bbg.2-uc002bbi.2, ENSP00000343206-uc004did.2-uc004die.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.85321500415e-05	E
3	10.8677592469	52457.5	ENSP00000284548, ENSP00000361009-uc002xtw.1-uc002xtv.1, ENSP00000381008	1.90630386516e-05	E
11	10.8677592469	52457.5	ENSP00000361009-uc002xtw.1-uc002xtv.1, ENSP00000381008, ENSP00000445943	1.90630386516e-05	E
23	10.7574099584	46976.8	ENSP00000262679-uc001ctd.3-uc009vzb.2, ENSP00000343617-uc002qqw.2-uc010yhp.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.12870860376e-05	E
6	10.7574099584	46976.8	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000362656-uc004bpc.2-uc010mws.2	2.12870860376e-05	E
1	10.7574099584	46976.8	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000277165-uc004atw.2-uc010mrg.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.12870860376e-05	E
2	10.7574099584	46976.8	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000264187-uc001hxo.2-uc009xgc.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.12870860376e-05	E
4	10.7574099584	46976.8	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000314396-uc003ilc.2-uc003ilb.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.12870860376e-05	E
2	10.7574099584	46976.8	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000370346-uc003zle.2-uc003zld.2	2.12870860376e-05	E
2	10.7249184908	45475	ENSP00000264932, ENSP00000358262-uc001epm.3-uc009wji.2, ENSP00000423216-uc011bzh.1-uc011bzf.1	2.19900937343e-05	E
12	10.7249184908	45475	ENSP00000358262-uc001epm.3-uc009wji.2, ENSP00000423216-uc011bzh.1-uc011bzf.1, ENSP00000427703	2.19900937343e-05	E
13	10.7249184908	45475	ENSP00000358262-uc001epm.3-uc009wji.2, ENSP00000423216-uc011bzh.1-uc011bzf.1, ENSP00000426514	2.19900937343e-05	E
6	10.7013204918	44414.5	ENSP00000221200-uc003xeo.2-uc011lad.1, ENSP00000244766-uc003mwu.2-uc003mwt.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.25151871551e-05	E
1	10.6528527943	42313.1	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000362441-uc004ecp.3-uc004ecq.3	2.36333243247e-05	E
2	10.6528527943	42313.1	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000361009-uc002xtw.1-uc002xtv.1	2.36333243247e-05	E
5	10.6528527943	42313.1	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000299767-uc001tkb.1-uc010swg.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.36333243247e-05	E
2	10.644831082	41975.1	ENSP00000257290-uc003han.3-uc003hao.1, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000378056-uc002blh.2-uc002bll.2	2.3823666468e-05	E
3	10.6077944338	40448.9	ENSP00000257290-uc003han.3-uc003hao.1, ENSP00000340427-uc003zjm.1-uc010mhs.1, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.47225584448e-05	E
6	10.6077944338	40448.9	ENSP00000262803-uc002nkf.2-uc002nkh.2, ENSP00000328426-uc001iij.2-uc001iik.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.47225584448e-05	E
1	10.6077944338	40448.9	ENSP00000259608-uc003zxe.1-uc003zxf.1, ENSP00000311429-uc002aqb.2-uc010bhv.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.47225584448e-05	E
5	10.6077944338	40448.9	ENSP00000257290-uc003han.3-uc003hao.1, ENSP00000279907-uc001tgq.2-uc001tgp.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	2.47225584448e-05	E
3	10.6005780546	40158	ENSP00000330470-uc003akk.2-uc003aki.2, ENSP00000368715, ENSP00000423228-uc003jlg.1-uc003jlb.1	2.4901611079e-05	E
3	10.6005780546	40158	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000330470-uc003akk.2-uc003aki.2, ENSP00000423228-uc003jlg.1-uc003jlb.1	2.4901611079e-05	E
2	10.544579295	37971	ENSP00000262803-uc002nkf.2-uc002nkh.2, ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000428099	2.63358535312e-05	E
3	10.544579295	37971	ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000406012-uc002cmb.2-uc002clz.2, ENSP00000444026	2.63358535312e-05	E
4	10.544579295	37971	ENSP00000262803-uc002nkf.2-uc002nkh.2, ENSP00000353739, ENSP00000381220-uc003qaa.1-uc003qab.1	2.63358535312e-05	E
1	10.544579295	37971	ENSP00000353739, ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000385191-uc003axx.2-uc003axy.2	2.63358535312e-05	E
3	10.544579295	37971	ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000385191-uc003axx.2-uc003axy.2, ENSP00000444026	2.63358535312e-05	E
6	10.544579295	37971	ENSP00000353739, ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000387739-uc001pfb.2-uc001pfc.2	2.63358535312e-05	E
1	10.544579295	37971	ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000385191-uc003axx.2-uc003axy.2, ENSP00000428099	2.63358535312e-05	E
7	10.544579295	37971	ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000387739-uc001pfb.2-uc001pfc.2, ENSP00000444026	2.63358535312e-05	E
5	10.544579295	37971	ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000406012-uc002cmb.2-uc002clz.2, ENSP00000428099	2.63358535312e-05	E
1	10.544579295	37971	ENSP00000353739, ENSP00000381220-uc003qaa.1-uc003qab.1, ENSP00000406012-uc002cmb.2-uc002clz.2	2.63358535312e-05	E
1	10.5330584049	37536.1	ENSP00000347942-uc001jal.2-uc010qez.1, ENSP00000358450-uc001ehg.2-uc001ehf.2, ENSP00000361021	2.66410205272e-05	E
2	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368798-uc004dae.2-uc010nfr.2, ENSP00000375809-uc002pbj.2-uc002pbi.2	2.81837166271e-05	E
3	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000364336-uc002lyg.1-uc002lye.1, ENSP00000368798-uc004dae.2-uc010nfr.2	2.81837166271e-05	E
2	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000356230-uc001gyo.1-uc001gym.1, ENSP00000368798-uc004dae.2-uc010nfr.2	2.81837166271e-05	E
3	10.4767661714	35481.5	ENSP00000333327-uc003dab.1-uc003daa.1, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368798-uc004dae.2-uc010nfr.2	2.81837166271e-05	E
1	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000362299-uc004bsj.3-uc011mam.1, ENSP00000368798-uc004dae.2-uc010nfr.2	2.81837166271e-05	E
1	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368798-uc004dae.2-uc010nfr.2, ENSP00000368818-uc002grz.3-uc002grv.3	2.81837166271e-05	E
1	10.4767661714	35481.5	ENSP00000343206-uc004did.2-uc004die.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000371475-uc001zrr.3-uc001zrp.2	2.81837166271e-05	E
4	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000362751-uc011lzh.1-uc011lzj.1, ENSP00000432987-uc010rzx.1-uc001pyx.2	2.81837166271e-05	E
3	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368798-uc004dae.2-uc010nfr.2, ENSP00000430684-uc003xow.1-uc010lxj.1	2.81837166271e-05	E
4	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000357448-uc001ffr.2-uc010pep.1, ENSP00000368798-uc004dae.2-uc010nfr.2	2.81837166271e-05	E
15	10.4767661714	35481.5	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000371475-uc001zrr.3-uc001zrp.2, ENSP00000432987-uc010rzx.1-uc001pyx.2	2.81837166271e-05	E
9	10.4767661714	35481.5	ENSP00000343206-uc004did.2-uc004die.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000362751-uc011lzh.1-uc011lzj.1	2.81837166271e-05	E
2	10.4767661714	35481.5	ENSP00000324578-uc010sbs.1-uc009zch.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000368798-uc004dae.2-uc010nfr.2	2.81837166271e-05	E
10	10.4429133183	34300.4	ENSP00000370074-uc003mug.2-uc003muf.2, ENSP00000380310, ENSP00000381008	2.91541491235e-05	E
3	10.4136384193	33310.8	ENSP00000259021-uc002ipm.2-uc010wmg.1, ENSP00000381008, ENSP00000417401	3.00202495401e-05	E
2	10.4136384193	33310.8	ENSP00000347444-uc004axj.2-uc011luy.1, ENSP00000381008, ENSP00000417401	3.00202495401e-05	E
1	10.3688219816	31850.9	ENSP00000326603-uc002klm.3-uc002kll.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000379873	3.13962536832e-05	E
3	10.3688219816	31850.9	ENSP00000326603-uc002klm.3-uc002kll.3, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000366005	3.13962536832e-05	E
1	10.3688219816	31850.9	ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000399828-uc003gfr.2-uc003gfn.2, ENSP00000419397-uc004awp.1-uc011lup.1	3.13962536832e-05	E
