#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
3	17.6127428642	4.45776e+07	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000295718, ENSP00000346667, ENSP00000417235	2.24327730635e-08	E
4	16.3409989857	1.2497e+07	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000380897, ENSP00000421631	8.00192196339e-08	E
1	15.4629145237	5.19348e+06	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000366903, ENSP00000418775	1.92549124472e-07	E
5	15.4629145237	5.19348e+06	ENSP00000257068, ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000366903	1.92549124472e-07	E
5	14.4956159238	1.97409e+06	ENSP00000293441, ENSP00000301030, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2	5.06563615035e-07	E
2	14.4028802622	1.79925e+06	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000417235, ENSP00000444244	5.55787248644e-07	E
7	14.2691813793	1.57408e+06	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000354159, ENSP00000417235	6.35291823371e-07	E
12	14.2691813793	1.57408e+06	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000373311, ENSP00000417235	6.35291823371e-07	E
1	14.2691813793	1.57408e+06	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000306091-uc001hef.2-uc001hed.2, ENSP00000323928, ENSP00000417235	6.35291823371e-07	E
12	14.2691813793	1.57408e+06	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000354159, ENSP00000417235	6.35291823371e-07	E
1	14.1782109834	1.43721e+06	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000306091-uc001hef.2-uc001hed.2, ENSP00000417164, ENSP00000417235	6.95794844695e-07	E
4	14.0850326912	1.30934e+06	ENSP00000222690-uc003tlz.2-uc003tma.2, ENSP00000335529, ENSP00000339314-uc002zxs.2-uc002zxr.1, ENSP00000434655	7.63744375163e-07	E
4	14.0615703053	1.27898e+06	ENSP00000282030, ENSP00000346508-uc003sir.2-uc003sis.2, ENSP00000348632-uc002wdp.3-uc002wdo.2, ENSP00000403954	7.81875508576e-07	E
2	14.0275194557	1.23616e+06	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000366903, ENSP00000423338	8.08957499658e-07	E
2	13.9802098201	1.17904e+06	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000317421, ENSP00000356575, ENSP00000421631	8.48148736156e-07	E
3	13.8998821503	1.08803e+06	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000319960, ENSP00000333751, ENSP00000366903	9.19089665955e-07	E
5	13.8998821503	1.08803e+06	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000366903, ENSP00000375626	9.19089665955e-07	E
1	13.632958743	833141	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000306091-uc001hef.2-uc001hed.2, ENSP00000354159, ENSP00000417235	1.20027634165e-06	E
1	13.632958743	833141	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000306091-uc001hef.2-uc001hed.2, ENSP00000384192, ENSP00000417235	1.20027634165e-06	E
1	13.5871041229	795801	ENSP00000346508-uc003sir.2-uc003sis.2, ENSP00000348632-uc002wdp.3-uc002wdo.2, ENSP00000403954, ENSP00000453293	1.25659594634e-06	E
1	13.5871041229	795801	ENSP00000346508-uc003sir.2-uc003sis.2, ENSP00000348632-uc002wdp.3-uc002wdo.2, ENSP00000360171, ENSP00000452722	1.25659594634e-06	E
3	13.5871041229	795801	ENSP00000346508-uc003sir.2-uc003sis.2, ENSP00000348632-uc002wdp.3-uc002wdo.2, ENSP00000403954, ENSP00000453144	1.25659594634e-06	E
2	13.5871041229	795801	ENSP00000346508-uc003sir.2-uc003sis.2, ENSP00000348632-uc002wdp.3-uc002wdo.2, ENSP00000360171, ENSP00000453144	1.25659594634e-06	E
17	13.355544502	631305	ENSP00000243077, ENSP00000316879, ENSP00000356455, ENSP00000413496-uc003fsx.2-uc003fsy.2	1.58402021607e-06	E
2	13.2473854701	566587	ENSP00000264162, ENSP00000301030, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2	1.76495481219e-06	E
2	13.2318414079	557848	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000317421, ENSP00000384820-uc003aay.1-uc003aan.1, ENSP00000421631	1.79260371091e-06	E
1	13.1474822985	512719	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000364312, ENSP00000417235, ENSP00000433302	1.95038786799e-06	E
1	13.1474822985	512719	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000306522, ENSP00000417235	1.95038786799e-06	E
11	13.1198147948	498727	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000328553, ENSP00000355434	2.00510366608e-06	E
4	13.0141288398	448709	ENSP00000243077, ENSP00000262738, ENSP00000315602-uc002bec.2-uc002beb.2, ENSP00000413496-uc003fsx.2-uc003fsy.2	2.22861812426e-06	E
5	12.9811307246	434144	ENSP00000257068, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000367754, ENSP00000413496-uc003fsx.2-uc003fsy.2	2.30338512263e-06	E
3	12.9700797931	429372	ENSP00000259271, ENSP00000285928, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2	2.32898084159e-06	E
3	12.7397316681	341032	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000324651, ENSP00000366903, ENSP00000432568	2.93227593121e-06	E
1	12.7397316681	341032	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000366903, ENSP00000376838, ENSP00000432568	2.93227593121e-06	E
1	12.7397316681	341032	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000366903, ENSP00000442226	2.93227593121e-06	E
3	12.7397316681	341032	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000284509, ENSP00000366903, ENSP00000432568	2.93227593121e-06	E
22	12.6292242339	305353	ENSP00000252172, ENSP00000353109, ENSP00000442112-uc002amn.2-uc002amm.1, ENSP00000463897-uc009wlr.2-uc001eup.3	3.27489669182e-06	E
18	12.6292242339	305353	ENSP00000353109, ENSP00000442112-uc002amn.2-uc002amm.1, ENSP00000459873, ENSP00000463897-uc009wlr.2-uc001eup.3	3.27489669182e-06	E
1	12.5979330935	295946	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000284509, ENSP00000333751, ENSP00000421631	3.37899208227e-06	E
3	12.5461944162	281024	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000359691, ENSP00000366903, ENSP00000432568	3.55841827652e-06	E
5	12.5329880209	277337	ENSP00000261655, ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000417235	3.60572383542e-06	E
3	12.5329880209	277337	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000386786, ENSP00000417235	3.60572383542e-06	E
1	12.5281653423	276003	ENSP00000212355, ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000364312, ENSP00000417235	3.62315508135e-06	E
4	12.4968937344	267505	ENSP00000262738, ENSP00000264895, ENSP00000315602-uc002bec.2-uc002beb.2, ENSP00000413496-uc003fsx.2-uc003fsy.2	3.73824714438e-06	E
1	12.4744249039	261562	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000317421, ENSP00000348693, ENSP00000421631	3.82319191692e-06	E
2	12.4696220872	260308	ENSP00000243077, ENSP00000315602-uc002bec.2-uc002beb.2, ENSP00000316879, ENSP00000413496-uc003fsx.2-uc003fsy.2	3.84159817232e-06	E
2	12.4467920976	254433	ENSP00000336627, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000367754, ENSP00000413496-uc003fsx.2-uc003fsy.2	3.93031061797e-06	E
2	12.4109939542	245486	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000352614, ENSP00000417164, ENSP00000417235	4.07355712297e-06	E
2	12.2275165625	204335	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000352077, ENSP00000364312, ENSP00000417235	4.89392184538e-06	E
49	12.2237591258	203569	ENSP00000353109, ENSP00000368462, ENSP00000442112-uc002amn.2-uc002amm.1, ENSP00000463897-uc009wlr.2-uc001eup.3	4.91234503772e-06	E
17	12.2237591258	203569	ENSP00000353109, ENSP00000389270, ENSP00000442112-uc002amn.2-uc002amm.1, ENSP00000463897-uc009wlr.2-uc001eup.3	4.91234503772e-06	E
15	12.2237591258	203569	ENSP00000353109, ENSP00000440409, ENSP00000442112-uc002amn.2-uc002amm.1, ENSP00000463897-uc009wlr.2-uc001eup.3	4.91234503772e-06	E
30	12.2237591258	203569	ENSP00000305334, ENSP00000353109, ENSP00000442112-uc002amn.2-uc002amm.1, ENSP00000463897-uc009wlr.2-uc001eup.3	4.91234503772e-06	E
6	12.218323903	202465	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000323928, ENSP00000417235, ENSP00000444244	4.93911741806e-06	E
1	12.1172812184	183007	ENSP00000279463, ENSP00000364979, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000462701	5.46426346575e-06	E
1	12.1172812184	183007	ENSP00000364979, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000433575, ENSP00000462701	5.46426346575e-06	E
3	12.021156501	166235	ENSP00000323339, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000399806, ENSP00000413496-uc003fsx.2-uc003fsy.2	6.01558773933e-06	E
3	12.0155465634	165305	ENSP00000220959, ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000282249, ENSP00000377042	6.04942964784e-06	E
1	11.9370028106	152818	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000306522, ENSP00000328553	6.54373267054e-06	E
1	11.9288475572	151577	ENSP00000301030, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000431701	6.59731666682e-06	E
1	11.9288475572	151577	ENSP00000301030, ENSP00000317600, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2	6.59731666682e-06	E
1	11.9273668669	151353	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000289547, ENSP00000337789, ENSP00000417235	6.60709248562e-06	E
3	11.9273668669	151353	ENSP00000256062, ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000417235	6.60709248562e-06	E
1	11.9164657003	149712	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000355434, ENSP00000445959	6.67951151011e-06	E
1	11.88985236	145780	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000333751, ENSP00000366995, ENSP00000421631	6.85966219612e-06	E
1	11.8620998825	141790	ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000341882, ENSP00000399806, ENSP00000413496-uc003fsx.2-uc003fsy.2	7.05270108073e-06	E
1	11.8022857374	133557	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000324172, ENSP00000417164, ENSP00000417235	7.48742405546e-06	E
1	11.8022857374	133557	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000373311, ENSP00000417164, ENSP00000417235	7.48742405546e-06	E
1	11.788717511	131757	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000366903, ENSP00000432568, ENSP00000463527	7.58970745348e-06	E
1	11.656242492	115410	ENSP00000262839, ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000265131, ENSP00000298877	8.66479327941e-06	E
3	11.6327278948	112727	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000264663, ENSP00000364312, ENSP00000417235	8.87095683084e-06	E
2	11.6281904859	112217	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000354584, ENSP00000417235	8.91129944527e-06	E
1	11.6281904859	112217	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000359652, ENSP00000417235	8.91129944527e-06	E
2	11.6281904859	112217	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000337789, ENSP00000417235, ENSP00000417374	8.91129944527e-06	E
1	11.6281904859	112217	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000298877, ENSP00000352077, ENSP00000417235	8.91129944527e-06	E
1	11.5604540906	104868	ENSP00000220751-uc003yee.2-uc003yef.2, ENSP00000387038, ENSP00000410015, ENSP00000419770	9.53583175802e-06	E
