#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
4	5.26687881045	193.81	ENSP00000357130, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000373648-uc003ytj.2-uc010mdt.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00515968983674	E
2	4.91239322045	135.964	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000353114, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00735486543765	E
3	4.91239322045	135.964	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000391524-uc011arv.1-uc011aru.1, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00735486543765	E
5	4.91239322045	135.964	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000377862, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00735486543765	E
6	4.88222902981	131.924	ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000436426-uc003lhq.2-uc011dac.1, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00758009891597	E
3	4.78469258052	119.665	ENSP00000240327, ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00835669236316	E
7	4.78469258052	119.665	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000425905, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00835669236316	E
4	4.78469258052	119.665	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377004, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00835669236316	E
5	4.78469258052	119.665	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377001, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00835669236316	E
6	4.78469258052	119.665	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000420908, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00835669236316	E
5	4.77117296398	118.058	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377410-uc011kkn.1-uc003uyu.2, ENSP00000420908, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00847043881101	E
5	4.77117296398	118.058	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377410-uc011kkn.1-uc003uyu.2, ENSP00000425905, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00847043881101	E
4	4.77117296398	118.058	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377004, ENSP00000377410-uc011kkn.1-uc003uyu.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00847043881101	E
3	4.77117296398	118.058	ENSP00000240327, ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377410-uc011kkn.1-uc003uyu.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00847043881101	E
1	4.77117296398	118.058	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377001, ENSP00000377410-uc011kkn.1-uc003uyu.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00847043881101	E
3	4.76055647243	116.811	ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000373648-uc003ytj.2-uc010mdt.2, ENSP00000377862, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00856084419796	E
8	4.76055647243	116.811	ENSP00000353114, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000373648-uc003ytj.2-uc010mdt.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00856084419796	E
2	4.76055647243	116.811	ENSP00000293761-uc002fyh.2-uc010vsd.1, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000373648-uc003ytj.2-uc010mdt.2, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00856084419796	E
3	4.70268716847	110.243	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000377513-uc002hxp.1-uc002hxo.1, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.0090708693684	E
2	4.70268716847	110.243	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000436426-uc003lhq.2-uc011dac.1, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.0090708693684	E
4	4.68128334157	107.908	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000365011-uc004aqc.1-uc004aqd.2, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000438151-uc009vzo.2-uc001cwx.3	0.00926711338064	E
4	4.53737010893	93.4447	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377004, ENSP00000377862, ENSP00000401519-uc009yrp.2-uc001olc.3	0.0107015133929	E
6	4.53737010893	93.4447	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377001, ENSP00000377862, ENSP00000401519-uc009yrp.2-uc001olc.3	0.0107015133929	E
2	4.53737010893	93.4447	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377862, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000425905	0.0107015133929	E
4	4.53737010893	93.4447	ENSP00000301061-uc001rss.2-uc001rst.2, ENSP00000377862, ENSP00000401519-uc009yrp.2-uc001olc.3, ENSP00000420908	0.0107015133929	E
2	4.50265417611	90.2564	ENSP00000357130, ENSP00000373648-uc003ytj.2-uc010mdt.2, ENSP00000438151-uc009vzo.2-uc001cwx.3, ENSP00000452296-uc001vwc.3-uc001vwb.3	0.0110795504	E
1	4.47561273596	87.8484	ENSP00000371077-uc002rat.2-uc002ras.2, ENSP00000377862, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000436426-uc003lhq.2-uc011dac.1	0.0113832450636	E
