#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
3076	24.2621516748	3.44285e+10	ENSP00000251296-uc001bau.1-uc001bav.1, ENSP00000288602, ENSP00000358548	2.9045670649e-11	E
2795	24.1761908229	3.15927e+10	ENSP00000243108-uc001sev.2-uc001ses.2, ENSP00000288602, ENSP00000358548	3.16529165057e-11	E
1758	23.7049642501	1.97213e+10	ENSP00000288602, ENSP00000358548, ENSP00000387261-uc002lbp.3-uc002lbq.3	5.07066398629e-11	E
1497	23.5299124744	1.65543e+10	ENSP00000264638-uc002iay.2-uc010wgs.1, ENSP00000288602, ENSP00000358548	6.04072204385e-11	E
403	22.0806531672	3.88603e+09	ENSP00000279804-uc002dzw.2-uc002dzx.2, ENSP00000288602, ENSP00000358548	2.57332223565e-10	E
288	21.8826490868	3.18797e+09	ENSP00000288602, ENSP00000358548, ENSP00000361186-uc002xsk.2-uc002xsj.2	3.13679583177e-10	E
85	20.6202434346	9.02107e+08	ENSP00000288602, ENSP00000358548, ENSP00000408342-uc002mkd.2-uc002mkc.2	1.1085162422e-09	E
53	20.2370140252	6.14927e+08	ENSP00000288602, ENSP00000358548, ENSP00000376282-uc002jro.2-uc010wte.1	1.6262094433e-09	E
43	19.9557703906	4.64174e+08	ENSP00000288602, ENSP00000358548, ENSP00000370566-uc011mhg.1-uc004cqp.2	2.15436377156e-09	E
1	16.4981069818	1.4623e+07	ENSP00000288602, ENSP00000358548, ENSP00000411032-uc002oyg.1-uc010ejd.2	6.83853660557e-08	E
1	14.0549828197	1.27058e+06	ENSP00000288602, ENSP00000358548, ENSP00000381008	7.87043104241e-07	E
