#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
1253	32.6071598574	1.44914e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000398846, ENSP00000414946	6.90065639981e-15	E
1209	32.6071598574	1.44914e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000352610, ENSP00000414946	6.90065639981e-15	E
1301	32.6071598574	1.44914e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000391127, ENSP00000414946	6.90065639981e-15	E
1113	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000341619, ENSP00000391127	7.80266667542e-15	E
1207	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000368632, ENSP00000391127	7.80266667542e-15	E
1175	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000341619, ENSP00000398846	7.80266667543e-15	E
1140	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000352610, ENSP00000368632	7.80266667543e-15	E
1112	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000341619, ENSP00000352610	7.80266667543e-15	E
1203	32.4843108382	1.28161e+14	ENSP00000261769, ENSP00000368632, ENSP00000398846	7.80266667543e-15	E
1047	32.3978047944	1.17541e+14	ENSP00000269305, ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000414946	8.50769970023e-15	E
1034	32.3978047944	1.17541e+14	ENSP00000334431-uc003hbg.1-uc003hbe.1, ENSP00000391478, ENSP00000414946	8.50769970023e-15	E
565	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000341619, ENSP00000391478	1.55327390993e-14	E
593	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000269305, ENSP00000368632	1.55327390993e-14	E
555	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000368632, ENSP00000391478	1.55327390993e-14	E
551	31.7958263986	6.43801e+13	ENSP00000261769, ENSP00000269305, ENSP00000341619	1.55327390993e-14	E
