#Freq	Total Weight	Target Weight	Gene set 1 (k=4)	Phi 1	Weight function 1
58	19.0409945514	1.85951e+08	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000340427-uc003zjm.1-uc010mhs.1, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000419397-uc004awp.1-uc011lup.1	5.3777565309e-09	E
25	17.9423822628	6.19837e+07	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000386626-uc002tzd.3-uc010zch.1, ENSP00000419397-uc004awp.1-uc011lup.1	1.61332695927e-08	E
39	17.9423822628	6.19837e+07	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000298832-uc001xrx.2-uc001xsa.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000419397-uc004awp.1-uc011lup.1	1.61332695927e-08	E
45	17.9423822628	6.19837e+07	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000261507-uc003ire.2-uc003irf.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000419397-uc004awp.1-uc011lup.1	1.61332695927e-08	E
44	17.9399228968	6.18315e+07	ENSP00000001146-uc002sih.1-uc010yra.1, ENSP00000260600-uc002rfs.3-uc002rfr.3, ENSP00000296422, ENSP00000423228-uc003jlg.1-uc003jlb.1	1.61729960381e-08	E
12	17.8311566277	5.54591e+07	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000340427-uc003zjm.1-uc010mhs.1, ENSP00000343206-uc004did.2-uc004die.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	1.80313013095e-08	E
22	17.3460157304	3.41412e+07	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000384675-uc002rrk.3-uc002rrj.3, ENSP00000419397-uc004awp.1-uc011lup.1	2.92901155707e-08	E
15	17.1850154895	2.90641e+07	ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000343206-uc004did.2-uc004die.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000364037-uc004bas.2-uc011lvf.1	3.44066667844e-08	E
2	16.8815103021	2.14559e+07	ENSP00000164024, ENSP00000228251-uc001qyt.2-uc001qyu.2, ENSP00000264187-uc001hxo.2-uc009xgc.2, ENSP00000343897-uc001wuz.3-uc001wvg.3	4.66072232678e-08	E
33	16.8254208354	2.02856e+07	ENSP00000261507-uc003ire.2-uc003irf.2, ENSP00000343897-uc001wuz.3-uc001wvg.3, ENSP00000359050-uc009xwy.1-uc009xwx.1, ENSP00000419397-uc004awp.1-uc011lup.1	4.92961015332e-08	E
