#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
2537	19.3396267826	2.50665e+08	ENSP00000265993-uc001klb.3-uc001kla.3, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	3.98939286179e-09	E
362	18.0037641887	6.59076e+07	ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000423228-uc003jlg.1-uc003jlb.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	1.51727589894e-08	E
385	17.2971939878	3.25144e+07	ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000374359-uc003eiv.2-uc003eix.2, ENSP00000441202-uc001zcs.2-uc001zcr.2	3.07555925461e-08	E
145	16.5154931514	1.48795e+07	ENSP00000369081-uc003mxv.2-uc010jnz.2, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	6.72066825643e-08	E
108	16.2647087551	1.15791e+07	ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000378438-uc002azq.3-uc002azr.3, ENSP00000441202-uc001zcs.2-uc001zcr.2	8.63628046901e-08	E
101	16.2647087551	1.15791e+07	ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000400113-uc001mpi.2-uc001mpj.2, ENSP00000441202-uc001zcs.2-uc001zcr.2	8.63628046901e-08	E
134	16.2647087551	1.15791e+07	ENSP00000347444-uc004axj.2-uc011luy.1, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	8.63628046901e-08	E
87	16.2647087551	1.15791e+07	ENSP00000299767-uc001tkb.1-uc010swg.1, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	8.63628046901e-08	E
65	15.8431142651	7.59586e+06	ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000393571-uc001pjq.2-uc010rvu.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	1.31650616906e-07	E
72	15.8431142651	7.59586e+06	ENSP00000369695-uc003zoe.2-uc011lnf.1, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	1.31650616906e-07	E
31	15.4256729659	5.00362e+06	ENSP00000364037-uc004bas.2-uc011lvf.1, ENSP00000377643-uc002hun.1-uc002huk.1, ENSP00000441202-uc001zcs.2-uc001zcr.2	1.99855153375e-07	E
