#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
14	9.85062626774	18970.2	ENSP00000356210-uc003qph.2-uc003qpg.2, ENSP00000385931-uc002wbs.2-uc002wbt.2, ENSP00000402343	5.27141694919e-05	E
26	9.67506451879	15915.8	ENSP00000238699-uc001xzh.2-uc001xzg.2, ENSP00000356210-uc003qph.2-uc003qpg.2, ENSP00000385931-uc002wbs.2-uc002wbt.2	6.28308402162e-05	E
8	9.00403961612	8135.88	ENSP00000344456, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	0.00012291228143	E
10	9.00403961612	8135.88	ENSP00000379488, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	0.00012291228143	E
11	9.00403961612	8135.88	ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	0.00012291228143	E
13	9.00403961612	8135.88	ENSP00000379486, ENSP00000403783-uc002sbz.2-uc002scb.2, ENSP00000468886-uc004dlo.1-uc011mml.1	0.00012291228143	E
4	8.80731932513	6682.98	ENSP00000378818, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
3	8.80731932513	6682.98	ENSP00000378818, ENSP00000385604, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
3	8.80731932513	6682.98	ENSP00000378818, ENSP00000379486, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
5	8.80731932513	6682.98	ENSP00000344456, ENSP00000378818, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
2	8.80731932513	6682.98	ENSP00000378818, ENSP00000379488, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
7	8.80731932513	6682.98	ENSP00000322604, ENSP00000344456, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
10	8.80731932513	6682.98	ENSP00000322604, ENSP00000385604, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
11	8.80731932513	6682.98	ENSP00000322604, ENSP00000379488, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
6	8.80731932513	6682.98	ENSP00000378820, ENSP00000385604, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
7	8.80731932513	6682.98	ENSP00000322604, ENSP00000379486, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
8	8.80731932513	6682.98	ENSP00000378820, ENSP00000379486, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
5	8.80731932513	6682.98	ENSP00000378820, ENSP00000379488, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
7	8.80731932513	6682.98	ENSP00000378820, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
4	8.80731932513	6682.98	ENSP00000344456, ENSP00000378820, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
4	8.80731932513	6682.98	ENSP00000322604, ENSP00000411226, ENSP00000468886-uc004dlo.1-uc011mml.1	0.000149633838453	E
2	8.79679084143	6612.99	ENSP00000238699-uc001xzh.2-uc001xzg.2, ENSP00000385931-uc002wbs.2-uc002wbt.2, ENSP00000413851-uc002kud.2-uc002kub.2	0.000151217578443	E
1	8.7395267883	6244.94	ENSP00000301067, ENSP00000387186-uc002tpi.1-uc002tpg.1, ENSP00000392105-uc010ppm.1-uc001gvo.2	0.000160129645205	E
1	8.7395267883	6244.94	ENSP00000278100-uc001ljb.3-uc001ljd.3, ENSP00000387186-uc002tpi.1-uc002tpg.1, ENSP00000392105-uc010ppm.1-uc001gvo.2	0.000160129645205	E
5	8.55766802476	5206.53	ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371735, ENSP00000431870	0.000192066666517	E
6	8.55766802476	5206.53	ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371735, ENSP00000410626	0.000192066666517	E
7	8.55766802476	5206.53	ENSP00000264555, ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371729	0.000192066666517	E
12	8.55766802476	5206.53	ENSP00000262738, ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371729	0.000192066666517	E
14	8.55766802476	5206.53	ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371729, ENSP00000431870	0.000192066666517	E
3	8.55766802476	5206.53	ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371735, ENSP00000388589	0.000192066666517	E
7	8.55766802476	5206.53	ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371729, ENSP00000388589	0.000192066666517	E
4	8.55766802476	5206.53	ENSP00000264555, ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371735	0.000192066666517	E
5	8.55766802476	5206.53	ENSP00000262738, ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371735	0.000192066666517	E
6	8.55766802476	5206.53	ENSP00000354074-uc001jzp.2-uc001jzq.2, ENSP00000371729, ENSP00000410626	0.000192066666517	E
7	8.38803162749	4394.16	ENSP00000278100-uc001ljb.3-uc001ljd.3, ENSP00000347667, ENSP00000379486	0.000227574789739	E
6	8.38803162749	4394.16	ENSP00000278100-uc001ljb.3-uc001ljd.3, ENSP00000344456, ENSP00000352608	0.000227574789739	E
7	8.38803162749	4394.16	ENSP00000278100-uc001ljb.3-uc001ljd.3, ENSP00000352608, ENSP00000379486	0.000227574789739	E
2	8.38803162749	4394.16	ENSP00000278100-uc001ljb.3-uc001ljd.3, ENSP00000352608, ENSP00000379488	0.000227574789739	E
