#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
65	15.2024664153	4.00265e+06	ENSP00000308495, ENSP00000351015, ENSP00000415559	2.49834680625e-07	E
62	15.2024664153	4.00265e+06	ENSP00000275493, ENSP00000308495, ENSP00000351015	2.49834680625e-07	E
47	15.2024664153	4.00265e+06	ENSP00000275493, ENSP00000308495, ENSP00000348498	2.49834680625e-07	E
78	15.2024664153	4.00265e+06	ENSP00000308495, ENSP00000351015, ENSP00000395243	2.49834680625e-07	E
39	15.2024664153	4.00265e+06	ENSP00000256078, ENSP00000351015, ENSP00000415559	2.49834680625e-07	E
69	15.2024664153	4.00265e+06	ENSP00000256078, ENSP00000348498, ENSP00000415559	2.49834680625e-07	E
24	15.2024664153	4.00265e+06	ENSP00000308495, ENSP00000348498, ENSP00000395243	2.49834680625e-07	E
64	15.2024664153	4.00265e+06	ENSP00000256078, ENSP00000275493, ENSP00000348498	2.49834680625e-07	E
37	15.2024664153	4.00265e+06	ENSP00000256078, ENSP00000351015, ENSP00000395243	2.49834680625e-07	E
69	15.2024664153	4.00265e+06	ENSP00000256078, ENSP00000275493, ENSP00000351015	2.49834680625e-07	E
154	15.2024664153	4.00265e+06	ENSP00000256078, ENSP00000348498, ENSP00000395243	2.49834680625e-07	E
18	14.5935371933	2.17717e+06	ENSP00000252807-uc002niz.2-uc002niy.2, ENSP00000354505, ENSP00000387173-uc002tjb.2-uc002tja.2	4.5931150668e-07	E
60	14.5935371933	2.17717e+06	ENSP00000252807-uc002niz.2-uc002niy.2, ENSP00000387173-uc002tjb.2-uc002tja.2, ENSP00000431083	4.5931150668e-07	E
3	14.260634404	1.56068e+06	ENSP00000364526, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	6.40744917431e-07	E
3	14.260634404	1.56068e+06	ENSP00000364526, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	6.40744917431e-07	E
8	14.1148054799	1.34891e+06	ENSP00000171111, ENSP00000362444, ENSP00000444898-uc011alz.1-uc003amc.2	7.41340739557e-07	E
17	14.1148054799	1.34891e+06	ENSP00000362444, ENSP00000377245, ENSP00000444898-uc011alz.1-uc003amc.2	7.41340739557e-07	E
19	14.1148054799	1.34891e+06	ENSP00000345281, ENSP00000377245, ENSP00000444898-uc011alz.1-uc003amc.2	7.41340739557e-07	E
16	14.1148054799	1.34891e+06	ENSP00000171111, ENSP00000345281, ENSP00000444898-uc011alz.1-uc003amc.2	7.41340739557e-07	E
23	14.1148054799	1.34891e+06	ENSP00000171111, ENSP00000235180, ENSP00000444898-uc011alz.1-uc003amc.2	7.41340739557e-07	E
3	13.9465773011	1.14004e+06	ENSP00000333806-uc002jqr.2-uc010wsx.1, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	8.77159228092e-07	E
1	13.9465773011	1.14004e+06	ENSP00000333806-uc002jqr.2-uc010wsx.1, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	8.77159228092e-07	E
14	13.7591459563	945194	ENSP00000364751-uc001vsr.2-uc010tjs.1, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.05798335591e-06	E
3	13.5871717718	795855	ENSP00000352610, ENSP00000387115, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
1	13.5871717718	795855	ENSP00000312529, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
1	13.5871717718	795855	ENSP00000300527, ENSP00000352610, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
2	13.5871717718	795855	ENSP00000355045, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
2	13.5871717718	795855	ENSP00000312529, ENSP00000352610, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
3	13.5871717718	795855	ENSP00000352610, ENSP00000380870, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
5	13.5871717718	795855	ENSP00000312529, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
5	13.5871717718	795855	ENSP00000352610, ENSP00000355045, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
6	13.5871717718	795855	ENSP00000350497, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
1	13.5871717718	795855	ENSP00000350497, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
4	13.5871717718	795855	ENSP00000387115, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
1	13.5871717718	795855	ENSP00000354917, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
1	13.5871717718	795855	ENSP00000300527, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
2	13.5871717718	795855	ENSP00000380870, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
1	13.5871717718	795855	ENSP00000317272, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
4	13.5871717718	795855	ENSP00000387115, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.2565109418e-06	E
18	13.4665306022	705407	ENSP00000171111, ENSP00000323194, ENSP00000444898-uc011alz.1-uc003amc.2	1.41762077489e-06	E
1	13.4665306022	705407	ENSP00000171111, ENSP00000352882, ENSP00000444898-uc011alz.1-uc003amc.2	1.41762077489e-06	E
4	13.4665306022	705407	ENSP00000323194, ENSP00000377245, ENSP00000444898-uc011alz.1-uc003amc.2	1.41762077489e-06	E
14	13.4665306022	705407	ENSP00000352882, ENSP00000377245, ENSP00000444898-uc011alz.1-uc003amc.2	1.41762077489e-06	E
1	13.3965851252	657753	ENSP00000364751-uc001vsr.2-uc010tjs.1, ENSP00000391478, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.52032698396e-06	E
2	13.3372746811	619876	ENSP00000352610, ENSP00000405480-uc003cgs.3-uc003cgt.3, ENSP00000445205-uc010ufz.1-uc002abh.2	1.61322596122e-06	E
1	13.3372746811	619876	ENSP00000352610, ENSP00000374069, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.61322596122e-06	E
6	13.3372746811	619876	ENSP00000352610, ENSP00000374064, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.61322596122e-06	E
2	13.3372746811	619876	ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3, ENSP00000445205-uc010ufz.1-uc002abh.2	1.61322596122e-06	E
1	13.3372746811	619876	ENSP00000374067, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.61322596122e-06	E
3	13.3372746811	619876	ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3, ENSP00000445205-uc010ufz.1-uc002abh.2	1.61322596122e-06	E
4	13.3372746811	619876	ENSP00000385464, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.61322596122e-06	E
2	13.3372746811	619876	ENSP00000374069, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.61322596122e-06	E
1	13.3372746811	619876	ENSP00000374064, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	1.61322596122e-06	E
3	12.9959394173	440621	ENSP00000171111, ENSP00000410000, ENSP00000444898-uc011alz.1-uc003amc.2	2.26952632119e-06	E
6	12.9959394173	440621	ENSP00000377245, ENSP00000410000, ENSP00000444898-uc011alz.1-uc003amc.2	2.26952632119e-06	E
1	12.9003461716	400451	ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3, ENSP00000439902	2.49718572136e-06	E
1	12.9003461716	400451	ENSP00000352610, ENSP00000405480-uc003cgs.3-uc003cgt.3, ENSP00000439902	2.49718572136e-06	E
7	12.9003461716	400451	ENSP00000262726, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	2.49718572136e-06	E
2	12.9003461716	400451	ENSP00000350681-uc001hcy.1-uc001hcz.2, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	2.49718572136e-06	E
5	12.9003461716	400451	ENSP00000350681-uc001hcy.1-uc001hcz.2, ENSP00000398846, ENSP00000405480-uc003cgs.3-uc003cgt.3	2.49718572136e-06	E
2	12.6878403066	323787	ENSP00000344801, ENSP00000391127, ENSP00000405480-uc003cgs.3-uc003cgt.3	3.08845279319e-06	E
