#Freq	Total Weight	Target Weight	Gene set 1 (k=3)	Phi 1	Weight function 1
9	13.6866842426	879127	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000380897, ENSP00000421631	1.13749254199e-06	E
7	11.5954925565	108607	ENSP00000263923, ENSP00000354718, ENSP00000366071-uc004djk.3-uc010nid.2	9.20749661248e-06	E
1	11.4814683769	96903.3	ENSP00000338218, ENSP00000366071-uc004djk.3-uc010nid.2, ENSP00000378026	1.03195709133e-05	E
1	11.4814683769	96903.3	ENSP00000354718, ENSP00000358232, ENSP00000366071-uc004djk.3-uc010nid.2	1.03195709133e-05	E
1	10.8339636691	50714.3	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000366903, ENSP00000380897	1.97182950759e-05	E
9	10.8299647982	50511.9	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000316532, ENSP00000380897	1.97973038602e-05	E
8	10.6234427345	41086.8	ENSP00000278655, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2	2.43387035853e-05	E
1	10.6234427345	41086.8	ENSP00000222345, ENSP00000339314-uc002zxs.2-uc002zxr.1, ENSP00000413496-uc003fsx.2-uc003fsy.2	2.43387035853e-05	E
2	10.4477673139	34467.3	ENSP00000366071-uc004djk.3-uc010nid.2, ENSP00000378026, ENSP00000392161	2.90129779106e-05	E
6	10.4477673139	34467.3	ENSP00000360666, ENSP00000366071-uc004djk.3-uc010nid.2, ENSP00000378026	2.90129779106e-05	E
3	10.4281514877	33797.8	ENSP00000366071-uc004djk.3-uc010nid.2, ENSP00000377697, ENSP00000378026	2.95877099374e-05	E
1	10.3893839321	32512.6	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000356576, ENSP00000421631	3.07572772816e-05	E
2	10.1895849954	26624.4	ENSP00000315602-uc002bec.2-uc002beb.2, ENSP00000383303, ENSP00000413496-uc003fsx.2-uc003fsy.2	3.75594707167e-05	E
2	10.1534391053	25679.3	ENSP00000261200, ENSP00000340184-uc001rwj.3-uc001rwh.3, ENSP00000413496-uc003fsx.2-uc003fsy.2	3.89419257364e-05	E
3	10.1483433132	25548.7	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000316532, ENSP00000367032	3.91408721597e-05	E
1	10.0695347452	23612.6	ENSP00000339314-uc002zxs.2-uc002zxr.1, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000455426	4.23503130388e-05	E
2	9.93931745514	20729.6	ENSP00000311343, ENSP00000354718, ENSP00000366071-uc004djk.3-uc010nid.2	4.82402195121e-05	E
1	9.93931745514	20729.6	ENSP00000321406, ENSP00000366071-uc004djk.3-uc010nid.2, ENSP00000378026	4.82402195121e-05	E
1	9.93931745514	20729.6	ENSP00000357177, ENSP00000366071-uc004djk.3-uc010nid.2, ENSP00000378026	4.82402195121e-05	E
3	9.84598139145	18882.3	ENSP00000379207-uc011ltb.1-uc004aob.1, ENSP00000384892, ENSP00000421848-uc003ksi.2-uc011cwf.1	5.29595898201e-05	E
1	9.71783415408	16611.2	ENSP00000272134-uc001hpo.2-uc010pvj.1, ENSP00000300231, ENSP00000421631	6.02002439049e-05	E
1	9.68697948449	16106.5	ENSP00000339314-uc002zxs.2-uc002zxr.1, ENSP00000413133, ENSP00000413496-uc003fsx.2-uc003fsy.2	6.20866551836e-05	E
2	9.68697948449	16106.5	ENSP00000301030, ENSP00000339314-uc002zxs.2-uc002zxr.1, ENSP00000413496-uc003fsx.2-uc003fsy.2	6.20866551836e-05	E
1	9.62305539285	15109.1	ENSP00000339314-uc002zxs.2-uc002zxr.1, ENSP00000413496-uc003fsx.2-uc003fsy.2, ENSP00000455061	6.61850869638e-05	E
3	9.58520095916	14547.9	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000341184, ENSP00000346667	6.87385102408e-05	E
1	9.58520095916	14547.9	ENSP00000263398-uc001mvx.2-uc001mvv.2, ENSP00000364312, ENSP00000444244	6.87385102408e-05	E
