p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002vny.2-uc010fwy.1	0.000260734014296364	0.00258911261671172	1008.06234571429	187.848667647638	0.0191278890470003	0.119277739859547
uc003hbg.1-uc003hbe.1	4.29731865350866e-21	3.21073851994119e-23	-497.152437727273	282.232486217391	2.87060886054378e-18	2.14477333132071e-20
uc001dib.3-uc001dif.1	0.000218882937738903	0.000333297737328521	1222.85548666667	189.972007629775	0.0172016238128926	0.0278303610669315
uc003uyo.1-uc010lhy.1	0.00157057937029942	0.00549102001370878	1193.80859571429	192.190086999022	0.0777145940266678	0.209600078237569
uc002rao.1-uc002ran.1	0.00802589154201153	0.00857404100542979	655.931860434783	188.560761052632	0.205435001403955	0.233972023556104
uc001zxi.1-uc001zxj.1	0.00563834533248303	0.00366560804504017	656.1122256	187.626182616915	0.155873567951858	0.148401586308293
uc004fmp.1-uc011mzw.1	1.7154231857254e-05	0.000365858760437334	1186.75179846154	186.371038141593	0.00327400768018448	0.0282382064688442
uc010vyb.1-uc002gtw.2	0.00212154006935218	0.00217910439921817	-215.414303783784	214.438518036254	0.0977371562984316	0.107825313976129
uc010tyn.1-uc001yqi.2	0.000666807960418074	0.000211974346598148	-584.16468	209.00812193707	0.0404934288690249	0.0188798484703417
uc001hef.2-uc001hed.2	0.00327087967245576	0.000859508604807321	-801.47386	204.859338212891	0.125028024619135	0.057415174801129
uc002hdt.1-uc002hdu.1	2.82763874246487e-05	2.35861484644811e-06	-364.58587	219.996773776435	0.00419747262214786	0.000525184905809113
uc001hmy.1-uc001hmz.1	0.00571691978266545	0.00741009058149173	621.884324137931	186.745728041958	0.155873567951858	0.233972023556104
uc003atc.2-uc003atf.2	0.00385188024303437	0.00193998138654218	-710.812321428571	205.222683695015	0.135424000123524	0.0996851974007826
uc004dah.2-uc011mjs.1	6.21548391983569e-06	1.7170129600309e-05	942.9286232	180.491446358209	0.00138398108615008	0.00327704187800182
uc003yhz.2-uc010mbf.2	0.000142398669102497	0.00288478815670945	901.898044	185.078374544554	0.0135889015657811	0.128469232578794
uc001xzg.2-uc001xzh.2	3.43674212886444e-05	2.54058544687233e-05	-277.5540808	223.311044091837	0.00459148748416289	0.00377135795224604
uc003oxa.1-uc003oxc.1	0.000850439916147609	0.00131821360788888	683.793275625	183.452639629259	0.0493994664336176	0.0765710165278065
uc001etp.2-uc001etq.2	0.000291662462647949	0.0017253034485965	868.6033155	185.73767609901	0.019483052504883	0.0922002162929969
uc011leg.1-uc003xul.2	0.000272028362195364	0.000380454877574248	-712.386131818182	208.835492266928	0.0191278890470003	0.0282382064688442
uc001jvk.2-uc010qks.1	0.00154427789039438	0.0069582653475718	1076.83654	191.259148197845	0.0777145940266678	0.227746997115402
uc002suq.2-uc002sun.1	7.24958712379585e-05	2.2076182964945e-05	-327.998381052632	219.184533921371	0.0074503449210702	0.00368672255514582
uc002jym.1-uc002jyk.2	0.00163581116820474	0.00154293833874941	565.825109591837	180.674504383282	0.0780515614543404	0.0858902341903837
uc003qig.3-uc003qii.2	0.000188293394005975	0.000117495116899724	-155.232078472222	225.619863068894	0.0167271970210948	0.0120748827829255
uc002ozu.2-uc002ozt.1	0.00508902935333808	0.00244841814106302	-273.359712916667	210.266155347913	0.152835247229963	0.116824522730721
uc001ynf.1-uc010awr.1	0.00415595890602968	0.0062763932583147	-519.375941818182	206.751967154073	0.142368233293735	0.220664773502854
uc002jqr.2-uc010wsx.1	6.2002134906223e-08	2.53358208028114e-09	-297.881135657895	238.580802389937	1.65669704469428e-05	6.7697313185112e-07
uc003dwv.1-uc003dwt.1	1.50324323028639e-10	9.79831093163345e-11	-311.314516938776	252.656589946352	5.02083238915655e-08	3.27263585116557e-08
uc002uhf.1-uc002uhd.1	0.00473534134906058	0.00399347420902832	-298.921394545455	209.86447405754	0.150628953389165	0.156920045390054
uc001uip.2-uc001uio.2	4.84126121578839e-13	8.47019490872456e-16	-326.439028782609	265.035636590164	2.15597499476443e-10	3.77206013268534e-13
uc010ytn.1-uc002srv.2	4.65461564754611e-05	2.85651912913845e-05	-671.603389333333	211.863221684729	0.005182138754268	0.00381630955652897
