p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002rov.2-uc010ynb.1	0.000401868655332515	0.000355383221819118	-561.316174210526	-5.4484290946502	0.00549069983016111	0.0046200828105979
uc001mjs.2-uc001mjr.2	0.00287329285588486	0.00145823857953108	-494.41887	-12.6616226229508	0.0211752976530666	0.0124874514979563
uc001opo.2-uc001opr.2	0.00277600519624637	0.00155234953831098	-525.2403675	-14.5736979674797	0.0205830629185097	0.012668839185142
uc002nkf.2-uc002nkh.2	0.000985118909406749	0.00096741563178548	-501.167603333333	-6.07658053941909	0.010507935033672	0.00919044850196206
uc003wit.3-uc003wiv.3	0.00149522920054772	0.000853139906151917	-554.194314375	-12.6905144308943	0.0134576054004725	0.00868692902724787
uc003lgx.2-uc011czu.1	0.000237763083641806	0.000204818716900559	-506.2832628	2.81901261603376	0.00352585255741995	0.0030007175873624
uc003ciw.1-uc003ciz.1	0.00498491356794735	0.00480227265698599	-1113.34726666667	-33.3935667181467	0.0313234335625169	0.0289087304499751
uc001wao.2-uc001wan.2	0.00853083764770022	0.00406708765695683	-499.164737142857	-20.1639889516129	0.0445214531313454	0.0261199945350035
uc011dax.1-uc003lkh.1	0.000254433983484012	0.000433072642243757	285.637808181818	-112.64696853211	0.0037276111315248	0.00537363605069805
uc003ulw.2-uc010lew.1	0.000904969822930969	0.000635992461784626	-516.684474	-6.84002520661157	0.0100958101347161	0.00730745469325122
uc003frd.2-uc003frc.2	0.00413289381848009	0.00308198211475957	-634.642958	-22.3910555555556	0.0279199937959544	0.0215384497215382
uc003wss.2-uc011kww.1	0.000759969800760246	0.000637970453307659	-551.327144444444	-8.4634712295082	0.00888580074735057	0.00730745469325122
uc002kat.3-uc010dic.2	0.00598266879002333	0.00501654669680437	-559.2881975	-21.11006884	0.0351805710203635	0.0294691825280875
uc003fhc.3-uc003fhb.3	0.0090710059988943	0.00436423034339262	-361.079457777778	-9.53119242553191	0.0461520639943743	0.0272148928080278
uc003yma.2-uc003ylz.2	0.00105914935909703	0.000833041610428762	-684.02061	-17.7878441035857	0.0109146239039152	0.00858456439221504
uc002moc.3-uc010dxe.2	1.8724077207106e-07	2.30174809851483e-08	-597.290170909091	33.7187775545852	1.96389744680221e-05	3.99846526827719e-06
uc001oap.2-uc001oaq.2	3.37671876277083e-06	0.00573140344410537	1461.3236725	-69.1250785658915	0.000152077407982568	0.0324157515722425
uc003ziq.1-uc003zir.1	7.94035202158301e-05	4.76837647907268e-05	-603.3225395	0.32014549586777	0.00146294970579469	0.000966390966425397
uc002hjr.2-uc010wcj.1	0.00454186573465304	0.00286873506892696	-575.684778333333	-20.32303296	0.0292217393298312	0.0208885140348214
uc003gro.2-uc003grp.2	0.00718751015014451	0.00528326421532204	-598.250259	-23.8352102777778	0.0395475671609761	0.0304476269470692
uc003ulm.3-uc011khn.1	0.00248707221928352	0.00211114812423436	-547.414092666667	-15.2945918623482	0.0187843466996817	0.0162478235384113
uc003gru.3-uc003grt.2	4.55346476496202e-07	9.59486272159567e-08	-554.321386111111	35.2504173451327	3.42992652523405e-05	9.72279422455027e-06
uc001vna.2-uc010tij.1	0.00364106106383278	0.00375958455111476	-715.79723875	-24.6558963385827	0.0255926604255529	0.0251189824953602
uc003qch.2-uc003qcd.1	7.84530521142248e-05	5.34057562626847e-05	-550.87649375	5.17672382352941	0.00146294970579469	0.00106461310844958
uc001hks.2-uc009xdn.2	0.00157445360256209	0.00134470587992932	-610.615474615385	-16.2689735341365	0.0137526798323927	0.0116797310713861
uc003qdo.2-uc003qdn.2	1.11767432852657e-05	1.24498528252024e-06	-275.774688367347	91.688682195122	0.000336494303891581	5.607044827943e-05
uc003eqx.1-uc011bmb.1	0.00868231784375328	0.00775184560487613	-559.197992727273	-23.2581580079681	0.0450214786682347	0.0408353554139526
uc003bfr.2-uc003bft.2	1.64348549248939e-05	4.74104892372945e-06	-636.929191904762	5.75326742738589	0.000454199627015249	0.000147823474134744
uc010bhq.2-uc010ujp.1	0.00551363855010745	0.00312481235355178	-615.944105	-23.133073531746	0.033191012262033	0.0215896126245395
uc003emx.2-uc003emw.2	0.00150512691978969	0.0012146717983425	-463.499313913043	-5.55854125523012	0.0134576054004725	0.0109410437539591
