p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002rov.2-uc010ynb.1	0.00278646290130915	0.0020215051800063	-1182.79201315789	-599.612324444444	0.0175561600414089	0.0127365300460501
uc001jje.2-uc010qhk.1	0.00166248436252046	0.00112527394292999	-1310.71959571429	-604.14826108871	0.0132129476132345	0.00882795557808301
uc001mjs.2-uc001mjr.2	0.00184920876758882	0.00106368491432935	-1221.25745944444	-599.164790245902	0.0141236646302168	0.00852903128155925
uc001opo.2-uc001opr.2	0.00227802042963491	0.00138018846213556	-1246.83491625	-602.558879796748	0.0157766837001298	0.0101735923394912
uc002nkf.2-uc002nkh.2	3.64905484734445e-05	2.6619756078735e-05	-1343.84482095238	-580.739011825726	0.000672310711268311	0.000476023873407967
uc003wit.3-uc003wiv.3	0.0098615767907887	0.00603395043006448	-1154.81685125	-608.543794593496	0.0447450648417875	0.0297056021172405
uc003lgx.2-uc011czu.1	0.000244696782180205	0.000138897114914403	-1210.608562	-581.914046582279	0.00305198834383287	0.00182595403013411
uc001wao.2-uc001wan.2	0.000122575390073003	6.22936206116928e-05	-1454.99780285714	-596.00352358871	0.00181770334547283	0.000935173366219981
uc011dax.1-uc003lkh.1	1.46278220763554e-05	6.19048851380511e-05	-158.525806818182	-739.466548577982	0.000306679855945658	0.000935173366219981
uc003ulw.2-uc010lew.1	0.00600528044229055	0.00436046857874666	-1125.927621	-601.902027561983	0.0306824412513668	0.0230536077902432
uc003jhr.1-uc010ium.1	0.00370921288860239	0.001775692054666	-1379.05254	-612.652054325397	0.0218673817629797	0.0116088254756659
uc003wss.2-uc011kww.1	0.00029281271882781	0.000176732889799308	-1313.60989388889	-592.351905737705	0.00345689578732638	0.00219293055097916
uc002kat.3-uc010dic.2	0.00780184138006505	0.00422883173190744	-1257.194625	-612.37003036	0.037385047301153	0.0226531250484557
uc003pig.1-uc003pij.1	0.000122271691400341	6.8280589793788e-05	-1455.12306	-595.996452620968	0.00181770334547283	0.000988442823681502
uc002moc.3-uc010dxe.2	1.07780662354133e-07	5.86038537314793e-08	-1336.91183969697	-541.750010393013	5.69831675750548e-06	3.3934421970228e-06
uc003jvh.2-uc003jvj.2	0.00780904770928689	0.00478393834604318	-1285.76388545455	-613.687013346614	0.037385047301153	0.0246550256659054
uc003ziq.1-uc003zir.1	0.000635582510108584	0.000379494257084302	-1241.320493	-592.365426570248	0.00627562192211027	0.00391072047978399
uc002hjr.2-uc010wcj.1	0.000621273503150252	0.000367273318679241	-1429.828845	-604.0835878	0.00619236540844842	0.00381713124370904
uc003gru.3-uc003grt.2	9.76217204005226e-09	6.41765243005362e-09	-1352.2860225	-528.74578	7.41925075043972e-07	4.87741584684075e-07
uc001vna.2-uc010tij.1	0.00756154472837636	0.00477487247382892	-1404.4445775	-617.886954606299	0.0364874539274034	0.0246550256659054
uc003qch.2-uc003qcd.1	5.29394300676485e-05	1.9132389187454e-05	-1281.18659	-577.438508109244	0.000881840369346034	0.000347238585849911
uc001hks.2-uc009xdn.2	0.00368007432801967	0.00213267947898783	-1285.10430923077	-608.32324124498	0.0218291238188874	0.0131641535352751
uc001jnh.3-uc009xpq.2	0.00562613737151342	0.00324570570717425	-1255.53815384615	-609.866855783133	0.0291122682713205	0.0183571076275529
uc003ylj.2-uc011lho.1	0.00455755615955616	0.00223267822359649	-1403.26303666667	-614.82006229249	0.0251908558637286	0.0135071478601658
uc003eqx.1-uc011bmb.1	0.00189989919920199	0.000922614156050211	-1391.67787272727	-609.045364501992	0.0141259624123115	0.00783936720944367
uc003bfr.2-uc003bft.2	0.000162838853577966	0.00010218742525074	-1284.70713190476	-585.89208846473	0.00217595654890996	0.0014282748172977
uc001leu.1-uc009xzk.1	0.00919981654548052	0.00577146091579272	-1438.62788285714	-620.033129058824	0.0420563042079109	0.0286452917289957
uc003emx.2-uc003emw.2	0.00197977490826626	0.000981019521064222	-1145.9228073913	-593.40007748954	0.0143842231656569	0.00813710240510947
uc002hqs.2-uc010cvp.2	1.06921412419493e-06	1.01818855061713e-06	-1407.97577583333	-564.653043991597	4.03740025185449e-05	3.7518705380316e-05
uc003pjl.1-uc011dyu.1	0.000291114802857785	0.000141839764906196	-1313.88183333333	-592.331844631148	0.00345689578732638	0.00183486334176526
uc004dfe.2-uc011mks.1	1.1841347539084e-06	8.46604120328868e-07	-1328.72958482759	-556.419249484979	4.23502311986063e-05	3.44334177925898e-05
uc002ija.2-uc002ijb.2	0.000773414674734011	0.000343568855618705	-1597.9142325	-611.793422165354	0.00701844958564595	0.00360154938303746
uc002mpf.2-uc002mpe.3	6.32842233549632e-05	0.00268090595001968	972.0448325	-666.926443488372	0.00102604820799514	0.0158251535690482
uc001oew.2-uc001oev.2	1.80788050642553e-05	9.61546649959554e-06	-1351.69102272727	-576.840169125	0.000360390605871056	0.000215108163323468
uc002czl.2-uc002czj.2	0.00372249015208619	0.00139719565846631	-1343.08538090909	-611.174915936255	0.0218673817629797	0.0101735923394912
uc003imz.2-uc011cij.1	0.00252426531607775	0.00170369122373173	-1284.75565214286	-605.613967580645	0.0165341182600507	0.0112591767829227
uc001uhc.2-uc009zyh.2	0.00285965582985873	0.00170059880158075	-1140.14800136364	-596.23161275	0.0177647975305255	0.0112591767829227
uc003mli.2-uc003mlg.2	0.00264469172175652	0.001926770440174	-1281.79802142857	-605.780930604839	0.0169260270192418	0.0123313308171136
uc003xfp.1-uc003xfq.1	0.000433805270814613	0.00370316293361676	782.65228	-663.990124844961	0.00466820539212894	0.0202839915643152
uc003auf.2-uc003auh.2	0.000580419600751027	0.000241875632256963	-1346.095544	-599.13931145749	0.00595473255974643	0.00285554144489773
uc010zdi.1-uc010zdj.1	0.00187349756141009	0.00207690541677245	-1590.49332	-615.864273921569	0.0141259624123115	0.0129513691630528
uc001zlh.3-uc010ucn.1	0.0028634048651176	0.00106612891019491	-1362.39889727273	-610.32850685259	0.0177647975305255	0.00852903128155925
uc002mtv.3-uc002mtw.3	0.00421225965247236	0.00360873749682173	-978.195311707317	-579.515091900452	0.0237134617472518	0.0199464763460692
uc002env.2-uc002ent.2	3.79507523802403e-05	1.66458784843253e-05	-1342.35894952381	-580.868486099585	0.000688777834244362	0.000317153767721355
uc002wfw.3-uc010zpu.1	0.000146801998050114	9.18364819336857e-05	-1272.79314454545	-584.072474625	0.00205185321412574	0.00129852513989956
uc003iyw.3-uc010ism.2	0.00233309670608062	0.00149370916880997	-1266.49575266667	-603.973306882591	0.0159269718432037	0.0104748022586095
uc001tsd.3-uc001tsc.2	0.00532167506296567	0.00276917849443716	-1259.48526615385	-609.660781646586	0.0281354646807228	0.0162672514455825
uc001fvx.2-uc010pjg.1	4.27043752987068e-07	4.05947815811837e-07	-1434.602395	-561.968006764706	1.92327853197139e-05	1.76297337152569e-05
uc002plp.2-uc010xzy.1	7.91106639479030e-11	1.3899623217094e-10	-1332.37912891304	-494.858347962963	1.32658662765529e-08	2.11274272899829e-08
uc001btk.1-uc001bti.1	5.52704818327824e-07	9.80797293106836e-07	-1653.86933333333	-580.448595506073	2.40031806816655e-05	3.72702971380598e-05
uc002gjq.2-uc002gjr.2	0.00588682626867548	0.00747415294423225	-1427.7930075	-617.151570984252	0.0302876050536881	0.0344264014401001
uc001lmg.1-uc010qvd.1	0.00897330203198074	0.00716722818883178	-1246.3643875	-612.88988176	0.0413794334865844	0.0333805119695431
uc004atw.2-uc010mrg.2	0.00299250432452586	0.00149886150739972	-1359.18597181818	-610.469312350598	0.0182858555709721	0.0104748022586095
uc003xeo.2-uc011lad.1	0.00162194723338715	0.000583787022611691	-1338.93001384615	-605.513063895582	0.0129755778670972	0.00554597671481107
uc001cyc.1-uc010ooi.1	0.000154178639200395	8.8047160031854e-05	-1286.96481428571	-585.695360954357	0.00208312472519645	0.00125959231292629
uc010rwy.1-uc001pog.2	0.00238440111990608	0.00128840960128256	-1456.25870888889	-612.934840750988	0.0161079542322544	0.00979191296974742
uc004bed.2-uc011lwd.1	5.94411709943306e-06	3.57426774825285e-06	-1429.8519305	-576.784316033058	0.000164273781657059	9.87797632244425e-05
