p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc001kga.3-uc010qnf.1	0.00789379255691103	0.00622897100771806	814.244866857143	445.179272772021	0.4275000558596	0.413289960595023
uc001ozx.3-uc001ozy.2	0.0013688389441717	0.00156884811351278	-11.8734888	506.65304760101	0.176334029362789	0.205671096449421
uc010zqf.1-uc002wig.2	0.00978749449290335	0.00535170988231132	-22.746536875	495.559788197531	0.459259356974695	0.409414958015151
uc004dah.2-uc011mjs.1	5.10257939134155e-05	0.000195562996003969	1229.08951352941	444.16645519802	0.0311257342871835	0.0954347420499371
uc001bau.1-uc001bav.1	0.00632835989215572	0.00669688107258023	122.642428529412	506.893868372093	0.395928157355384	0.413289960595023
uc004cji.1-uc004cjn.1	0.000650602161111964	0.00103960611086832	1237.27223	453.52201190709	0.122113021008707	0.181188493608479
uc002mfu.1-uc002mfv.1	0.00132632399009482	0.00160153722645041	165.309337368421	524.492135714286	0.176334029362789	0.205671096449421
uc003etr.2-uc011bmz.1	0.0083935751510334	0.00513240545909524	954.255808888889	454.494206129032	0.4275000558596	0.409414958015151
uc011bme.1-uc003erh.2	1.11852187337341e-11	1.43096231527032e-10	25.7828445098039	619.774042288401	2.72919337103113e-08	3.49154804925958e-07
uc001fxq.2-uc001fxr.2	0.0014453608964163	0.0046404972920349	-963.678583333333	486.19331430622	0.176334029362789	0.405410184924729
uc002sze.2-uc010yvm.1	0.00203043323867061	0.0046522480237264	1384.72821142857	460.494377173913	0.215799811379823	0.405410184924729
uc003eet.2-uc011bjo.1	0.00897805027480577	0.00536937649855936	27.05008	498.246304314214	0.429538091578943	0.409414958015151
uc001jap.1-uc001jao.1	0.000503720875235656	0.000508994776094602	947.706931290323	438.356037846154	0.10242324463125	0.126390901647209
uc010vaz.1-uc002dho.2	0.000403453136690921	0.000752279451127507	1066.15908761905	444.871071975	0.0894932412296224	0.166869260068283
uc002wze.1-uc010zug.1	0.0036607402282858	0.00402853913553318	-36.4098842105263	500.073525945274	0.343546390654513	0.389779422800443
uc003bmj.3-uc010hbe.2	0.000952609387604525	0.000517995498554134	-379.63229	494.549660776699	0.14527293160969	0.126390901647209
uc001lww.3-uc001lwv.3	0.000370696341704737	0.000447718459613485	967.183473	438.16436173913	0.0894932412296224	0.126390901647209
uc011dap.1-uc010jfx.1	0.00313753111132043	0.00661679883847034	840.498144864865	440.727443411458	0.31898232965091	0.413289960595023
uc009wlr.2-uc001eup.3	0.00038203960550553	0.00051103041584562	-256.319298571429	501.047272260442	0.0894932412296224	0.126390901647209
uc003koz.2-uc011cvi.1	0.000310547024419128	0.0017268083103025	1733.099132	460.750658581731	0.0894932412296224	0.210670613856905
uc002umq.2-uc010zfj.1	7.40414524709439e-05	3.18067066010175e-05	-101.799575555556	515.447609568528	0.0361322288058206	0.0278852445903941
uc011crs.1-uc003kat.1	0.00203417854989178	0.00144575906979756	-601.928824	488.8158984375	0.215799811379823	0.205671096449421
uc001dgj.2-uc001dgl.2	0.000108922163059699	6.13607669894851e-05	-244.310209411765	506.165948490099	0.0442950129776107	0.0374300678635859
uc010vtm.1-uc010vtn.1	0.00199564257975357	0.000966926429551955	-603.89183	488.839492259615	0.215799811379823	0.181188493608479
uc003xfp.1-uc003xfq.1	2.56191352931102e-05	0.000507133890385502	1412.4572625	448.382108753056	0.020836896705063	0.126390901647209
uc002abb.2-uc010bez.1	0.00579706147369785	0.00198617152244834	-169.996437272727	493.189586439024	0.395928157355384	0.230774214989236
uc001gxm.1-uc010ppv.1	0.00876024704630329	0.006274621538348	47.6468445454545	499.472528947368	0.4275000558596	0.413289960595023
uc001lxs.2-uc001lxv.2	0.00722837817329227	0.00554048940140749	-264.32874125	490.199514673123	0.4275000558596	0.409660428467705
uc011bnl.1-uc003evo.2	0.00782938318618961	0.00687596321435556	900.162752173913	451.341774698492	0.4275000558596	0.413289960595023
uc002xvp.1-uc002xvr.2	0.00790141507990138	0.00355971478498906	-307.653704285714	489.109530338164	0.4275000558596	0.377639307624927
uc011ave.1-uc011avf.1	0.000736576676697722	0.000921018285916738	1403.726635	457.88851464891	0.12837479222446	0.181188493608479
uc003snj.1-uc003sng.1	0.00589440944778246	0.00297350450377538	-9.79275684210526	498.815502512438	0.395928157355384	0.329788681327815
uc010zgj.1-uc002usf.2	0.000199431468171009	0.00133454631614568	1148.22341	445.830640818859	0.0695161117624661	0.205671096449421
uc009wht.1-uc001eiu.1	0.00425446907816263	0.00399787952676745	57.2942862962963	504.545238324873	0.370746591097029	0.389779422800443
uc001eal.1-uc001eak.1	0.000885289073985433	0.00592571174013071	1454.20348857143	459.31967442029	0.14400702270163	0.413289960595023
uc001rap.1-uc009zhv.1	0.00143921315051839	0.00134927787961053	1220.69304636364	455.878405170732	0.176334029362789	0.205671096449421
uc002aqf.2-uc002aqg.2	0.00802379385731399	0.00885102550904092	-19.8405405882353	496.720442623762	0.4275000558596	0.469489179175214
uc004bgs.2-uc004bgr.2	0.00496540143445961	0.00818410931449987	971.243595789474	452.448112711443	0.375430659371643	0.453846061985902
uc003evx.3-uc003evy.3	7.1070990133759e-06	3.42851367914681e-05	-152.454495172414	522.344260178571	0.0086706607963186	0.0278852445903941
uc001vrn.2-uc001vrp.1	0.00343790375921901	0.00533396340325969	-178.660245	495.065263007335	0.335539406899776	0.409414958015151
uc003ehv.3-uc003ehu.3	0.00614708607864711	0.00415338729213587	959.109703684211	453.021605124378	0.395928157355384	0.389779422800443
uc011lyh.1-uc004ble.1	0.00387926167058865	0.00639215877567628	926.008254166667	448.648794785894	0.350570313934678	0.413289960595023
