p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc001gvk.2-uc001gvm.2	0.00248094715003265	0.00194532946541107	-797.1212475	-282.474540997506	0.0286355717673269	0.0277103616906817
uc002tas.1-uc002taq.3	0.000574056060214457	0.000134679532439133	-645.7744354	-261.25604884097	0.0173045325747287	0.0136924191313118
uc002mgv.3-uc002mgw.2	0.00414460423909369	0.00302284684239033	-738.673957826087	-281.972901658291	0.0336510443888396	0.0314896517575178
uc004cvb.2-uc010nec.2	0.00392401557475628	0.00293736785918804	-741.248386521739	-281.824128140704	0.0330470963921492	0.0314896517575178
uc002plp.2-uc010xzy.1	0.00128919283649502	0.00110976073990437	-727.018897	-274.690918107417	0.0222316681309715	0.0225401356502436
uc001osf.2-uc001osg.2	0.00035636911928548	0.000370778406214983	-772.313312666667	-271.215643248082	0.014652348426773	0.0174573224363097
uc001ugy.2-uc001ugz.1	0.00178582698324263	0.0014885583015487	-776.912733043478	-279.763123190955	0.0250426312592645	0.0242131370643126
uc003bia.2-uc010hae.2	0.00517818714716508	0.00978988078952473	-800.441462352941	-286.156462945545	0.0370521309064011	0.0499564803490686
uc001llp.2-uc001llq.2	0.00227257245231669	0.00357232161245577	-720.605903214286	-277.449747073791	0.0275082367220229	0.0322832027199706
uc004bxa.2-uc004bxb.2	0.000159945582004487	0.000145913389900707	-773.867960909091	-267.208951494845	0.0142956515221682	0.0137160982768166
uc001zkm.1-uc001zko.1	0.00207753421403399	0.00352964453567856	-833.941034444444	-283.384062704715	0.0266799130644364	0.0320161065689803
uc002xqw.2-uc002xqv.2	0.00414752729460339	0.00705516777371365	-688.486036551724	-278.69546130102	0.0336510443888396	0.0427161522775715
uc001dqn.3-uc009wdr.2	0.000307461102309704	0.00337888430294697	-1844.72804666667	-295.886439593301	0.0142956515221682	0.0317490355695604
uc003jcm.2-uc003jcl.2	0.00168996706579091	0.00349482023353766	-1122.867865	-291.118094358354	0.0242559978854695	0.0319704324545497
uc001jrr.3-uc001jru.3	0.000488765930467043	0.000202655826679854	-856.553990476191	-278.067705225	0.0162313786756369	0.0146662778138722
uc002vhp.1-uc010zjz.1	0.00253269673658493	0.00223892552734972	-741.7376652	-279.47291479798	0.02879982004447	0.0291672316258554
uc002kod.1-uc002kof.2	0.000439324372146669	0.0012966387753543	-742.21829	-269.900804948454	0.0159992756423563	0.0236602353660441
uc002svm.3-uc002svl.2	0.00298043457962547	0.00377754505916769	-725.825892692308	-279.349981468354	0.0304278676748374	0.0326851416466992
uc001kyp.1-uc001kyq.1	0.00571245216136963	0.00325128564543464	-743.761865714286	-283.989291775	0.0392630514753293	0.0317237881015461
uc003ihz.1-uc011chd.1	0.00340418572522253	0.00649943629420687	-1558.16634333333	-297.943102535885	0.0324461451935273	0.0415523723718574
uc011cwd.1-uc003krf.2	0.0050690360716627	0.00722529530438795	125.261299090909	-330.753043784461	0.0366770436869862	0.0434229570017404
uc001uhc.2-uc009zyh.2	0.000668007690692272	0.000429278420564993	-758.879507586207	-273.487781045918	0.017642334339157	0.0174573224363097
uc001zlh.3-uc010ucn.1	0.0094584867589747	0.00756219534548137	-727.959199	-285.924019725686	0.0516306344529567	0.0442488168896272
uc003psd.2-uc003pse.1	0.000533038271000011	0.000625187686049323	-867.123044	-278.98317957606	0.0168999138108456	0.0188886775541788
uc002yfm.2-uc002yfl.1	0.00248800869453824	0.00296825746168909	-709.303203448276	-277.155415790816	0.0286355717673269	0.0314896517575178
uc001tsd.3-uc001tsc.2	0.00198095871676729	0.000812141599320893	-783.412812727273	-280.650711804511	0.0265579080709461	0.0201314317783908
uc003zsz.2-uc003zsy.2	0.000920355653323456	0.000816808092647823	-724.51273875	-272.571486503856	0.0191646641366034	0.0201314317783908
uc001hks.2-uc009xdn.2	0.00243073151131379	0.00573379895534787	-1219.2259	-293.733398771084	0.0283225083551889	0.0397446337510445
uc004dah.2-uc011mjs.1	0.000540243146412278	0.00286388454594097	302.340011176471	-332.560633861386	0.0168999138108456	0.0314769292436755
uc001bau.1-uc001bav.1	0.00439968857733218	0.00237065771117359	-654.794535294118	-276.36098627907	0.0345975137804969	0.030127108412831
uc001mgt.2-uc010rbp.1	0.00521602608124522	0.00376578261957034	-772.199360526316	-284.93265681592	0.0371540300809841	0.0326851416466992
uc002wxp.2-uc010ztu.1	0.000746048047441684	0.000480185814015708	-883.470992222222	-281.171806526055	0.017642334339157	0.0178019546173514
uc011mfc.1-uc004coe.2	0.00290777708371464	0.00381780122266562	-726.883003076923	-279.280399518987	0.0300634579841683	0.0329167313897672
uc010fbl.2-uc010fbk.2	0.00217209817341036	0.00108286607076176	-984.015146363636	-288.757437268293	0.0273031105039366	0.0225401356502436
uc009wgu.2-uc001efh.3	0.000366308710669325	0.00129948897633446	-688.372019069767	-263.531002830688	0.014652348426773	0.0236602353660441
uc001jbo.2-uc001jbt.2	0.00515102759160496	0.00245004762634381	-710.0819116	-281.471384090909	0.0370328631905054	0.0304338874469873
uc001bnm.2-uc001bnl.2	0.000206740061540592	0.000708140108114534	-684.615534468085	-259.459320240642	0.0142956515221682	0.0191984651533274
uc003vvt.2-uc011krd.1	0.00534433142321787	0.00472184875082397	-758.5897985	-284.396309027431	0.0377975903555119	0.0368093001661677
uc002pfl.2-uc010xyf.1	0.00328274125695388	0.00844302106071108	-771.316736190476	-282.542661075	0.0317852724879661	0.0471532948376278
uc010xyn.1-uc010xyo.1	0.00121319052910061	0.000498411102360689	-937.6836	-285.226401695332	0.0216071889854416	0.0178019546173514
uc002nkf.2-uc002nkh.2	0.00337347095201919	0.00725535365160725	-589.566710769231	-267.092810108401	0.0323842905499662	0.0434964690661467
uc002nng.2-uc002nnf.3	0.00615876043961153	0.00411112274089929	-841.832300714286	-288.523497985258	0.0412458352262488	0.0344712697175061
uc003ire.2-uc003irf.2	0.000195905283435378	0.000204858861778563	-727.469555897436	-263.987966518325	0.0142956515221682	0.0146662778138722
uc002mgh.2-uc002mgj.1	0.000348072900989724	0.00118772471948762	-722.921947297297	-266.840114166667	0.014652348426773	0.0225401356502436
uc001wao.2-uc001wan.2	0.00369690142977859	0.00582305613011838	-673.292718125	-276.784958637532	0.0325614211252018	0.0397446337510445
uc002cmb.2-uc002clz.2	0.000145902603762438	0.000294570975885756	-698.051221086957	-258.944959253333	0.0142956515221682	0.0167710589797608
uc002jvw.2-uc010wtv.1	0.00164604647884994	0.00115281483933878	-703.8245815625	-274.273340051414	0.0237654047833956	0.0225401356502436
uc003gww.3-uc011bza.1	0.000417702054730447	0.000423468987701109	-849.580304545455	-277.002378922306	0.0156798925160352	0.0174573224363097
uc003jdu.2-uc003jds.2	0.0011027765658117	0.000947412213598579	-776.3748896	-277.286221338384	0.0203748801140695	0.0222689954089133
uc002nuf.2-uc010xro.1	0.000471733586177601	9.33124146685575e-05	-904.410147777778	-280.236558883375	0.0162137945590979	0.0119832785153305
uc002nei.1-uc010xpg.1	0.00033419883459815	0.00042719656165534	-774.468248666667	-271.050302890026	0.014652348426773	0.0174573224363097
uc003lfi.2-uc010jfj.2	0.000294863286485448	0.000336363460123624	-838.352785833333	-274.796597052897	0.0142956515221682	0.0174573224363097
uc002pkx.2-uc002pkw.1	0.00135651990860251	0.000768967772140797	-788.808705652174	-279.075667487437	0.0225874179562494	0.0199795902421746
uc003bdq.2-uc003bdp.2	0.00704960445574438	0.00544975973357068	-732.896205238095	-284.55973895	0.0439638566246873	0.0391359152357676
uc001ebs.2-uc010owf.1	0.00900660691621184	0.00434316221423816	-783.032158125	-288.114077432099	0.0505198181047285	0.0355613916700718
uc002mfu.1-uc002mfv.1	1.04778090024048e-05	1.04760519708293e-05	-707.429204736842	-244.206734120879	0.0036522648522668	0.00356092497137826
uc001zls.3-uc001zlr.2	0.00207349426903825	0.00153044823612471	-834.039168333333	-283.37967955335	0.0266799130644364	0.0242131370643126
uc001brw.2-uc001brx.2	0.00142043022067097	0.00119539397919001	-739.1399775	-276.129253231552	0.022801643016034	0.0225401356502436
uc001bzv.1-uc001bzw.1	2.19785891722476e-05	2.32396017702617e-05	-814.173188	-260.929156243523	0.00487525068911673	0.00515496621085806
uc001xyp.2-uc001xyo.2	0.00494147024929867	0.00326604368103255	-775.077632631579	-284.796619079602	0.0362428625585145	0.0317237881015461
