p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc001qnu.2-uc001qnt.2	0.00229923445645811	0.00301913552352704	-725.4600065625	-271.800003333333	0.128262454794086	0.763086088069123
uc011lyh.1-uc004ble.1	0.00781387250662117	0.00415391558909597	-1024.593075	-429.110661296296	0.241425678476634	0.763086088069123
uc003onu.1-uc003onw.3	0.000677852657487984	0.00476714590222295	447.5801425	-571.70760137931	0.0821851440152769	0.763086088069123
uc002jfc.2-uc010wqh.1	4.04208921543152e-06	0.00206832553505989	737.9601975	-591.733812068966	0.00141540490693694	0.763086088069123
uc001rks.2-uc001rkt.2	0.000888325407463758	0.0080313729359867	53.666157	-613.565036153846	0.0966764688919153	0.854423283737704
uc002fjh.2-uc010chp.2	1.91884472049867e-05	0.00398094160998075	661.255655	-586.44384362069	0.00575927536823957	0.763086088069123
uc011bzh.1-uc011bzf.1	0.00105624870964172	0.00115276618527237	-764.241678275862	-278.960958787879	0.100871751770784	0.763086088069123
uc003sir.2-uc003sis.2	0.00103265075398038	0.00663791928820282	313.046498	-577.788645614035	0.100871751770784	0.854423283737704
uc001mvx.2-uc001mvw.2	0.00425969204535607	0.00212768317062446	-992.896322	-412.303020961538	0.157010754163037	0.763086088069123
uc002kne.2-uc010wzi.1	0.0038800734772223	0.00290637873245293	-1029.13055222222	-417.104629056604	0.148218806829892	0.763086088069123
