p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002wxu.3-uc002wxv.3	0.00558441762885258	0.00407488121069691	-1373.225918	-662.718398489583	0.274041006767952	0.213375597941947
uc010chd.2-uc010vnj.1	0.00188516610133072	0.00142835528810471	-1386.02170333333	-658.596501989529	0.227831153521016	0.19448869064518
uc001ajb.1-uc001ajd.1	0.000289646908182315	0.000298716365885135	-1052.96399	-624.157885146199	0.166836619113013	0.172060626749838
uc003vkr.2-uc003vks.2	0.00330302065301993	0.00205110197255481	-1192.450068	-653.388028983957	0.235411342635123	0.19448869064518
uc002xek.1-uc002xeh.2	0.0036783022286738	0.00220422075520817	-1493.5195475	-663.90665238342	0.235411342635123	0.19448869064518
uc003sld.1-uc003slh.1	0.00352198780879485	0.00381160452855265	-1004.05384347826	-638.01622816092	0.235411342635123	0.213375597941947
uc010sjv.1-uc001rjp.2	0.00873792562435611	0.00582353194862376	-129.3159	-701.067635789474	0.330784170660865	0.27952953353394
uc002kyg.2-uc010xcd.1	0.00544013235255973	0.00263510210426678	-1375.31098	-662.6641	0.274041006767952	0.19448869064518
uc003tol.2-uc003too.2	0.00570918764099899	0.00303888579133094	-1454.99706	-664.705045906736	0.274041006767952	0.19448869064518
uc002lny.2-uc010xfp.1	0.00262389689840375	0.00278398379799748	-1013.86324869565	-636.719582643678	0.235411342635123	0.19448869064518
uc010quu.1-uc009ybc.1	0.000906951708154669	0.000951998449426547	-1374.83635714286	-655.18004	0.216181359533852	0.19448869064518
uc003svb.2-uc003sva.2	0.00112594458090548	0.00179625393907917	-280.259543684211	-723.500734662921	0.216181359533852	0.19448869064518
