p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc003sir.2-uc003sis.2	0.00127843645819412	0.00233453607367142	74.0563718	-311.6533347806	0.0332005273599526	0.0556620100993942
uc011asi.1-uc003bov.1	0.00663800198028635	0.00642356890942448	-845.798621428571	-254.588261556503	0.0802813427905646	0.0916319359814483
uc003oyj.2-uc010jze.2	3.06734557982045e-05	2.18622901830213e-05	99.4279907246377	-333.583591135266	0.00255969988636017	0.00214636248914486
uc003atc.2-uc003atf.2	0.000587207514408198	0.00134259940380076	-1389.04483833333	-257.670453542977	0.0200010069703527	0.0414962667582125
uc003lon.1-uc003loo.2	0.00489871632068632	0.00206393649574792	-809.832398823529	-252.094258776824	0.0698799789677391	0.0517381024541674
uc009wgu.2-uc001efh.3	0.00425209558576504	0.0049382475556364	-1076.3011525	-258.174034	0.0633638172557307	0.0800187880617199
uc002iwz.3-uc002ixa.3	0.00206842601041621	0.00144198783380148	-1274.13978	-259.115800188679	0.0433201508822756	0.0415552150456474
uc003weq.2-uc003weo.2	0.000499283484970142	0.00237474061220739	968.89709	-284.702010083682	0.018721749910013	0.0558231279123119
uc010dyg.2-uc002msl.3	0.000586480438966607	0.000705528233736915	-403.166212347826	-152.232594980237	0.0200010069703527	0.026761968684248
uc003ulm.3-uc011khn.1	0.000302054555045085	0.000671332962424746	-1177.123803	-252.583165623679	0.0133158797129621	0.0266497607963739
uc001yus.2-uc001yuu.2	0.0032056717201439	0.00718325774029455	-918.811659230769	-253.826646382979	0.0551573824837132	0.0990814642029058
uc002bad.2-uc002bae.2	1.88520136204763e-05	8.38165677484214e-06	-673.054374603175	-211.525356595238	0.00209760071550499	0.00116574876310096
uc003hra.2-uc003hrd.2	0.000519874677863692	0.00456211481310059	-1655.9630525	-260.165392818372	0.018721749910013	0.0769108042733827
uc004bas.2-uc011lvf.1	0.005503625453816	0.00488007151166812	-1381.502925	-262.457335427975	0.0740770232453137	0.0798513662056284
uc001brj.1-uc001brl.1	8.15095654505112e-09	1.84106369130662e-08	-963.47229025	-209.264523160271	2.72078929473806e-06	6.14547060158148e-06
uc003ire.2-uc003irf.2	0.00625932620054154	0.00705903670574427	-996.631276666667	-257.960746582278	0.0785828441496368	0.0986243424693465
uc001cgh.1-uc001cgi.1	0.00219367598669309	0.00857236991952513	1142.33087666667	-280.562641666667	0.0443373449342135	0.110909189113856
uc002ubc.3-uc002ubd.2	0.00236133878106816	0.0014996190940914	-710.881241034483	-243.672950176211	0.0452997060414111	0.0417144044673091
uc001ozx.3-uc001ozy.2	2.73217467158572e-05	5.83876359644341e-05	-599.29600755814	-200.764782670025	0.00255969988636017	0.00442949838293821
uc001tws.2-uc001twt.2	0.00150410693810893	0.00218422014627366	-828.931887	-247.655372850972	0.0363819489812145	0.0528328032482716
uc002hrg.2-uc002hri.2	0.00228432685253634	0.00434582509552253	-1129.75048	-257.2738348	0.0448534296103899	0.0740943048333568
uc001jnb.2-uc001jnc.2	1.77608721779938e-05	7.3996001376287e-06	-985.405640909091	-237.666271735358	0.00209760071550499	0.00112272114815475
uc001hef.2-uc001hed.2	0.000208491942976089	0.000431337706884575	-875.721086086957	-241.524979108696	0.0108741579008466	0.0199972953552876
uc003wnk.2-uc003wnj.2	0.0041605750017819	0.00613107901611951	-1595.64813333333	-263.450272854167	0.0632778004516713	0.0916319359814483
uc003gfz.2-uc003ggb.1	4.65177332029098e-07	7.45291574914243e-07	-1290.84768066667	-239.060598632479	9.70476208945706e-05	0.000155486454816484
uc002hdt.1-uc002hdu.1	3.66505269016614e-05	2.17049717386549e-05	-792.74101027027	-228.501475313901	0.00291284425708919	0.00214636248914486
uc002kod.1-uc002kof.2	0.0013188391900283	0.00247350484966684	-904.789614375	-250.035206723769	0.0332005273599526	0.0560250927901324
uc010vhd.1-uc002eia.3	0.00798715303173716	0.00555544033812052	-813.207678	-254.369573076923	0.0906840708161179	0.0883050468983156
uc004dfe.2-uc011mks.1	0.00652993608050659	0.00435065420830975	-955.22319	-257.2745105074	0.079550827141354	0.0740943048333568
uc002amf.2-uc010uik.1	0.004170496135221	0.00486724254218838	-957.156478181818	-255.750750233051	0.0632778004516713	0.0798513662056284
uc003lkb.3-uc003lkd.1	0.00626214396159478	0.00434078437314112	123.477661724138	-296.969003436123	0.0785828441496368	0.0740943048333568
uc002dde.2-uc010uzp.1	0.000313621559004189	0.000908550628091686	-939.056895	-245.892583354839	0.0134213944096921	0.0322165605712024
uc003stv.2-uc010kub.2	0.00862680635093627	0.00977520866548604	-931.92043	-257.767169281184	0.0954299680966445	0.118838175950256
uc001pgy.2-uc010ruq.1	0.000191984862895467	0.000471479570394634	-841.087841153846	-239.332147702407	0.0106807578724178	0.0212675514321255
uc001kzz.2-uc001kzx.2	0.00319767415858605	0.00357736694239618	-1101.1932975	-257.754797873684	0.0551573824837132	0.0678480162143093
uc003epe.1-uc003epf.1	0.00559228512527782	0.00554394600558456	-1006.33768111111	-257.776447763713	0.0746681909927094	0.0883050468983156
uc001hzw.2-uc001hzx.2	2.43372819363056e-05	2.97795797096454e-05	-878.653730344828	-232.956205264317	0.00253868272198087	0.00258782038274308
uc002azb.1-uc002aza.1	8.59250528118328e-08	1.37620204345465e-07	-1023.62494666667	-221.930081611479	2.39014855238248e-05	3.82813535087636e-05
uc011dnm.1-uc003ntn.3	0.00647672801675964	0.00633050458416332	-622.264910555556	-243.4933749217	0.0794827872056753	0.0916319359814483
uc001wyi.2-uc001wyk.2	1.05664371545526e-09	2.58895043695758e-09	-903.664112115385	-195.481534895592	4.40884590273709e-07	1.08023956982055e-06
uc001nrf.3-uc001nrh.2	3.31655669564777e-06	3.69550817480035e-06	-1213.83062933333	-241.529093867521	0.000503212102276011	0.000616780314374179
uc001rki.1-uc001rkk.1	0.00984782683187781	0.00642356890942448	-817.796679285714	-255.424140426439	0.100219652331732	0.0916319359814483
uc002wzm.3-uc002wzl.2	0.0035031672254102	0.00622310069104718	-1222.38820833333	-259.766763354298	0.0562190971077848	0.0916319359814483
uc009wht.1-uc001eiu.1	0.000414477806813483	0.000194814251096767	-718.446300810811	-234.664937757848	0.0168722795017489	0.0112118960372587
uc010rfj.1-uc001mxh.2	1.13880031642438e-05	1.00176849872524e-05	-775.171135454545	-221.26547929385	0.00158388144009358	0.00128611663413263
uc001hvg.2-uc001hvf.2	0.00133279528646904	0.00324147122262739	-1173.80806125	-256.531812378947	0.0332005273599526	0.0636472408301778
uc001iig.2-uc001iii.2	0.00392816106897782	0.00424474669306554	-860.024459333333	-252.869035213675	0.0612719703189158	0.0740943048333568
uc002rys.2-uc002ryw.2	2.95634377541952e-07	3.21989095318893e-07	-659.322792777778	-182.961893180662	7.04876823025025e-05	7.67714000124617e-05
uc001gdt.1-uc010plf.1	0.000842656953055737	0.00190817201941365	-792.8087856	-243.281344388646	0.0255708082663641	0.0489959861600214
uc001hdx.2-uc001hdy.2	0.000205930804240091	0.000228380865284224	-1084.47595923077	-249.244442340426	0.0108741579008466	0.0122957311019152
