p.linear.model	p.wilcox	mean.switch	mean.wt	FDR_linear	FDR_wilcox
uc002phh.3-uc002phi.3	0.00694104231428607	0.00800409868372512	797.8629	-98.3092008588957	0.18646557582028	0.30015351823085
uc003jnf.2-uc010ivj.1	0.000257059859547979	5.84954581233706e-05	-628.019621071429	-55.035272869379	0.0278726333424166	0.00887961054312766
uc001ypu.1-uc010tyl.1	0.00203750929701091	0.000414621484930438	-1097.886785	-75.0484685276074	0.0859149753572934	0.0524496178437004
uc011dar.1-uc003ljs.1	1.60260995450061e-05	0.00388825413566286	548.894981785714	-125.599745845824	0.00405460318488655	0.227014222228316
uc003fsv.2-uc003fsw.2	1.55173197291937e-08	3.89846490335018e-06	412.510464857143	-169.7923632	5.88882283722901e-06	0.000986311620547595
uc011das.1-uc003lju.1	0.000900249766065451	0.00644217643036214	484.428367619048	-112.78273742616	0.0683289572443677	0.30015351823085
uc004duh.1-uc004dui.3	0.00415188816300135	0.00331224469214414	308.4240575	-114.806893434125	0.137012309379045	0.209499476778117
uc002euz.2-uc010vkh.1	0.00192804260450843	0.00628691472927399	790.4236575	-101.867373880903	0.0859149753572934	0.30015351823085
uc001bau.1-uc001bav.1	7.56855471156697e-05	1.69804986014665e-05	-623.084067272727	-49.1866831168831	0.00957422171013222	0.00322204960962827
uc003bcj.1-uc003bck.1	0.000811448652450328	0.00116763767283069	399.224046206897	-117.732873733906	0.0683289572443677	0.0984707770753882
uc001apy.2-uc001apz.2	0.00190670920877799	0.00049347770157104	-915.129681111111	-72.1190425720165	0.0859149753572934	0.0535070822132027
uc004cbc.2-uc004cbb.2	4.72583271453074e-05	2.05440084819874e-06	-844.733027777778	-58.869658951782	0.00717381406065767	0.00077964512189142
uc001tlh.3-uc001tli.3	0.00109793769013831	0.00153401784900656	-297.852212521008	-20.8553418351064	0.0757577006195437	0.105847231581453
uc001vhb.2-uc001vha.2	0.00933915776003735	0.00884935646224774	398.756113888889	-105.793777505241	0.22865873354414	0.30015351823085
uc011dat.1-uc003ljw.1	4.59785261335177e-05	0.00134987492184279	423.498360789474	-129.932077746171	0.00717381406065767	0.102455506567868
uc002mkd.2-uc002mkc.2	2.51015487134874e-10	5.64748184548473e-13	-548.2883946875	23.4327420300752	1.90520754735369e-07	4.28643872072291e-10
uc011mju.1-uc004daz.1	0.00198057007144879	0.000991977547738762	-442.345169333333	-51.9566426666667	0.0859149753572934	0.0941138698417151
uc001cpu.2-uc001cpv.2	0.0018352213951452	0.00954288011226664	1164.941085	-97.6492589816701	0.0859149753572934	0.301793583550432
