###################################################################################################################################################################
#Enrichment results using 'Cellular Component from Gene Ontology (GO)', created by dcGO Enrichment at 30/05/2016 17:04:36 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0044425	membrane part	1	5.44	1.02e-07	8.18e-06	129|342|688|2675	PF00020;PF00027;PF00057;PF00059;PF00063;PF00085;PF00086;PF00094;PF00122;PF00130;PF00168;PF00169;PF00254;PF00307;PF00349;PF00350;PF00362;PF00373;PF00400;PF00413;PF00435;PF00452;PF00515;PF00530;PF00534;PF00535;PF00564;PF00611;PF00622;PF00638;PF00675;PF00689;PF00690;PF00702;PF00754;PF00757;PF00789;PF00884;PF00928;PF00969;PF00999;PF01030;PF01044;PF01066;PF01145;PF01151;PF01217;PF01302;PF01335;PF01391;PF01392;PF01403;PF01412;PF01433;PF01437;PF01471;PF01496;PF01553;PF01562;PF01602;PF01663;PF01699;PF01826;PF01833;PF02177;PF02181;PF02214;PF02225;PF02263;PF02434;PF02518;PF02881;PF02985;PF03810;PF03921;PF04080;PF04389;PF04756;PF04810;PF04811;PF05020;PF05021;PF05193;PF05790;PF06346;PF06367;PF06371;PF07645;PF07651;PF07653;PF07679;PF07686;PF07690;PF07774;PF07965;PF08150;PF08151;PF08165;PF08389;PF08416;PF08725;PF08736;PF08742;PF08911;PF08953;PF09058;PF09307;PF09379;PF09380;PF09387;PF09771;PF10409;PF10559;PF10608;PF12424;PF12548;PF12710;PF12763;PF12796;PF12906;PF12924;PF12925;PF13353;PF13385;PF13405;PF13519;PF13733;PF13855;PF13903
Group	GO:0031012	extracellular matrix	1	4.89	1.15e-05	4.59e-04	28|342|96|2675	PF00019;PF00024;PF00045;PF00052;PF00053;PF00057;PF00059;PF00086;PF00093;PF00094;PF00307;PF00413;PF00530;PF00683;PF00688;PF01391;PF01392;PF01562;PF01826;PF06119;PF07546;PF07645;PF07679;PF07686;PF08742;PF09289;PF13385;PF13855
Group	GO:0042995	cell projection	1	3.75	2.42e-04	3.02e-03	61|342|314|2675	PF00019;PF00027;PF00045;PF00057;PF00063;PF00130;PF00168;PF00169;PF00241;PF00254;PF00282;PF00307;PF00350;PF00373;PF00400;PF00413;PF00415;PF00435;PF00610;PF00611;PF00688;PF00754;PF00778;PF00780;PF00999;PF01044;PF01392;PF01471;PF01477;PF01504;PF02177;PF02181;PF02214;PF03133;PF03165;PF04048;PF06346;PF06367;PF06371;PF06920;PF07534;PF07645;PF07653;PF07679;PF07686;PF07690;PF08232;PF09058;PF09379;PF09380;PF10524;PF10608;PF12763;PF12796;PF12924;PF12925;PF13405;PF13637;PF13716;PF13855;PF14429
Group	GO:0071944	cell periphery	1	3.59	3.01e-04	3.21e-03	104|342|610|2675	PF00020;PF00027;PF00040;PF00057;PF00059;PF00063;PF00082;PF00085;PF00086;PF00094;PF00109;PF00122;PF00130;PF00168;PF00169;PF00241;PF00282;PF00307;PF00362;PF00373;PF00400;PF00435;PF00501;PF00530;PF00564;PF00610;PF00611;PF00622;PF00689;PF00690;PF00698;PF00702;PF00754;PF00757;PF00778;PF00780;PF00969;PF00999;PF01030;PF01044;PF01145;PF01217;PF01302;PF01335;PF01391;PF01392;PF01403;PF01412;PF01433;PF01437;PF01496;PF01504;PF01565;PF01602;PF01699;PF01826;PF01833;PF02181;PF02214;PF02225;PF02770;PF02771;PF02801;PF03921;PF04048;PF04382;PF05790;PF05922;PF06346;PF06367;PF06371;PF07645;PF07651;PF07653;PF07679;PF07686;PF07690;PF07965;PF08150;PF08151;PF08165;PF08416;PF08700;PF08725;PF08736;PF08742;PF08953;PF08954;PF09058;PF09379;PF09380;PF10358;PF10409;PF10608;PF11601;PF12424;PF12763;PF12796;PF13385;PF13405;PF13519;PF13637;PF13855;PF13903
Group	GO:0030054	cell junction	1	3.47	8.47e-04	6.78e-03	35|342|162|2675	PF00063;PF00086;PF00130;PF00168;PF00169;PF00307;PF00350;PF00362;PF00373;PF00435;PF00564;PF00611;PF00702;PF00780;PF01044;PF01145;PF01391;PF01412;PF01565;PF04382;PF07645;PF07653;PF07679;PF07686;PF07965;PF08416;PF08725;PF08736;PF09058;PF09379;PF09380;PF10409;PF10608;PF12796;PF13903
Group	GO:0043234	protein complex	1	3.14	1.12e-03	7.80e-03	152|342|984|2675	PF00019;PF00027;PF00052;PF00053;PF00063;PF00076;PF00085;PF00086;PF00097;PF00109;PF00122;PF00149;PF00153;PF00169;PF00179;PF00240;PF00270;PF00271;PF00307;PF00317;PF00362;PF00373;PF00385;PF00400;PF00432;PF00435;PF00452;PF00515;PF00557;PF00583;PF00622;PF00638;PF00642;PF00651;PF00675;PF00688;PF00689;PF00690;PF00698;PF00702;PF00754;PF00757;PF00778;PF00870;PF00899;PF00928;PF00969;PF00989;PF01030;PF01088;PF01145;PF01217;PF01302;PF01335;PF01336;PF01403;PF01426;PF01437;PF01485;PF01496;PF01602;PF01624;PF01751;PF01814;PF01833;PF02008;PF02148;PF02198;PF02214;PF02259;PF02260;PF02463;PF02518;PF02671;PF02801;PF02817;PF02969;PF02985;PF03165;PF03256;PF03477;PF03810;PF03909;PF03920;PF04048;PF04408;PF04561;PF04563;PF04739;PF04756;PF04762;PF04810;PF04811;PF04818;PF04841;PF05193;PF06733;PF07034;PF07653;PF07679;PF07686;PF07707;PF07710;PF07774;PF07965;PF08209;PF08232;PF08295;PF08313;PF08389;PF08563;PF08567;PF08612;PF08644;PF08659;PF08662;PF08700;PF08711;PF08725;PF08911;PF08953;PF08954;PF09379;PF09380;PF09739;PF09771;PF10358;PF10585;PF10608;PF11717;PF11934;PF12333;PF12455;PF12619;PF12765;PF12796;PF12842;PF12894;PF12895;PF13086;PF13191;PF13385;PF13405;PF13519;PF13589;PF13639;PF13831;PF13832;PF13855;PF13891;PF13931;PF14259
Group	GO:0031252	cell leading edge	2	6.30	6.07e-08	8.18e-06	29|342|81|2675	PF00063;PF00130;PF00169;PF00241;PF00307;PF00362;PF00373;PF00435;PF00611;PF00780;PF01044;PF01302;PF01392;PF02181;PF02214;PF06346;PF06367;PF06371;PF07653;PF07679;PF07965;PF08953;PF08954;PF09379;PF09380;PF12455;PF12763;PF13405;PF13716
Group	GO:0005802	trans-Golgi network	2	6.29	2.65e-07	1.41e-05	18|342|39|2675	PF00122;PF00169;PF00611;PF00630;PF00689;PF00690;PF00702;PF00928;PF01217;PF01302;PF01465;PF01602;PF03765;PF09177;PF09324;PF12783;PF12796;PF12906
Group	GO:0030864	cortical actin cytoskeleton	2	5.30	1.73e-05	5.54e-04	12|342|25|2675	PF00130;PF00169;PF00241;PF00307;PF00373;PF00435;PF07651;PF07653;PF08953;PF08954;PF09379;PF09380
Group	GO:0030135	coated vesicle	2	4.68	2.97e-05	7.92e-04	24|342|80|2675	PF00063;PF00094;PF00122;PF00130;PF00168;PF00169;PF00400;PF00651;PF00928;PF01217;PF01496;PF01602;PF01826;PF03765;PF04810;PF04811;PF07651;PF07653;PF07690;PF07707;PF08742;PF12697;PF12763;PF13599
