Tumor	Analysis	Yes	No	Random_Yes	Random_No	p	OR
brca	CDS_change	1496.0	248.0	151606.0	22794.0	0.16387585923094639	0.9069515080048326
coad	CDS_change	1326.0	257.0	137707.0	20593.0	0.00023284083783317182	0.7715676370223713
hnsc	CDS_change	2653.0	357.0	260564.0	40436.0	0.011511848796725812	1.1532482629686251
kich	CDS_change	2284.0	314.0	225407.0	34393.0	0.08598446192008549	1.1098623328179833
kirc	CDS_change	2286.0	311.0	225041.0	34659.0	0.042235041124974615	1.1320620089649687
kirp	CDS_change	3616.0	555.0	361229.0	55871.0	0.8909749157384819	1.007718599508849
lihc	CDS_change	638.0	108.0	65679.0	8921.0	0.0411370049001309	0.8023870869148659
luad	CDS_change	1594.0	289.0	164203.0	24097.0	0.0012666990081943836	0.8094170800945669
lusc	CDS_change	1831.0	395.0	193582.0	29018.0	3.5838705131785446e-10	0.6948543050280985
prad	CDS_change	1592.0	210.0	156581.0	23619.0	0.07337812484018036	1.1435264450074676
thca	CDS_change	855.0	182.0	89960.0	13740.0	9.043938891431723e-05	0.7175166985082503
