Cancer	Analysis	Both	Only_nIso	Only_tIso	None	Random_Both	Random_Only_nIso	Random_Only_tIso	Random_None
brca	CDS_study	1512.0	144.0	51.0	37.0	145193.0	20350.0	4780.0	4077.0
coad	CDS_study	1382.0	130.0	31.0	40.0	132698.0	18311.0	4096.0	3195.0
hnsc	CDS_study	2614.0	303.0	46.0	47.0	254229.0	34382.0	6948.0	5441.0
kich	CDS_study	2241.0	256.0	48.0	53.0	217243.0	29984.0	6927.0	5646.0
kirc	CDS_study	2212.0	283.0	45.0	57.0	216180.0	31048.0	6411.0	6061.0
kirp	CDS_study	3548.0	449.0	74.0	100.0	348184.0	49583.0	9624.0	9709.0
lihc	CDS_study	642.0	70.0	21.0	13.0	62285.0	8110.0	2772.0	1433.0
luad	CDS_study	1641.0	167.0	45.0	30.0	156745.0	21790.0	5350.0	4415.0
lusc	CDS_study	1929.0	181.0	59.0	57.0	185849.0	25932.0	5995.0	4824.0
prad	CDS_study	1547.0	203.0	32.0	20.0	150004.0	20915.0	5064.0	4217.0
thca	CDS_study	901.0	93.0	19.0	24.0	86065.0	12239.0	2967.0	2429.0
