Tumor	Analysis	Yes	No	Random_Yes	Random_No	p	OR
brca	UTR_change	1478.0	266.0	156400.0	18000.0	2.263946899456339e-10	0.6394823375574487
coad	UTR_change	1373.0	210.0	141766.0	16534.0	0.00044506296437116536	0.7625302728910082
hnsc	UTR_change	2584.0	426.0	267643.0	33357.0	2.7858587478710205e-07	0.7559864404196615
kich	UTR_change	2254.0	344.0	232310.0	27490.0	2.3178358011954454e-05	0.775358057046869
kirc	UTR_change	2244.0	353.0	233044.0	26656.0	9.726722220826453e-08	0.7271185108060908
kirp	UTR_change	3604.0	567.0	373970.0	43130.0	4.2436532555742896e-11	0.7330682619431271
lihc	UTR_change	622.0	124.0	66748.0	7852.0	4.3854725533130467e-07	0.5900797800876479
luad	UTR_change	1632.0	251.0	168939.0	19361.0	3.2060819440565744e-05	0.7451510174032264
lusc	UTR_change	1939.0	287.0	199189.0	23411.0	0.00039889492283141107	0.7940548925894502
prad	UTR_change	1505.0	297.0	161830.0	18370.0	4.166132325698443e-16	0.5752149603722242
thca	UTR_change	855.0	182.0	93096.0	10604.0	1.2356700690016947e-12	0.5350981192048477
