Tumor	GeneSet	pval	fdr5	OR	SwitchedGenes
brca	REACTOME_LAGGING_STRAND_SYNTHESIS	1.0	1.0	0.0	
brca	REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	1.0	1.0	0.0	
brca	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	1.0	1.0	0.0	
brca	PID_IL8CXCR2_PATHWAY	0.19367612433929696	0.594540660762493	4.853861386138614	AKT1
brca	BIOCARTA_TEL_PATHWAY	0.005731978487456621	0.08049161280258234	20.448333333333334	AKT1,TP53
brca	BIOCARTA_GRANULOCYTES_PATHWAY	0.08700076669678593	0.41458849111825785	12.14950495049505	ICAM1
brca	BIOCARTA_CELLCYCLE_PATHWAY	0.11674263548835594	0.46697054195342375	8.675388967468175	CCND3
brca	KEGG_P53_SIGNALING_PATHWAY	0.0084871094466618	0.09874997654442161	7.7228535353535355	CCND3,CCNG1,TP53
brca	REACTOME_OLFACTORY_SIGNALING_PATHWAY	1.0	1.0	0.0	
brca	REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	1.0	1.0	0.0	
brca	KEGG_GALACTOSE_METABOLISM	1.0	1.0	0.0	
brca	REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.08700076669678593	0.41458849111825785	12.14950495049505	AKT1
brca	BIOCARTA_TCRA_PATHWAY	0.08700076669678593	0.41458849111825785	12.14950495049505	CD4
brca	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.02675187244799895	0.20063904335999214	8.449655172413793	AKT1,PPP1R13B
brca	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	1.0	1.0	0.0	
brca	BIOCARTA_AT1R_PATHWAY	0.2134805828186929	0.6304124593303683	4.332743988684583	GRB2
brca	PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.044747001997401475	0.2826126441941146	6.277948717948718	AKT1,GRB2
brca	BIOCARTA_CTL_PATHWAY	0.004939540191211015	0.07670815355762989	22.30909090909091	FASLG,ICAM1
