GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
PID_ILK_PATHWAY	brca	0.793340933385	1.0	0.00135135135135	AKT1,CDC42,PXN,RAC1	1.03612923215	4	1417	41	15049
BIOCARTA_VEGF_PATHWAY	brca	1.0	1.0	0.00116495806151	HIF1A,PXN	0.786312739801	2	1419	27	15063
BIOCARTA_AKAPCENTROSOME_PATHWAY	brca	1.0	1.0	0.00144787644788	NUP85	0.816738894908	1	1420	13	15077
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	brca	0.198002107537	0.912502351669	0.00439725439725	CRKL,FYN,GRB2	2.12623413258	3	1418	15	15075
BIOCARTA_TEL_PATHWAY	brca	0.175520649952	0.900642213962	0.00511015216898	AKT1,TP53,XRCC6	2.27825911747	3	1418	14	15076
KEGG_NON_HOMOLOGOUS_END_JOINING	brca	1.0	1.0	0.00297619047619	XRCC6	0.965364916773	1	1420	11	15079
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	brca	1.0	1.0	0.00310559006211	CPSF7,PCF11	1.01137622068	2	1419	21	15069
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	brca	0.722153307691	1.0	0.00170775170775	RAF1	0.424366197183	1	1420	25	15065
BIOCARTA_DREAM_PATHWAY	brca	1.0	1.0	0.00522844272844	KCNIP3	0.965364916773	1	1420	11	15079
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	brca	0.108035273036	0.900642213962	0.00355212355212	ADCY4,ITPR3,MYL6,RAF1	0.440896259704	4	1417	96	14994
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	brca	1.0	1.0	0.000804375804376	ADCY4	0.965364916773	1	1420	11	15079
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	brca	0.0747105390831	0.892850997262	0.00355618776671	DGKG,DGKI,DGKQ,ITPR3	2.83697953423	4	1417	15	15075
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	brca	0.302332350154	0.966354438631	0.00434362934363	ABCC3	3.54154929577	1	1420	3	15087
PID_P38ALPHABETADOWNSTREAMPATHWAY	brca	0.375131481428	1.0	0.00320056899004	MAPK11,MAPKAPK5,RAB5A,SLC9A1,TP53	1.61113251156	5	1416	33	15057
PID_IL2_STAT5PATHWAY	brca	0.0877270719559	0.892850997262	0.0032749586321	CCND3,FASLG,GRB2,IL2RG,JAK3	2.31316015721	5	1416	23	15067
BIOCARTA_ATRBRCA_PATHWAY	brca	0.701177963481	1.0	0.00271189556904	RAD9A,TP53	1.11798523794	2	1419	19	15071
BIOCARTA_BARRESTIN_PATHWAY	brca	0.555211490384	1.0	0.0010725010725	GNB1	1.32764084507	1	1420	8	15082
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	brca	0.183866111855	0.904934503095	0.00253558462514	AKT1,CDC42,GRB2,NOLC1,PPP1R13B,PREX1,PTPN1,YWHAH,YWHAZ	1.65194881313	9	1412	58	15032
PID_AR_NONGENOMIC_PATHWAY	brca	0.0397948384115	0.727954287041	0.0024453024453	AKT1,AR,CDC42,GNB1,RAC1,RAF1	2.66183745583	6	1415	24	15066
PID_IL5_PATHWAY	brca	0.0777712327992	0.892850997262	0.00378056628057	GRB2,PIM1,SDCBP	3.54513399154	3	1418	9	15081
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	brca	0.419625782578	1.0	0.0032175032175	ACOT2,ACOX3,HADHA	1.77150916784	3	1418	18	15072
KEGG_PARKINSONS_DISEASE	brca	0.220034001849	0.919425199361	0.000874189553435	NDUFA5,NDUFA9,NDUFS2,NDUFV1,UQCRC1	0.524032276109	5	1416	101	14989
REACTOME_PYRIMIDINE_METABOLISM	brca	0.419625782578	1.0	0.00170068027211	CAD,NT5E,NT5M	1.77150916784	3	1418	18	15072
PID_AR_PATHWAY	brca	0.356518311561	1.0	0.00246138996139	AKT1,AR,CCND3,CMTM2,PIAS3,PTK2B,XRCC6	1.40453951055	7	1414	53	15037
REACTOME_GLUCONEOGENESIS	brca	0.50974301954	1.0	0.000723938223938	ENO1	0.392879499218	1	1420	27	15063
REACTOME_PURINE_SALVAGE	brca	0.0948715449807	0.893226841511	0.00408375408375	ADAL,AMPD2,GMPR2	3.1904090268	3	1418	10	15080
PID_ERBB2ERBB3PATHWAY	brca	0.271719516031	0.939883564194	0.00309319059319	AKT1,CDC42,ERBB2,GRB2,RAC1,RAF1	1.67959828901	6	1415	38	15052
BIOCARTA_NO1_PATHWAY	brca	0.50974301954	1.0	0.00113761720905	AKT1	0.392879499218	1	1420	27	15063
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	brca	0.740562779179	1.0	0.00263835263835	DDX58,PCBP2,TAX1BP1	1.18030089328	3	1418	27	15063
PID_LIS1PATHWAY	brca	0.276980838236	0.939883564194	0.003564003564	CDC42,DCX,PPP2R5D,RAC1	1.9334060435	4	1417	22	15068
KEGG_ACUTE_MYELOID_LEUKEMIA	brca	0.815957072972	1.0	0.00191356770304	AKT1,GRB2,PIM1,RAF1,RARA	1.02115927857	5	1416	52	15038
PID_CASPASE_PATHWAY	brca	0.451886187384	1.0	0.00224606474606	APP,CASP6,DFFA,LMNB2,SREBF1,TNFRSF1A	1.38675679828	6	1415	46	15044
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	brca	0.486320165955	1.0	0.00245025245025	CCT7,CCT8,FBXL5	1.385938554	3	1418	23	15067
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	brca	0.4031970664	1.0	0.00248625248625	ALG2,ARSG,B4GALT3,DHPS,DOLPP1,FUT8,GALNT11,GALNT2,GALNT6,GALNT7,MGAT4A,MPI,PIGB,PIGT,PIGV,PREB,SUMF1	1.22244359744	17	1404	148	14942
REACTOME_GPCR_LIGAND_BINDING	brca	0.00578922724969	0.484344473495	0.00251898207289	APP,CXCR5,DARC,GNB1,GPR68,HTR7,INSL3,NPY1R,OPN3,SMO,WNT10B	0.448490846116	11	1410	258	14832
REACTOME_SIGNALING_BY_BMP	brca	0.701177963481	1.0	0.00170068027211	SMAD1,SMAD6	1.11798523794	2	1419	19	15071
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	brca	0.501947541878	1.0	0.00303875303875	SNW1,TNRC6C,TP53	1.32810296192	3	1418	24	15066
REACTOME_COMPLEMENT_CASCADE	brca	0.717508434295	1.0	0.000925032175032	CFH	0.461328842621	1	1420	23	15067
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	brca	1.0	1.0	0.00151682294539		0.0	0	1421	7	15083
REACTOME_REGULATION_OF_APOPTOSIS	brca	0.625088622067	1.0	0.00103675103675	ARHGAP10,PSMD2,PSMD3	0.623869576039	3	1418	51	15039
REACTOME_INTERFERON_GAMMA_SIGNALING	brca	0.635492861953	1.0	0.00203035547863	HLA-DRB1,ICAM1,IFNGR1,IRF1,PTPN1,SP100	1.22625713509	6	1415	52	15038
BIOCARTA_CTCF_PATHWAY	brca	0.130551933348	0.900642213962	0.00323149236193	CD79B,SMAD1,TGFB2,TP53	2.2391263975	4	1417	19	15071
BIOCARTA_LYM_PATHWAY	brca	0.210501743148	0.912502351669	0.00289575289575	CD34,ICAM1	2.65715292459	2	1419	8	15082
KEGG_DILATED_CARDIOMYOPATHY	brca	1.0	1.0	0.00208494208494	ADCY4,CACNA2D3,ITGA8,ITGB5,TGFB2,TPM4	0.923091104624	6	1415	69	15021
KEGG_MELANOMA	brca	0.369061293798	1.0	0.00168140490721	AKT1,RAF1,TP53	0.538990222562	3	1418	59	15031
REACTOME_IRON_UPTAKE_AND_TRANSPORT	brca	0.539282635083	1.0	0.00284059569774	ATP6V1C1,ATP6V1C2,ATP6V1H,CP	1.37127507	4	1417	31	15059
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	brca	0.0240982847864	0.611725690731	0.0028801843318	AKT1,CAMK2G,CAMK4,CDC42,CRKL,FASLG,GRB2,MAPK11,PRDM4,RAC1,RAF1,RAP1B,RIPK2,SH2B1,SHC2,TP53,YWHAH,YWHAZ	1.81358006428	18	1403	106	14984
BIOCARTA_BCELLSURVIVAL_PATHWAY	brca	0.642880874169	1.0	0.00295608108108	AKT1,DPF2	1.51776905265	2	1419	14	15076
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	brca	0.251744316958	0.929463425728	0.000919286633572		0.0	0	1421	21	15069
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	brca	1.0	1.0	0.00010725010725		0.0	0	1421	9	15081
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	brca	0.245297575232	0.919425199361	0.00229573202546	ACSL5,AGPAT5,ELOVL4,FASN,LCLAT1	1.66159074859	5	1416	32	15058
REACTOME_REGULATION_OF_INSULIN_SECRETION	brca	0.682420673792	1.0	0.00200670595407	GNB1,ITPR3,KCNJ11,PAX6,RAP1B	0.74694636747	5	1416	71	15019
PID_ANTHRAXPATHWAY	brca	0.391908345137	1.0	0.000851692028163		0.0	0	1421	17	15073
PID_INTEGRIN_A4B1_PATHWAY	brca	0.0525238897451	0.806438568169	0.00174951737452	CD81,PTK2B,PXN,RAC1,SPP1,YWHAZ	2.45675455287	6	1415	26	15064
PID_ERBB1_DOWNSTREAM_PATHWAY	brca	0.482987841689	1.0	0.0021603235889	AKT1,CDC42,GRB2,MAPKAP1,RAB5A,RAC1,RAF1,SLC9A1,SMAD1,YWHAH,YWHAZ	1.24457522257	11	1410	94	14996
KEGG_COLORECTAL_CANCER	brca	0.356518311561	1.0	0.00265444015444	AKT1,AXIN2,RAC1,RAF1,SMAD3,TGFB2,TP53	1.40453951055	7	1414	53	15037
ST_WNT_BETA_CATENIN_PATHWAY	brca	0.351094065349	1.0	0.00232263513514	AKT1,AXIN2,DVL1,RPSA	1.51849984878	4	1417	28	15062
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	brca	0.619892360269	1.0	0.000965250965251		0.0	0	1421	13	15077
REACTOME_PEROXISOMAL_LIPID_METABOLISM	brca	0.688593090841	1.0	0.0030888030888	ACOX3,HACL1	1.18017383134	2	1419	18	15072
KEGG_RENAL_CELL_CARCINOMA	brca	0.128801629978	0.900642213962	0.00364037506895	AKT1,CDC42,CRKL,GRB2,HIF1A,RAC1,RAF1,RAP1B,TGFB2,VEGFB	1.77533664068	10	1411	60	15030
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	brca	0.81274735895	1.0	0.00458494208494	EIF3B,EIF3D,PABPC1,RPS24,RPSA	1.04125124626	5	1416	51	15039
BIOCARTA_ALK_PATHWAY	brca	0.192209917501	0.912502351669	0.00214165057915	DVL1,HNF1A,SMAD1,SMAD6,TGFB2	1.96994664156	5	1416	27	15063
BIOCARTA_GCR_PATHWAY	brca	0.664437706595	1.0	0.00209137709138	AKT1,GNB1	1.32787174066	2	1419	16	15074
BIOCARTA_PTDINS_PATHWAY	brca	0.130551933348	0.900642213962	0.00230820882995	AKT1,PFKP,RAB5A,RAC1	2.2391263975	4	1417	19	15071
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	brca	0.456848121273	1.0	0.00317728442728	ATP6V1C1,ATP6V1C2,ATP6V1H	1.51813419303	3	1418	21	15069
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	brca	0.302332350154	0.966354438631	0.00820463320463	CD4	3.54154929577	1	1420	3	15087
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	brca	0.30967267238	0.966354438631	0.00282918386367	MCM4,MCM5,ORC4L,RPA3	1.70105857445	4	1417	25	15065
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	brca	0.485536523697	1.0	0.00127091377091	CUL1,PSMD2,PSMD3	0.557976393735	3	1418	57	15033
KEGG_ETHER_LIPID_METABOLISM	brca	0.163704477171	0.900642213962	0.000742500742501		0.0	0	1421	26	15064
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	brca	0.00976808962817	0.484344473495	0.00303043907695	CYB5R3,FUK,GALK2,HK1,MPI,PGM1,PGM2,UGDH,UXS1	2.8225295784	9	1412	34	15056
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	brca	0.765502417948	1.0	0.00135135135135	GRB2,PTPN1	0.643090524697	2	1419	33	15057
BIOCARTA_PTEN_PATHWAY	brca	0.198002107537	0.912502351669	0.00273487773488	AKT1,FASLG,GRB2	2.12623413258	3	1418	15	15075
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	brca	0.165191225789	0.900642213962	0.00179094757408	AR,HNF4G,MED16,NR1D1,NR4A1,NR5A2,RARA,SMAD3,SNW1,TEAD3,ZKSCAN4,ZNF140,ZNF20,ZNF222,ZNF254,ZNF3,ZNF398,ZNF439,ZNF585A,ZNF595,ZNF613	0.712813504823	21	1400	311	14779
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	brca	0.823500264786	1.0	0.00123255123255	ETFA,NDUFA5,NDUFA9,NDUFS2,NDUFV1,UQCRC1	1.08026591603	6	1415	59	15031
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	brca	0.705885391131	1.0	0.00146378717807	AKT1,CUL1,MAPKAP1,NR4A1,PSMD2,PSMD3	0.74853460819	6	1415	85	15005
BIOCARTA_PDGF_PATHWAY	brca	0.752929787972	1.0	0.00220197876448	GRB2,RAF1,STAT2	1.09875492437	3	1418	29	15061
KEGG_OLFACTORY_TRANSDUCTION	brca	0.255349767642	0.930423689187	0.000723938223938	CAMK2G	0.271776814735	1	1420	39	15051
BIOCARTA_SRCRPTP_PATHWAY	brca	1.0	1.0	0.000789750789751	GRB2	1.06197183099	1	1420	10	15080
KEGG_FATTY_ACID_METABOLISM	brca	0.0410307412442	0.727954287041	0.00375939849624	ACADVL,ACOX3,ACSL5,ADH5,ALDH9A1,HADHA,HADHB	2.40482274034	7	1414	31	15059
REACTOME_NCAM1_INTERACTIONS	brca	0.765413880456	1.0	0.00198728139905	CNTN2,COL1A2	0.663231148696	2	1419	32	15058
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	brca	0.831688418702	1.0	0.00159955874242	APP,MAPK11,PPP2R5D,RIPK2,TAB3	0.81622120817	5	1416	65	15025
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	brca	1.0	1.0	0.0029601029601	PAX6	0.758350100604	1	1420	14	15076
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	brca	0.467451695233	1.0	0.00510204081633	GABRB2	1.77042253521	1	1420	6	15084
BIOCARTA_DEATH_PATHWAY	brca	1.0	1.0	0.00166725166725	CASP6,DFFA	0.684671167792	2	1419	31	15059
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	brca	0.256571380957	0.930423689187	0.00159476246433		0.0	0	1421	23	15067
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	brca	0.488006973926	1.0	0.00240521551997	ACSL5,AKT1,TNFRSF1A	0.548319634259	3	1418	58	15032
SIG_CHEMOTAXIS	brca	0.405515426693	1.0	0.00255102040816	AKT1,CDC42,GDI2,ITPR3,PPP1R13B	1.43657428615	5	1416	37	15053
PID_TXA2PATHWAY	brca	0.464497945461	1.0	0.00273487773488	AKT1,FYN,GNB1,ICAM1,MAPK11,RAC1	1.32879858657	6	1415	48	15042
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	brca	0.555211490384	1.0	0.0040755040755	PAX6	1.32764084507	1	1420	8	15082
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	brca	1.0	1.0	0.0019305019305		0.0	0	1421	7	15083
PID_ALK1PATHWAY	brca	1.0	1.0	0.00297619047619	ENG,SMAD1	0.965340508681	2	1419	22	15068
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	brca	0.735047822125	1.0	0.00159765677007	CAP2,CDC42,RAC1	1.22577845286	3	1418	26	15064
BIOCARTA_CHREBP2_PATHWAY	brca	0.575058278611	1.0	0.00299475299475	FASN,PPP2R5D,YWHAH,YWHAZ	1.21423530598	4	1417	35	15055
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	brca	0.443324409685	1.0	0.00209837166359	ARSG,DHPS,SUMF1	1.59414668547	3	1418	20	15070
REACTOME_CTLA4_INHIBITORY_SIGNALING	brca	0.419625782578	1.0	0.00675675675676	AKT1,FYN,PPP2R5D	1.77150916784	3	1418	18	15072
REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	brca	0.483714673192	1.0	0.00106341208036	ELL,TAF9,WHSC2	0.567978037477	3	1418	56	15034
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	brca	1.0	1.0	0.00147085861372	ADCY4,CAMK4,ITPR3	0.816480416621	3	1418	39	15051
PID_DELTANP63PATHWAY	brca	0.179117896267	0.900642213962	0.000858000858001	FASN	0.240813060179	1	1420	44	15046
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	brca	1.0	1.0	0.00363825363825	ORC4L	0.88485915493	1	1420	12	15078
BIOCARTA_IL4_PATHWAY	brca	0.0075148040946	0.484344473495	0.00453667953668	AKT1,GRB2,IL2RG,JAK3	7.09668313338	4	1417	6	15084
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	brca	0.701177963481	1.0	0.00142489428204	APP,DDX58	1.11798523794	2	1419	19	15071
REACTOME_PHASE_II_CONJUGATION	brca	0.311398176057	0.969447151876	0.00242297691277	CNDP2,GSS,MAT2A,SULT1C4,UGDH,UGT2B4	1.48380310625	6	1415	43	15047
PID_FOXOPATHWAY	brca	0.0197556193262	0.54327953147	0.00229247104247	AKT1,CSNK1D,CSNK1E,CSNK1G3,FASLG,FBXO32,SKP2,YWHAH,YWHAZ	2.45984964044	9	1412	39	15051
KEGG_PRION_DISEASES	brca	0.512455061428	1.0	0.00228442728443	FYN	0.365735794075	1	1420	29	15061
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	brca	0.616089868345	1.0	0.000160875160875		0.0	0	1421	12	15078
REACTOME_IL_RECEPTOR_SHC_SIGNALING	brca	0.430849685519	1.0	0.00324675324675	GRB2,IL2RG,JAK3	1.67816049291	3	1418	19	15071
REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	brca	0.255349767642	0.930423689187	0.000844594594595	TAF9	0.271776814735	1	1420	39	15051
ST_P38_MAPK_PATHWAY	brca	0.0360510238243	0.727954287041	0.0029479286236	AKT1,CDC42,DUSP10,MAP3K10,MAPK11,MAPKAPK5,MKNK2	2.48514851485	7	1414	30	15060
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	brca	0.281634378712	0.94836066301	0.00121373141175	ELL,NUP35,NUP85,TAF9,WHSC2	0.551509533898	5	1416	96	14994
PID_IL27PATHWAY	brca	0.716664840153	1.0	0.00142689273124	STAT2	0.482330345711	1	1420	22	15068
