Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Recurrence	Affects_mutated_feature	PPI	Pannegative
brca	3786	KCNQ3	uc003ytj.2	uc010mdt.2	1	0	0	0
brca	10637	LEFTY1	uc001hpo.2	uc010pvj.1	1	0	0	1
brca	286223	C9orf47	uc004aqc.1	uc004aqd.2	1	0	0	1
brca	29986	SLC39A2	uc001vys.2	uc001vyr.2	1	0	0	0
brca	345193	LRIT3	uc003hzx.3	uc003hzw.3	1	0	0	0
brca	144193	AMDHD1	uc009zth.1	uc001tel.1	1	0	0	1
brca	961	CD47	uc003dwv.1	uc003dwt.1	1	0	0	3
brca	51676	ASB2	uc001ycd.2	uc001ycb.1	1	0	0	0
brca	94239	H2AFV	uc003tlz.2	uc003tma.2	1	0	0	0
brca	23265	EXOC7	uc002jqr.2	uc010wsx.1	1	0	0	3
brca	2054	STX2	uc001uip.2	uc001uio.2	1	1	0	3
brca	3371	TNC	uc010mvf.2	uc004bjj.3	1	1	0	1
brca	55763	EXOC1	uc003hbg.1	uc003hbe.1	1	0	0	3
brca	8034	SLC25A16	uc001joi.2	uc010qiy.1	1	0	0	0
brca	79861	TUBAL3	uc001ihz.2	uc001ihy.2	1	0	0	0
brca	6229	RPS24	uc001jzp.2	uc001jzq.2	1	0	0	1
brca	7423	VEGFB	uc001nyx.2	uc001nyw.2	1	0	0	1
brca	116985	ARAP1	uc010rre.1	uc001oss.2	0	0	0	0
brca	51117	COQ4	uc010mxy.2	uc004bur.3	1	0	0	1
brca	3223	HOXC6	uc001sev.2	uc001ses.2	1	0	0	1
brca	85021	REPS1	uc003qig.3	uc003qii.2	1	0	0	4
brca	414918	FAM116B	uc011arv.1	uc011aru.1	1	0	0	1
brca	51761	ATP8A2	uc010tdi.1	uc010tdj.1	1	0	0	0
brca	79752	ZFAND1	uc003ycj.1	uc003yck.1	1	0	0	1
brca	5660	PSAP	uc001jsm.2	uc001jsl.2	1	0	0	1
brca	8664	EIF3D	uc003apr.2	uc011amr.1	1	0	0	0
brca	10736	SIX2	uc002ruo.2	uc002rup.2	1	0	0	4
brca	79690	GAL3ST4	uc003utu.2	uc010lgq.2	1	0	0	0
brca	3363	HTR7	uc001kgz.2	uc001khb.2	1	0	0	0
brca	202051	SPATA24	uc003lem.2	uc003lek.2	1	0	0	1
brca	60528	ELAC2	uc002gnz.3	uc002gnw.3	1	0	0	0
brca	9708	PCDHGA8	uc003lkb.3	uc003lkd.1	1	0	0	0
brca	22843	PPM1E	uc010ddd.2	uc002iwx.2	1	1	0	0
brca	2220	FCN2	uc004cfh.1	uc004cfg.1	1	0	0	0
brca	2534	FYN	uc003pvj.2	uc003pvh.2	0	0	0	0
brca	122953	JDP2	uc001xrq.2	uc010tvc.1	0	0	0	0
brca	151651	EFHB	uc003cbm.2	uc003cbl.3	1	0	0	0
brca	6642	SNX1	uc002amv.2	uc010uio.1	1	0	0	1
brca	55699	IARS2	uc001hmc.2	uc001hmd.2	1	0	0	1
brca	8111	GPR68	uc001xzg.2	uc001xzh.2	1	0	0	0
brca	30818	KCNIP3	uc002suq.2	uc002sun.1	1	0	0	3
brca	284131	FLJ35220	uc002jym.1	uc002jyk.2	1	0	0	0
brca	22924	MAPRE3	uc002rhw.2	uc002rhx.2	1	0	0	0
brca	738	C11orf2	uc001ocr.1	uc001ocs.1	1	0	0	0
brca	345930	ECT2L	uc011edq.1	uc003qif.1	1	0	0	1
brca	92370	ACPL2	uc003etv.2	uc011bnb.1	1	0	0	0
brca	54503	ZDHHC13	uc001mpi.2	uc001mpj.2	1	0	0	0
brca	84310	C7orf50	uc003sjs.2	uc003sju.2	1	1	0	0
brca	51393	TRPV2	uc002gpy.2	uc002gpz.2	1	0	0	0
brca	80833	APOL3	uc003aos.2	uc003aot.2	1	0	0	1
brca	6130	RPL7A	uc004cdf.1	uc004cde.1	0	0	0	0
brca	399687	MYO18A	uc002hdt.1	uc002hdu.1	1	0	0	0
brca	56143	PCDHA5	uc003lhk.1	uc003lhl.2	1	0	0	0
brca	8833	GMPS	uc003faq.2	uc011bom.1	1	0	0	0
brca	55898	UNC45A	uc002bqg.2	uc002bqi.2	1	0	1	0
brca	131870	NUDT16	uc003eog.1	uc003eof.2	0	0	0	0
brca	79754	ASB13	uc001iig.2	uc001iii.2	1	0	1	1
brca	84939	MUM1	uc002lrz.2	uc002lsd.2	1	0	0	0
brca	7157	TP53	uc002gij.2	uc010cne.1	1	1	1	0
brca	51763	INPP5K	uc002fsr.2	uc010vql.1	1	0	0	0
brca	2064	ERBB2	uc002hso.2	uc010wek.1	1	1	0	1
brca	654346	LGALS9C	uc010vyb.1	uc002gtw.2	1	0	0	0
brca	9993	DGCR2	uc002zoq.1	uc011agr.1	1	0	0	0
brca	3818	KLKB1	uc003iyy.2	uc011clc.1	0	0	0	0
brca	79837	PIP4K2C	uc001sot.2	uc010srt.1	0	0	0	0
brca	3693	ITGB5	uc003eho.2	uc010hrx.2	1	0	0	0
brca	56905	C15orf39	uc002azq.3	uc002azr.3	1	0	0	0
brca	641455	P704P	uc001vwc.3	uc001vwb.3	1	0	0	0
brca	54487	DGCR8	uc002zri.2	uc002zrj.2	1	0	0	0
brca	4126	MANBA	uc003hwg.2	uc011ces.1	1	0	0	0
brca	55323	LARP6	uc002ass.2	uc002ast.2	1	0	0	1
brca	54881	TEX10	uc004bas.2	uc011lvf.1	1	0	0	0
brca	6307	SC4MOL	uc003ire.2	uc003irf.2	1	0	0	0
brca	63891	RNF123	uc003cxh.2	uc003cxi.2	1	1	0	0
brca	10531	PITRM1	uc001igt.1	uc001igs.1	1	0	0	0
brca	3275	PRMT2	uc002zjx.2	uc011agc.1	0	0	0	0
brca	3837	KPNB1	uc002ilt.1	uc010wkx.1	0	0	1	0
brca	56947	MFF	uc002vot.2	uc002voz.2	0	0	0	0
brca	23438	HARS2	uc003lgx.2	uc011czu.1	1	0	0	0
brca	9825	SPATA2	uc002xuw.2	uc010zyn.1	1	0	0	0
brca	7132	TNFRSF1A	uc001qnu.2	uc001qnt.2	1	1	0	0
brca	26015	RPAP1	uc001zod.2	uc001zoc.2	1	0	0	0
brca	79956	ERMP1	uc003zjm.1	uc010mhs.1	1	0	0	0
brca	127435	PODN	uc001cuv.2	uc010ons.1	1	0	0	0
brca	26508	HEYL	uc001cdp.2	uc010oiw.1	1	0	0	0
brca	1495	CTNNA1	uc003ldh.2	uc003ldl.2	1	0	0	0
brca	339287	MSL1	uc002huc.2	uc002hub.2	0	1	1	1
brca	9670	IPO13	uc001ckx.2	uc001cky.2	1	0	1	0
brca	84866	TMEM25	uc010rye.1	uc001pti.2	1	1	0	0
brca	11226	GALNT6	uc001ryk.2	uc001ryj.1	1	1	0	0
brca	83666	PARP9	uc003eff.3	uc003efg.2	1	0	0	0
brca	10318	TNIP1	uc003ltj.2	uc011dcn.1	1	0	0	0
brca	6510	SLC1A5	uc002pfs.2	uc002pfr.2	0	0	0	0
brca	920	CD4	uc001qqv.1	uc010sfk.1	1	1	1	0
brca	3032	HADHB	uc002rgz.2	uc010ykx.1	1	0	0	0
brca	10066	SCAMP2	uc002azb.1	uc002aza.1	1	0	0	0
brca	3326	HSP90AB1	uc003oxa.1	uc003oxc.1	1	1	1	0
brca	84886	C1orf198	uc009xfh.1	uc001hub.2	0	0	0	1
brca	5887	RAD23B	uc011lwb.1	uc004bde.2	1	0	0	1
brca	51495	PTPLAD1	uc002apc.2	uc010uiw.1	1	0	0	0
brca	200916	RPL22L1	uc003fhc.3	uc003fhb.3	1	0	0	0
brca	205564	SENP5	uc003fwz.3	uc011bty.1	1	0	0	0
brca	84629	TNRC18	uc003soi.3	uc003soj.2	1	0	0	0
brca	5251	PHEX	uc004dah.2	uc011mjs.1	0	0	0	0
