Tumor	GeneSet	pval	fdr5	OR	SwitchedGenes
brca	AMINE_CATABOLIC_PROCESS	1.0	1.0	0.0	
brca	MACROMOLECULAR_COMPLEX_ASSEMBLY	0.09149252958079315	0.4356733672781763	2.4284708957474614	AMFR,EIF3B,MED16,TP53
brca	CELLULAR_RESPONSE_TO_STIMULUS	0.004939540191211015	0.05992824496689834	22.30909090909091	SREBF1,TP53
brca	TRANSITION_METAL_ION_TRANSPORT	1.0	1.0	0.0	
brca	LIPID_CATABOLIC_PROCESS	1.0	1.0	0.0	
brca	MICROTUBULE_BASED_MOVEMENT	1.0	1.0	0.0	
brca	ADAPTIVE_IMMUNE_RESPONSE	1.0	1.0	0.0	
brca	SEXUAL_REPRODUCTION	0.027333850599571576	0.19956129862519073	4.866427432216906	CD4,MAST2,TESK1
brca	NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	1.0	1.0	0.0	
brca	POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	0.0637618311867598	0.3619012897123897	5.097083333333333	SQSTM1,TP53
brca	CELL_CYCLE_CHECKPOINT_GO_0000075	0.2700494701486393	0.7526716651102278	3.2764249397912764	NAE1
brca	MITOCHONDRIAL_TRANSPORT	0.1312517500038367	0.5036404360612339	7.5897277227722775	TP53
brca	PROTEIN_DNA_COMPLEX_ASSEMBLY	0.21997442939345077	0.6412682128961021	4.182997610105838	MED16
brca	NEGATIVE_REGULATION_OF_GROWTH	0.02675187244799895	0.19705620329999224	8.449655172413793	ING5,TP53
brca	CELLULAR_BIOSYNTHETIC_PROCESS	0.0027485552508349463	0.03978172073576896	4.020957370802572	AKT1,EIF3B,HSP90AB1,MAST2,PTGES3,TGFB2,UPF1
brca	GLAND_DEVELOPMENT	1.0	1.0	0.0	
brca	HOMOPHILIC_CELL_ADHESION	1.0	1.0	0.0	
brca	NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	0.40690499854022977	1.0	1.951293516448419	CTCF
brca	NEGATIVE_REGULATION_OF_DNA_REPLICATION	1.0	1.0	0.0	
brca	ESTABLISHMENT_OF_VESICLE_LOCALIZATION	1.0	1.0	0.0	
brca	NEUROPEPTIDE_SIGNALING_PATHWAY	1.0	1.0	0.0	
brca	CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.1384175531327248	0.5174912937754911	7.142690739662202	MTA2
brca	FATTY_ACID_METABOLIC_PROCESS	0.35013774936145303	0.8943146849015441	2.374296253154727	PTGES3
brca	CALCIUM_MEDIATED_SIGNALING	1.0	1.0	0.0	
brca	POSITIVE_REGULATION_OF_CELL_PROLIFERATION	0.2112480068553912	0.6269050563154595	2.3880392156862746	CD81,TGFB2
brca	MEIOTIC_RECOMBINATION	1.0	1.0	0.0	
brca	VESICLE_MEDIATED_TRANSPORT	0.033845054335053554	0.23662855785101	3.440192743764172	CYTH1,CYTH2,SPTBN2,SQSTM1
brca	REGULATION_OF_CYTOKINE_SECRETION	1.0	1.0	0.0	
brca	TRIACYLGLYCEROL_METABOLIC_PROCESS	1.0	1.0	0.0	
brca	RESPONSE_TO_STRESS	7.94320968441857e-06	0.0007331239436305716	5.008685264109518	AKT1,AMFR,ATXN3,CSNK1D,DNAJA1,F11R,MAP4K2,NAE1,SQSTM1,SREBF1,TGFB2,TP53,UPF1
brca	VACUOLE_ORGANIZATION_AND_BIOGENESIS	1.0	1.0	0.0	
brca	REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.023606720427098427	0.18548137478434482	9.077037037037037	CCND3,CCNG1
brca	POSITIVE_REGULATION_OF_PROTEIN_SECRETION	1.0	1.0	0.0	
brca	PHOSPHOINOSITIDE_BIOSYNTHETIC_PROCESS	0.15956566135454936	0.5351287423475741	6.06980198019802	CD81
brca	DEFENSE_RESPONSE_TO_VIRUS	1.0	1.0	0.0	
brca	NEGATIVE_REGULATION_OF_TRANSCRIPTION	0.1122387252072524	0.4668390990080687	2.6470459995639852	CTCF,GATAD2A,MYST1
brca	REGULATION_OF_JNK_CASCADE	1.0	1.0	0.0	
brca	CELLULAR_PROTEIN_METABOLIC_PROCESS	5.0512612864741725e-08	2.0065086418828e-05	4.345964380447139	AKT1,AMFR,CAMK4,CCND3,CD81,CSNK1D,CTSH,DNAJA1,EIF3B,FBXL2,ING5,JAK3,MAP3K10,MAP4K2,MAST2,MKKS,MYST1,NAE1,NPLOC4,PIM1,QSOX1,SQSTM1,UBE2E2,UPF1
brca	REGULATION_OF_SIGNAL_TRANSDUCTION	0.1629512578828042	0.536572789151822	2.211573566995254	FASLG,MYD88,SQSTM1
brca	MICROTUBULE_BASED_PROCESS	1.0	1.0	0.0	
brca	DNA_FRAGMENTATION_DURING_APOPTOSIS	1.0	1.0	0.0	
brca	T_CELL_ACTIVATION	0.23280326836674667	0.669208001402669	3.912488022995848	CD4
brca	GAMETE_GENERATION	0.10533827048082262	0.4556282099773637	3.758769230769231	MAST2,TESK1
brca	POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	1.0	1.0	0.0	
brca	NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.054420275508402956	0.3363820735547231	3.6543654365436544	ING5,QSOX1,TGFB2
brca	PROTEIN_MATURATION	1.0	1.0	0.0	
brca	RESPONSE_TO_HEAT	0.06404556157334412	0.3619012897123897	17.360678925035362	AKT1
brca	LIPID_METABOLIC_PROCESS	0.45166947882142594	1.0	1.5399565272982993	CD81,PTGES3,SREBF1
brca	RESPONSE_TO_ENDOGENOUS_STIMULUS	0.009311711466177321	0.09037837599525048	4.140779681846112	ATXN3,CSNK1D,NAE1,TP53,UPF1
brca	NEURON_DIFFERENTIATION	0.32258677824350634	0.8448701334948975	2.633448127421438	TGFB2
brca	IMMUNE_EFFECTOR_PROCESS	1.0	1.0	0.0	
brca	NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.0945279184761134	0.4356733672781763	11.044104410441044	TGFB2
brca	REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	1.0	1.0	0.0	
brca	REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.025582186552150474	0.1936266413350839	4.998771498771498	FASLG,MYD88,SQSTM1
brca	NEGATIVE_REGULATION_OF_APOPTOSIS	0.06642305848988327	0.37026367063617366	3.352892561983471	HSPA9,PEA15,PIM1
brca	CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	1.0	1.0	0.0	
brca	RNA_3END_PROCESSING	1.0	1.0	0.0	
brca	REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1.0	1.0	0.0	
