GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
RAS_PROTEIN_SIGNAL_TRANSDUCTION	brca	1.0	1.0	0.00274493243243	ARAP1,ARHGAP27,CRKL,GNB1,GRB2,RAC1	0.875858100869	6	1738	58	14715
MYELOID_CELL_DIFFERENTIATION	brca	0.370937684194	1.0	0.00298916427949	ACIN1,CDC42,IFI16,INHBA,MYST1	1.63080019463	5	1739	26	14747
REGULATION_OF_PH	brca	0.640151510829	1.0	0.00408375408375	PPT1,SLC9A1	1.54075774971	2	1742	11	14762
INTERCELLULAR_JUNCTION_ASSEMBLY	brca	1.0	1.0	0.00544050544051	GJA5	0.846987951807	1	1743	10	14763
CARBOXYLIC_ACID_METABOLIC_PROCESS	brca	0.0526409340219	0.825435700585	0.00274679441346	AARS,ACADVL,ACOT2,ACOX3,AGPAT1,DARS,DDAH1,DDO,FAAH,FAH,GBA2,GSS,HACL1,HADHB,IDO1,MCCC2,MTHFD2,PEPD,PTGES3,RARS,SC4MOL,SLC25A15,TNFRSF1A,UGDH,YARS	1.55369570664	25	1719	137	14636
RESPONSE_TO_EXTERNAL_STIMULUS	brca	0.416013598087	1.0	0.00220893970894	ADORA3,ALOX15,APOL3,ASNS,CCL20,CD40LG,F11R,GPR68,GRM6,HRH1,INHBA,LTB4R,MIA3,PLAU,RAC1,RIPK2,RNASE2,SREBF1,TFPI,TGFB2,TNFRSF1A,TP53,VPS45	0.819678481503	23	1721	237	14536
BIOPOLYMER_MODIFICATION	brca	0.0699645763053	0.825435700585	0.00233875561744	ADAR,AKT1,ALG2,AMFR,APH1A,AURKC,B3GNT5,BACE2,CAMK4,CCND3,CD37,CD81,CSNK1D,CSNK1E,CSNK1G3,DDB2,DNMT1,DOLPP1,DUSP10,ERBB2,FBXL2,FES,FNTA,FUT2,FUT8,GAL3ST1,GALNT2,GALNT6,GALNT7,GATAD2A,HAT1,HDAC11,ING4,ING5,JAK3,KDM4A,LATS2,LOXL2,LRP2,MAP3K10,MAP4K2,MAST2,MERTK,MGAT4A,MKNK2,MYST1,NAE1,NCSTN,PCMT1,PGGT1B,PHEX,PHKA2,PIGB,PIGC,PIGS,PIGT,PIGV,PIM1,POFUT1,PPME1,PRMT2,PRMT5,PRMT7,PTK2B,PTPRN2,PTPRT,QPCT,QSOX1,RAF1,RET,SGK3,SLC35A1,ST8SIA2,STT3A,TRIB1,UBE2E1,UBE2E2,WNK3	1.25328101165	78	1666	532	14241
NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	brca	0.326451613977	1.0	0.00412425412425	DHCR24,DNAJB6	1.88340349534	2	1742	9	14764
MRNA_SPLICE_SITE_SELECTION	brca	0.385220234605	1.0	0.00111375111375		0.0	0	1744	13	14760
NERVOUS_SYSTEM_DEVELOPMENT	brca	0.648103781984	1.0	0.00224532224532	ATXN3,B3GNT5,CTF1,CTNS,DCX,ENC1,GSS,HEYL,JARID2,MDGA1,MYO16,NCKAP1,NPTN,NRGN,PAX6,PBX1,PCDH1,PCDHA5,PCDHA7,PLP1,PMP22,PPP2R5D,PPT1,RTN1,SIAH1,SMPD1,ST8SIA2,TGFB2,TRIM3,YWHAH,ZNF384	0.891241844081	31	1713	294	14479
