GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
RAS_PROTEIN_SIGNAL_TRANSDUCTION	brca	0.821728971732	1.0	0.00274493243243	ARAP1,ARHGAP27,CRKL,GNB1,GRB2,RAC1	1.09896429877	6	1415	58	15032
MYELOID_CELL_DIFFERENTIATION	brca	0.336516482734	0.999569167377	0.00298916427949	ACIN1,CDC42,IFI16,MYST1	1.57484513448	4	1417	27	15063
REGULATION_OF_PH	brca	0.309641562256	0.999569167377	0.00408375408375	PPT1,SLC9A1	1.93209046063	2	1419	11	15079
INTERCELLULAR_JUNCTION_ASSEMBLY	brca	0.614944247943	0.999569167377	0.00544050544051		0.0	0	1421	11	15079
CARBOXYLIC_ACID_METABOLIC_PROCESS	brca	0.0159316861956	0.630000868651	0.00274679441346	AARS,ACADVL,ACOT2,ACOX3,DARS,DDAH1,DDO,FAAH,GBA2,GSS,HACL1,HADHB,IDO1,MCCC2,MTHFD2,PEPD,PTGES3,RARS,SC4MOL,SLC25A15,TNFRSF1A,UGDH,YARS	1.76960405924	23	1398	139	14951
RESPONSE_TO_EXTERNAL_STIMULUS	brca	0.117481754361	0.923070927119	0.00220893970894	ALOX15,APOL3,ASNS,CD40LG,F11R,GPR68,MIA3,PLAU,RAC1,RIPK2,SREBF1,TGFB2,TNFRSF1A,TP53,VPS45	0.646427845676	15	1406	245	14845
BIOPOLYMER_MODIFICATION	brca	0.0122857441617	0.630000868651	0.00233875561744	ADAR,AKT1,ALG2,AMFR,APH1A,AURKC,BACE2,CAMK4,CCND3,CD37,CD81,CSNK1D,CSNK1E,CSNK1G3,DDB2,DNMT1,DOLPP1,DUSP10,ERBB2,FBXL2,FES,FNTA,FUT8,GALNT2,GALNT6,GALNT7,GATAD2A,HAT1,HDAC11,ING4,ING5,JAK3,KDM4A,LOXL2,LRP2,MAP3K10,MAP4K2,MAST2,MERTK,MGAT4A,MKNK2,MYST1,NAE1,NCSTN,PCMT1,PGGT1B,PHEX,PHKA2,PIGB,PIGT,PIGV,PIM1,POFUT1,PPME1,PRMT2,PRMT5,PRMT7,PTK2B,PTPRN2,PTPRT,QPCT,QSOX1,RAF1,RET,SGK3,SLC35A1,TRIB1,UBE2E1,UBE2E2,WNK3	1.39608520438	70	1351	540	14550
NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	brca	0.243461889745	0.999569167377	0.00412425412425	DHCR24,DNAJB6	2.36175710594	2	1419	9	15081
MRNA_SPLICE_SITE_SELECTION	brca	0.619892360269	0.999569167377	0.00111375111375		0.0	0	1421	13	15077
NERVOUS_SYSTEM_DEVELOPMENT	brca	0.617905170368	0.999569167377	0.00224532224532	ATXN3,CTF1,CTNS,DCX,ENC1,GSS,HEYL,JARID2,MDGA1,MYO16,NPTN,PAX6,PBX1,PCDH1,PCDHA5,PCDHA7,PLP1,PPP2R5D,PPT1,RTN1,SIAH1,TGFB2,TRIM3,YWHAH,ZNF384	0.88287965616	25	1396	300	14790
NEUROLOGICAL_SYSTEM_PROCESS	brca	0.364736163186	0.999569167377	0.00357104704931	ACCN3,ALDH9A1,ATXN3,CHRNA10,CNP,CRYZ,CTNS,DHRS3,EML2,GABRB2,GCH1,GPR176,HTR7,KCNQ3,LUM,NPTN,OAT,PAX6,PITPNA,PLP1,RDH10,SYN1,TGFB2,TRPV2,WDR1,YWHAH	1.22033694914	26	1395	227	14863
G1_PHASE_OF_MITOTIC_CELL_CYCLE	brca	0.616089868345	0.999569167377	0.00112612612613		0.0	0	1421	12	15078
DNA_DAMAGE_RESPONSESIGNAL_TRANSDUCTION_RESULTING_IN_INDUCTION_OF_APOPTOSIS	brca	0.374560136532	0.999569167377	0.00501930501931	IFI16,TP53	1.63462893695	2	1419	13	15077
CALCIUM_ION_TRANSPORT	brca	0.688593090841	1.0	0.00159266409266	ATP2A1,STIM1	1.18017383134	2	1419	18	15072
CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	brca	0.0621810834606	0.703628698289	0.00623025623026	ASNS,SREBF1,TP53	3.98854019746	3	1418	8	15082
DIGESTION	brca	0.253176429332	0.999569167377	0.00131625131625		0.0	0	1421	22	15068
MACROMOLECULAR_COMPLEX_ASSEMBLY	brca	0.582734609505	0.999569167377	0.00229563431811	AMFR,CDC42,COX10,DARS,EIF3B,EIF3D,FAF1,KIFAP3,MED16,MTIF2,MUC20,PBX1,PTK2B,PXN,SCUBE3,SEPT7,SMAD3,STOM,TP53,TUBGCP2	0.85786034845	20	1401	247	14843
POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	brca	0.653181633679	1.0	0.00333167268651	ELL3,HIF1A,SMAD3,SQSTM1,TNFRSF1A,TP53	1.13836446239	6	1415	56	15034
VIRAL_GENOME_REPLICATION	brca	0.688593090841	1.0	0.00260617760618	DEK,TNIP1	1.18017383134	2	1419	18	15072
ORGANELLE_ORGANIZATION_AND_BIOGENESIS	brca	0.931996358018	1.0	0.00262488068724	ACIN1,ARAP1,ARHGAP10,CDC42,CP110,CYTH2,DFFA,DNAJB6,FLNB,FSCN1,GOLGA5,HDAC11,HDAC8,KDM4A,KIFAP3,LASP1,MAP1LC3A,MTA2,MYL6,MYST1,NEXN,NOLC1,NPLOC4,PAPD7,POT1,PPT1,PREX1,PRMT7,PTGES3,RAC1,RHOT1,RHOT2,SLC25A15,SMARCC2,STX5,TINF2,TP53,TPD52L1,TUBGCP2	1.01041262222	39	1382	410	14680
ANATOMICAL_STRUCTURE_MORPHOGENESIS	brca	0.313058385872	0.999569167377	0.00246169349943	AES,ARAP1,CAP2,CCM2,CDC42,CUL7,DGCR2,DVL1,ENG,FLI1,HOXA11,LZTR1,NR5A2,PAX6,RAC1,SIAH1,SIX2,SOX13,STX2,TBX1,TGFB2,YWHAH	0.785957150861	22	1399	296	14794
SPLICEOSOME_ASSEMBLY	brca	0.251744316958	0.999569167377	0.000873322301894		0.0	0	1421	21	15069
EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	brca	1.0	1.0	0.00124103695532	GRB2	0.530633802817	1	1420	20	15070
BEHAVIOR	brca	0.0248167640483	0.703628698289	0.00162337662338	FYN,PLAU,TGFB2	0.296251136918	3	1418	107	14983
ION_HOMEOSTASIS	brca	0.220034001849	0.999569167377	0.00160268084796	APP,CP,MTL5,PPT1,SLC9A1	0.524032276109	5	1416	101	14989
CHROMATIN_REMODELING	brca	0.716664840153	1.0	0.000671478932348	SMARCC2	0.482330345711	1	1420	22	15068
TRANSLATION	brca	0.4031970664	0.999569167377	0.00284895284895	AARS,BACE2,DARS,DDX25,DHPS,DPH1,EIF3B,EIF3D,ETF1,MAST2,MTIF2,RARS,RPL7A,RRBP1,TNIP1,UPF1,YARS	1.22244359744	17	1404	148	14942
REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	brca	0.471236133612	0.999569167377	0.00482625482625	ARAP1,CDC42,YWHAH	1.44903192717	3	1418	22	15068
NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	brca	0.765502417948	1.0	0.00259238830667	PDCD4,RGS3	0.643090524697	2	1419	33	15057
REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	brca	0.0948715449807	0.841602415151	0.00935550935551	ARAP1,ARHGAP27,RAC1	3.1904090268	3	1418	10	15080
CHROMOSOME_SEGREGATION	brca	1.0	1.0	0.00211148648649	ARL8B,PAPD7	0.707540521494	2	1419	30	15060
DNA_DEPENDENT_DNA_REPLICATION	brca	0.321914143698	0.999569167377	0.00189407736578	ORC4L,RAD9A	0.415619947768	2	1419	51	15039
HEMOSTASIS	brca	0.771558744701	1.0	0.0018315018315	CD40LG,FLI1	0.573414852485	2	1419	37	15053
REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS	brca	0.153818304888	0.985828720407	0.00717905405405	FAF1,SMAD3,TNFSF14	2.45367256157	3	1418	13	15077
