GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
HALLMARK_PANCREAS_BETA_CELLS	brca	0.500473434423	0.768093371248	0.00366795366795	DCX,HNF1A,PAX6	1.15537047674	3	1741	22	14751
HALLMARK_TGF_BETA_SIGNALING	brca	0.512062247499	0.768093371248	0.00237737737738	BCAR3,ENG,FNTA,SMAD1,SMAD3,SMAD6	1.05904775604	6	1738	48	14725
HALLMARK_IL2_STAT5_SIGNALING	brca	0.250492477319	0.558372556766	0.00207824442518	ADAM19,CCND3,CD79B,CD81,CD83,DHRS3,FAH,ICOS,IFNGR1,IL1R2,IL3RA,LCLAT1,NDRG1,NFKBIZ,NT5E,ODC1,P2RX4,P4HA1,PIM1,PLSCR1,SLC1A5,SPP1,SYT11,TRAF1	1.18450513791	24	1720	172	14601
HALLMARK_BILE_ACID_METABOLISM	brca	0.490526746659	0.768093371248	0.00218146718147	ACSL5,ALDH9A1,AR,BCAR3,DHCR24,EFHC1,HACL1,IDI1,LONP2,NUDT12,SLC35B2	1.04724547288	11	1733	89	14684
HALLMARK_MITOTIC_SPINDLE	brca	0.453014853643	0.745282501154	0.00200772200772	ACTN4,ARHGAP10,ARHGAP27,CDC42,CEP57,CSNK1D,CTTN,CYTH2,FBXO5,FLNB,FSCN1,KATNA1,KIF3C,KIFAP3,KNTC1,NET1,NIN,PREX1,PXN,RHOT2,STAU1,TUBGCP2	1.04754727323	22	1722	178	14595
HALLMARK_KRAS_SIGNALING_DN	brca	0.764345234496	0.813571530078	0.00187687687688	CAMK1D,CD40LG,CLSTN3,EDN1,ENTPD7,FGGY,HNF1A,KCND1,PPYR1,SERPINB2,SLC29A3,SPTBN2,TGFB2	0.839412421007	13	1731	131	14642
HALLMARK_ESTROGEN_RESPONSE_LATE	brca	0.959976676431	0.977585342408	0.00158084469309	AMFR,CKB,DHCR7,FLNB,IMPA2,NPY1R,OPN3,PDCD4,PLA2G16,RET,SERPINA1,SLC1A4,TPD52L1,UGDH	0.648777234326	14	1730	182	14591
HALLMARK_ADIPOGENESIS	brca	0.617913180035	0.768623711751	0.00223762723763	APLP2,BCL2L13,DHCR7,ESRRA,FAH,IDH3A,IFNGR1,MCCC1,NDUFA5,PDCD4,PGM1,PQLC3,PREB,RTN3,SLC1A5,STOM,UBC,UBQLN1,UQCRC1,VEGFB	0.951210928335	20	1724	178	14595
HALLMARK_P53_PATHWAY	brca	0.617913180035	0.768623711751	0.001911001911	ABHD4,APP,CCND3,CCNG1,CD81,CP110,DDB2,DRAM1,EI24,MKNK2,NDRG1,PLXNB2,PRMT2,PROCR,RAD9A,SEC61A1,STOM,TAP1,TP53,TPD52L1	0.951210928335	20	1724	178	14595
HALLMARK_HEME_METABOLISM	brca	0.0363507924385	0.264841487766	0.00298742477513	ACP5,ASNS,BCAM,CCND3,CTNS,DARC,DCAF11,FBXO7,GDE1,GMPS,HAGH,IGSF3,LAMP2,MPP1,MYL4,NARF,NFE2,NNT,PPP2R5B,PQLC1,RANBP10,RBM38,RBM5,RCL1,RNF123,SDCBP,SLC6A8	1.51260996843	27	1717	152	14621
