Tumor	GeneSet	pval	fdr5	OR	SwitchedGenes
brca	KRAS.LUNG.BREAST_UP.V1_DN	0.4721029373582853	1.0	1.5900208441896821	SPTBN2
brca	CAMP_UP.V1_DN	0.1589792804562233	1.0	2.238913525498891	DNAJA1,RERE,UBE2E2
brca	SNF5_DN.V1_UP	1.0	1.0	0.0	
brca	MTOR_UP.V1_UP	1.0	1.0	0.0	
brca	STK33_NOMO_UP	0.5289375976457598	1.0	1.1385849056603774	ICAM1,SQSTM1
brca	SNF5_DN.V1_DN	0.24160958856945608	1.0	2.173035714285714	GATAD2A,NFKBIZ
brca	JNK_DN.V1_UP	0.6280566365996882	1.0	1.0205571404598086	EPHA3
brca	ERB2_UP.V1_UP	0.7056904301442386	1.0	0.8229350332293504	SPTBN2
brca	PRC1_BMI_UP.V1_UP	0.5990338217967197	1.0	1.105640839313289	SPTBN2
brca	KRAS.PROSTATE_UP.V1_UP	1.0	1.0	0.0	
brca	MEK_UP.V1_DN	1.0	1.0	0.0	
brca	GCNP_SHH_UP_EARLY.V1_DN	1.0	1.0	0.0	
brca	EGFR_UP.V1_DN	0.7224445418158204	1.0	0.7848314243189025	CTSH
brca	KRAS.KIDNEY_UP.V1_DN	1.0	1.0	0.0	
brca	SIRNA_EIF4GI_DN	0.44967609099642625	1.0	1.7026913959001535	MYD88
brca	KRAS.AMP.LUNG_UP.V1_UP	0.41668546877093526	1.0	1.890006188118812	JAK3
brca	CRX_NRL_DN.V1_UP	0.5493709011250133	1.0	1.2700364773319437	ARHGAP10
brca	CORDENONSI_YAP_CONSERVED_SIGNATURE	0.2997158889522167	1.0	2.885195662423385	TGFB2
brca	CRX_DN.V1_UP	0.5301963145878822	1.0	1.341144114411441	ARHGAP10
brca	PTEN_DN.V2_UP	1.0	1.0	0.0	
brca	BMI1_DN_MEL18_DN.V1_UP	0.04825146817326646	1.0	3.8462752525252526	PIM1,PLEKHO1,TGFB2
brca	WNT_UP.V1_DN	0.20522093095784005	1.0	2.4362	CD79B,CYTH1
brca	P53_DN.V2_UP	0.44967609099642625	1.0	1.7026913959001535	TP53
brca	KRAS.50_UP.V1_UP	1.0	1.0	0.0	
brca	BCAT_GDS748_UP	1.0	1.0	0.0	
brca	STK33_SKM_UP	0.4821084035481195	1.0	1.2460824742268042	NFKBIZ,SQSTM1
brca	NRL_DN.V1_UP	0.5262655479648093	1.0	1.3563243964845924	ARHGAP10
brca	MEK_UP.V1_UP	0.1339569525141351	1.0	2.434276540236805	CBLB,PPP1R13B,SPTBN2
brca	IL21_UP.V1_DN	1.0	1.0	0.0	
brca	DCA_UP.V1_DN	0.28744593741883534	1.0	1.914015748031496	NR4A1,PPP1R13B
brca	CRX_NRL_DN.V1_DN	0.14646663854891018	1.0	3.05025	NR4A1,QSOX1
brca	STK33_SKM_DN	0.7859840937106388	1.0	0.650936289281102	CAMK4
brca	CYCLIN_D1_UP.V1_UP	0.6521024642041533	1.0	0.9551312274084551	ARCN1
brca	JAK2_DN.V1_UP	0.545599017970609	1.0	1.2836528333684432	EPHA3
brca	KRAS.LUNG_UP.V1_UP	0.5183060588258	1.0	1.3877318766359394	JAK3
brca	KRAS.BREAST_UP.V1_UP	0.45423567501527956	1.0	1.6789053905390539	IL2RG
brca	KRAS.PROSTATE_UP.V1_DN	1.0	1.0	0.0	
brca	CTIP_DN.V1_DN	1.0	1.0	0.0	
brca	MTOR_UP.N4.V1_DN	1.0	1.0	0.0	
brca	IL15_UP.V1_UP	0.6342180832059545	1.0	1.0033828382838283	PIM1
brca	ATF2_S_UP.V1_DN	1.0	1.0	0.0	
brca	RB_P130_DN.V1_DN	0.20522093095784005	1.0	2.4362	ASB13,DYNC1I2
brca	AKT_UP.V1_DN	1.0	1.0	0.0	
brca	RAPA_EARLY_UP.V1_UP	1.0	1.0	0.0	
brca	HOXA9_DN.V1_UP	1.0	1.0	0.0	
brca	VEGF_A_UP.V1_UP	0.6663425881988867	1.0	0.9182979366638954	ICAM1
brca	PRC1_BMI_UP.V1_DN	1.0	1.0	0.0	
brca	WNT_UP.V1_UP	0.5990338217967197	1.0	1.105640839313289	MAST2
brca	ATM_DN.V1_DN	1.0	1.0	0.0	
brca	BRCA1_DN.V1_DN	0.14646663854891018	1.0	3.05025	GATAD2A,PLEKHO1
brca	ESC_J1_UP_LATE.V1_UP	0.6402784462485589	1.0	0.9867716279824704	CTSH
brca	CAMP_UP.V1_UP	0.3865602546669259	1.0	1.515125	HNRNPU,HSPA9
brca	KRAS.LUNG_UP.V1_DN	0.5183060588258	1.0	1.3877318766359394	SPTBN2
brca	LTE2_UP.V1_UP	1.0	1.0	0.0	
brca	CAHOY_ASTROCYTIC	1.0	1.0	0.0	
brca	TGFB_UP.V1_DN	0.6549978255517496	1.0	0.9475325485304436	SKP2
brca	PRC2_EDD_UP.V1_UP	1.0	1.0	0.0	
brca	MTOR_UP.V1_DN	1.0	1.0	0.0	
brca	YAP1_DN	1.0	1.0	0.0	
brca	CYCLIN_D1_UP.V1_DN	0.6691205700736192	1.0	0.9112661266126613	CAMK4
brca	CSR_EARLY_UP.V1_DN	0.6121997593509827	1.0	1.0661526329624114	SKP2
brca	NOTCH_DN.V1_DN	0.5854254257174947	1.0	1.1481376709099482	KLHL12
brca	E2F1_UP.V1_UP	0.1193181442655865	1.0	2.572155117609663	BOK,PIM1,TAF9
brca	PKCA_DN.V1_UP	0.5854254257174947	1.0	1.1481376709099482	NECAB2
brca	PRC2_EZH2_UP.V1_DN	1.0	1.0	0.0	
brca	IL2_UP.V1_DN	1.0	1.0	0.0	
brca	BMI1_DN.V1_DN	1.0	1.0	0.0	
brca	PRC2_SUZ12_UP.V1_UP	0.6186212766365007	1.0	1.0474386569091692	MYST1
brca	LTE2_UP.V1_DN	1.0	1.0	0.0	
brca	P53_DN.V1_UP	1.0	1.0	0.0	
brca	CRX_DN.V1_DN	1.0	1.0	0.0	
brca	ATF2_UP.V1_DN	0.6578693246868728	1.0	0.940052599009901	PIM1
brca	YAP1_UP	0.24542315020996042	1.0	3.674767476747675	CAMK4
brca	CAHOY_ASTROGLIAL	0.43105748909445596	1.0	1.8049357174523422	CCNG1
brca	KRAS.600_UP.V1_UP	1.0	1.0	0.0	
brca	VEGF_A_UP.V1_DN	0.6905353928155853	1.0	0.8586280056577086	CSE1L
brca	CYCLIN_D1_KE_.V1_UP	0.30573933902732875	1.0	1.826766917293233	ARCN1,STAM
brca	PIGF_UP.V1_UP	0.37480359132003405	1.0	1.5544871794871795	MAST2,TAF9
brca	GLI1_UP.V1_UP	1.0	1.0	0.0	
brca	GCNP_SHH_UP_LATE.V1_UP	0.7056904301442386	1.0	0.8229350332293504	BOK
brca	BCAT.100_UP.V1_DN	1.0	1.0	0.0	
brca	HINATA_NFKB_MATRIX	1.0	1.0	0.0	
brca	E2F1_UP.V1_DN	0.7177564596478981	1.0	0.7953576814635106	NFKBIZ
brca	RB_P107_DN.V1_UP	0.574919929946031	1.0	1.1821976315278586	CD81
brca	ALK_DN.V1_DN	1.0	1.0	0.0	
brca	BMI1_DN_MEL18_DN.V1_DN	0.2203215488127156	1.0	2.319238095238095	CTSH,MTA2
brca	CSR_EARLY_UP.V1_UP	0.6089489683693625	1.0	1.0757602545968883	DNAJA1
brca	CAHOY_OLIGODENDROCUTIC	1.0	1.0	0.0	
brca	P53_DN.V2_DN	0.4851221307844241	1.0	1.529264318836947	SREBF1
brca	ESC_J1_UP_EARLY.V1_DN	1.0	1.0	0.0	
brca	CTIP_DN.V1_UP	1.0	1.0	0.0	
brca	EIF4E_UP	1.0	1.0	0.0	
brca	TBK1.DN.48HRS_UP	1.0	1.0	0.0	
brca	CAHOY_NEURONAL	1.0	1.0	0.0	
brca	KRAS.300_UP.V1_DN	0.49362444028182395	1.0	1.4912602371348247	SPTBN2
brca	RB_P107_DN.V1_DN	1.0	1.0	0.0	
brca	SRC_UP.V1_DN	0.6217924374490387	1.0	1.038323659952202	TREML1
brca	RELA_DN.V1_UP	1.0	1.0	0.0	
brca	PIGF_UP.V1_DN	1.0	1.0	0.0	
brca	P53_DN.V1_DN	0.326973884867251	1.0	1.7344285714285714	NR4A1,VPS41
brca	RB_DN.V1_DN	0.5102141705311506	1.0	1.4206173558532325	CYTH1
brca	ERB2_UP.V1_DN	1.0	1.0	0.0	
brca	TBK1.DN.48HRS_DN	1.0	1.0	0.0	
brca	KRAS.600.LUNG.BREAST_UP.V1_UP	1.0	1.0	0.0	
brca	PRC2_SUZ12_UP.V1_DN	0.6311500990153441	1.0	1.011897828438306	FMNL1
brca	KRAS.DF.V1_DN	0.6462393680037146	1.0	0.9706962631747046	MPP3
brca	CSR_LATE_UP.V1_DN	1.0	1.0	0.0	
brca	BCAT.100_UP.V1_UP	1.0	1.0	0.0	
brca	RPS14_DN.V1_DN	1.0	1.0	0.0	
brca	PRC2_EZH2_UP.V1_UP	0.2813361393839449	1.0	1.94496	CAMK4,SKP2
brca	BCAT_BILD_ET_AL_UP	0.24542315020996042	1.0	3.674767476747675	ACTN4
brca	RAF_UP.V1_UP	1.0	1.0	0.0	
brca	NOTCH_DN.V1_UP	0.18430046084130555	1.0	2.6210752688172043	PIAS3,SPTBN2
brca	ESC_V6.5_UP_LATE.V1_DN	0.6746080082912032	1.0	0.8975173636766661	ICAM1
brca	GCNP_SHH_UP_LATE.V1_DN	0.2691075758745805	1.0	2.009917355371901	ACTN4,EPHA3
brca	KRAS.LUNG.BREAST_UP.V1_UP	1.0	1.0	0.0	
brca	E2F3_UP.V1_UP	1.0	1.0	0.0	
brca	RELA_DN.V1_DN	0.4450787905412822	1.0	1.727157001414427	IL2RG
brca	MEL18_DN.V1_DN	0.22335375583982556	1.0	2.297169811320755	ATXN3,EPHA3
brca	ESC_V6.5_UP_EARLY.V1_UP	0.6186212766365007	1.0	1.0474386569091692	STIM1
brca	GCNP_SHH_UP_EARLY.V1_UP	1.0	1.0	0.0	
brca	MEL18_DN.V1_UP	0.5641508957544499	1.0	1.2183218321832183	TGFB2
brca	PTEN_DN.V1_DN	0.6056711965517404	1.0	1.0855409865310854	FMNL1
brca	ESC_J1_UP_EARLY.V1_UP	1.0	1.0	0.0	
brca	AKT_UP.V1_UP	0.6462393680037146	1.0	0.9706962631747046	GAK
brca	RAPA_EARLY_UP.V1_DN	1.0	1.0	0.0	
brca	PKCA_DN.V1_DN	0.18430046084130555	1.0	2.6210752688172043	CD79B,NFKBIZ
brca	KRAS.KIDNEY_UP.V1_UP	1.0	1.0	0.0	
brca	ATF2_UP.V1_UP	1.0	1.0	0.0	
brca	ESC_V6.5_UP_EARLY.V1_DN	0.6154237893793182	1.0	1.0567135660934515	CAMK4
brca	RAF_UP.V1_DN	0.6931138432214978	1.0	0.8524682255459588	TGFB2
brca	DCA_UP.V1_UP	1.0	1.0	0.0	
