GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
MYC_UP.V1_UP	brca	0.914453394988	0.997930693549	0.00154672745034	AMPD2,CHKA,DENND2D,PPRC1,PRMT3,PRR3,RPTOR,RRP12,SLC25A15,UTP14A	0.678460448127	10	1411	156	14934
PDGF_UP.V1_UP	brca	0.751472013019	0.997930693549	0.00277597722853	CHKA,CLDND1,FAM98A,GNL1,MBTPS1,MPI,RAB35,SLC39A7,TFIP11,VPS39	0.835002818128	10	1411	127	14963
BMI1_DN.V1_DN	brca	0.931689718346	0.997930693549	0.00136492519305	BMI1,CHL1,PDCD4,PDE4B,PLEKHA4,PNMAL1,SUCLG2	0.612429424761	7	1414	121	14969
SIRNA_EIF4GI_UP	brca	0.00500614430807	0.946161274225	0.00334690280342	ADSL,C12orf11,CSE1L,CTSC,CTSH,GIN1,GSS,HADHB,HSPD1,MIA3,MTO1,NCAPD2,PSAP,PYGL,RMND1,UBE2E1	2.24970968346	16	1405	76	15014
CYCLIN_D1_KE_.V1_UP	brca	0.720261212099	0.997930693549	0.00243852875432	ARCN1,ASNS,CHKA,DAP,DMWD,GLB1,INPP5A,LMF2,MALL,RGS3,SMTN,STAM,THOP1	0.872572640967	13	1408	158	14932
STK33_NOMO_UP	brca	0.568837966956	0.997930693549	0.00224658763391	ADAMDEC1,ASPH,COQ10B,FBXO32,FNDC3A,GLIPR1,GPNMB,GPR137B,ICAM1,IFI16,IL1R2,JAKMIP2,KCTD3,KIAA1467,MERTK,PLAU,SDC4,SGPL1,SQSTM1,STX6,TNFSF15,UBE2W,WBP2,ZNF222	0.979901987776	24	1397	260	14830
PRC1_BMI_UP.V1_DN	brca	0.953833707266	0.997930693549	0.00200721061648	CACNA2D3,IDO1,KIAA0319L,LIME1,NEIL1,NIN,PAX6,ZNF117	0.591787547202	8	1413	143	14947
CSR_EARLY_UP.V1_UP	brca	0.627593175915	0.997930693549	0.00183397683398	AMD1,BCAR3,DNAJA1,ELL,IL11,NET1,NT5E,PAPD7,PTPN1,PXN,RIPK2,SMTN,UGDH	0.938558093692	13	1408	147	14943
MTOR_UP.V1_DN	brca	0.328313160124	0.997930693549	0.00237984289708	CTNS,FBXO32,ICOSLG,IFT172,KCNH3,KIAA1274,LTBP1,MAX,MESP2,NR1D1,PDE4B,PLTP,PRDM4,PTPRS,SH2D1B,SIX5,SLC6A20	1.15167310868	17	1404	157	14933
CYCLIN_D1_UP.V1_UP	brca	0.461345438036	0.997930693549	0.00333767502442	ARCN1,BMP1,CTF1,DMWD,DVL1,GLB1,GNL1,KIAA0090,MALL,MYL6,NCSTN,SMTN,SYN1,TAP1,WNT10B	1.05548123934	15	1406	151	14939
HINATA_NFKB_IMMU_INF	brca	0.436837888438	0.997930693549	0.00442879854645	ICAM1,IRF1	1.41649048626	2	1419	15	15075
TGFB_UP.V1_DN	brca	0.727914864942	0.997930693549	0.00139175720571	AP1AR,DDX58,FBXL15,FCN3,GCH1,GOLPH3L,IRF1,KIAA1467,MRM1,RBM47,SKP2,SLC35A1,TBC1D22B	0.867026693825	13	1408	159	14931
MTOR_UP.N4.V1_DN	brca	0.803086714137	0.997930693549	0.00205709222103	ANGEL2,BAALC,EFHC1,GALNT6,GALNT7,ING4,PBXIP1,PDCD4,PLCL1,SUV420H1,TRIOBP,ZNF117,ZNF277	0.810327540107	13	1408	170	14920
IL2_UP.V1_UP	brca	0.704553272972	0.997930693549	0.00237029083183	ADAM19,C19orf28,DGKG,DHRS3,FAM57A,HOXA11,KIF21B,PIM1,RGS3,SLC1A5,SPP1,TNFSF14,TRIB1	0.883877840909	13	1408	156	14934
DCA_UP.V1_UP	brca	0.182028427757	0.997930693549	0.00228997470377	ADAM19,BTN3A1,CLPB,CYP2B7P1,EFS,GABRB2,INO80B,INSL3,ITGA8,OXCT2,PIGV,PTPRT,SERPINA1,TTLL3,VPS39,ZNF117	1.32073160639	16	1405	129	14961
KRAS.AMP.LUNG_UP.V1_DN	brca	0.62391569957	0.997930693549	0.00166962329124	CD300A,CD34,CHL1,CTF1,DGKQ,HBA1,LILRA4,TBXAS1,WDR33	0.936593901016	9	1412	102	14988
DCA_UP.V1_DN	brca	0.466045400177	0.997930693549	0.00233528459335	ACIN1,C19orf28,C2orf18,DHX57,GPR137B,KCTD3,LRRC14,MFGE8,NR4A1,PPP1R13B,SLC29A3,TNRC18,VPS52,ZKSCAN4	1.05493807558	14	1407	141	14949
CRX_NRL_DN.V1_UP	brca	0.834442740224	0.997930693549	0.00260301284891	ARHGAP10,ATP8A2,CAMK1D,CCDC107,DHRS3,KIAA0427,PIP4K2C,RNF123	0.74377025366	8	1413	114	14976
PIGF_UP.V1_DN	brca	0.436273675731	0.997930693549	0.00355618776671	AK3L1,AURKC,BCAM,CTF1,DHCR24,DOLPP1,FCN2,KCNQ3,NOS1AP,NUCB1,PIP5K1A,PXN,SDC4,TTLL3	1.07808782176	14	1407	138	14952
P53_DN.V2_DN	brca	0.952251550746	0.997930693549	0.00114221364221	ADAM11,ELAVL2,FAAH,HOXA11,NOL3,SREBF1	0.557039241213	6	1415	114	14976
IL21_UP.V1_DN	brca	0.782217516833	0.997930693549	0.00184150716066	CACNA2D3,CD40LG,CHGB,CNTN2,CORO2A,DGKQ,ECHDC3,FES,MTL5,SLC17A5	0.809290146667	10	1411	131	14959
CTIP_DN.V1_UP	brca	0.357630633981	0.997930693549	0.00260292395124	CD34,COL1A2,EFS,MTL5,OXCT2,PCDHA5,SALL2,SLC16A4,ZNF20	1.19591005666	9	1412	80	15010
CTIP_DN.V1_DN	brca	0.476769796925	0.997930693549	0.00195682695683	ADAM15,BCAM,CTF1,EPB41L3,FMO5,HIBADH,INSL3,MAPK11,OXNAD1,TTLL3	1.06236711552	10	1411	100	14990
MTOR_UP.V1_UP	brca	0.147140886927	0.997930693549	0.00328828828829	AK3L1,COQ4,DHCR24,GCH1,GSS,HMGCS1,IDH3A,IDI1,INTS3,MCM5,PFKP,PPAN,PYGL,SC4MOL,SP100,TMEM53,TPH1	1.36167876957	17	1404	133	14957
BMI1_DN.V1_UP	brca	0.41945285099	0.997930693549	0.00227771450793	ASPH,CLSPN,CTNS,DHRS3,FAM57A,FES,FLNB,MFGE8,NT5E,SLC1A4,SLC1A5,TAP1,TGFB2	1.0965232684	13	1408	126	14964
BMI1_DN_MEL18_DN.V1_UP	brca	0.262725467278	0.997930693549	0.00239151731689	ABLIM3,ADAM19,APBB2,ASPH,DUSP10,FAM189A1,KIF21B,NT5E,PIM1,PLEKHO1,SLC1A4,TGFB2,WEE1,ZC3H12A	1.24129353234	14	1407	120	14970
PTEN_DN.V1_UP	brca	0.977780067681	0.997930693549	0.00169884169884	ASPN,EMID2,HOXD1,MX2,PCDHA5,SHC2,ZNF613	0.517447898636	7	1414	143	14947
PKCA_DN.V1_UP	brca	0.80457851971	0.997930693549	0.00288838456777	ARSG,CASP6,GALNT6,NECAB2,PHKA1,SCOC,SGK3,SLC6A20,SPNS2	0.782009009427	9	1412	122	14968
ESC_V6.5_UP_EARLY.V1_UP	brca	0.580247872505	0.997930693549	0.0037665037665	ARAP1,ARHGAP27,ENG,HDAC11,MBOAT1,NARF,PARP6,PHF21A,RNF123,STIM1,VEGFB,VPS39	0.972526668798	12	1409	131	14959
YAP1_DN	brca	0.178818315655	0.997930693549	0.00261996690568	ITGBL1,LCA5L,LONRF2,SLC9A1,UGT2B4	1.77259887006	5	1416	30	15060
PTEN_DN.V2_UP	brca	0.954717735825	0.997930693549	0.00186668368487	APOL3,CLPB,GPM6A,LOXL2,PLAU,RTN1	0.5521585497	6	1415	115	14975
SNF5_DN.V1_DN	brca	0.810131316005	0.997930693549	0.00207029689788	ATP8A2,CD99L2,CP,GATAD2A,IL11,NFKBIZ,SPEG,TMEM53,TPD52L1,WFIKKN1	0.78510118907	10	1411	135	14955
KRAS.AMP.LUNG_UP.V1_UP	brca	0.541712670208	0.997930693549	0.00218230653013	CLSTN3,FAM174B,GPR68,JAK3,SPP1,TTLL3,ZNF257,ZNF835	1.01142452735	8	1413	84	15006
KRAS.KIDNEY_UP.V1_UP	brca	0.482195559854	0.997930693549	0.00266630799418	CHGB,CP,EPB41L3,GPM6A,GPNMB,ITGBL1,PLCL1,PLP1,RTN1,SCG3,SIGLEC15	1.05276979107	11	1410	111	14979
LEF1_UP.V1_DN	brca	0.137286254157	0.997930693549	0.00266387696555	ACSL5,ATP2A1,CTSH,DDX58,ELL3,ENC1,FBXL15,GDE1,HDHD1A,HERC6,KIAA0319L,MANBA,MFGE8,OPN3,PIAS3,RBM47,SEMA3F,SLC6A20,TMEM53,TNFSF15	1.34055189689	20	1401	159	14931
CAHOY_ASTROCYTIC	brca	0.277696973114	0.997930693549	0.00284385768257	APP,ASNS,COX10,IMPA2,LGI4,MERTK,MFGE8,PTPLAD1,RNF24,SCG3	1.28141196964	10	1411	83	15007
