Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Patients_affected
kirp	81669	CCNL2	uc001afh.2	uc001afg.1	A5QZT,A5DJT
kich	9651	PLCH2	uc001ajl.1	uc001ajk.1	8639T,8431T,8406T,8332T,8411T,8414T,8423T,8422T,8410T,8333T,8436T,8417T,8425T,8328T
kirp	9651	PLCH2	uc001ajl.1	uc001ajk.1	5901T,6797T,7130T,7287T,A4JJT,8121T,3473T
kirp	9659	PDE4DIP	uc001emb.1	uc001elv.3	A6M9T,A5NIT,A656T,A6HPT
kirc	9659	PDE4DIP	uc001emb.1	uc001elv.3	4821T,3426T,4891T,4761T,4873T,5400T
kirp	645676	LOC645676	uc001fkv.2	uc010pge.1	8518T,A55ZT
lusc	163590	TOR1AIP2	uc001gnn.2	uc001gnl.2	A5MIT,6722T,6845T
lihc	23612	PHLDA3	uc001gwq.2	uc009wzx.2	5259T,A4ZPT,A3A7T,A3CJT
hnsc	51182	HSPA14	uc001inf.2	uc001ind.2	4731T,5326T,4228T,6011T,6960T
kirc	341019	DCDC1	uc001msv.2	uc001msu.1	4860T,5186T,3382T,4163T
brca	51111	SUV420H1	uc001onp.2	uc009yse.1	A03OT,A03NT,A08BT,A423T,A5PVT,A3HOT
hnsc	9724	UTP14C	uc001vgb.2	uc001vga.2	A61ST,A463T,A61ET,6954T,4075T
lusc	9724	UTP14C	uc001vgb.2	uc001vga.2	5234T,5131T,2744T,4130T,3406T
luad	9724	UTP14C	uc001vgb.2	uc001vga.2	5428T,4506T,4488T,7661T
kirp	8681	JMJD7-PLA2G4B	uc001zon.2	uc010bco.2	4113T,A6GET,A5DUT
kirp	117166	WFIKKN1	uc002chs.1	uc002cht.1	A5DJT,A5QZT,A654T,7286T,A7VFT
brca	117166	WFIKKN1	uc002chs.1	uc002cht.1	A6FRT,A23GT,A5YMT,A0RHT,A3XVT
kirp	90586	LOC90586	uc002ibw.1	uc002ibx.2	7828T,7332T,A5Z9T,5903T,A856T
kich	90586	LOC90586	uc002ibw.1	uc002ibx.2	8342T,8329T
kirp	388389	CCDC103	uc002iho.2	uc002ihp.1	3472T,5560T,3466T
hnsc	55009	C19orf24	uc002lrx.3	uc002lrw.3	6871T,5149T,6470T,6433T
kirp	9170	LPAR2	uc002nnb.3	uc002nna.3	A6GDT,7966T,A4JJT,A5NJT
kirp	199777	ZNF626	uc002npd.1	uc002npc.1	A47NT,5560T,A654T,7332T,3472T,A898T,A55ZT,A6HPT
brca	199777	ZNF626	uc002npd.1	uc002npc.1	A576T,A54NT,A570T,A138T,A423T,A1J6T,A0CKT,A0JBT
kirc	83636	C19orf12	uc002nsj.2	uc002nsl.2	4696T,4697T,4868T,4821T
lihc	83636	C19orf12	uc002nsj.2	uc002nsl.2	A7K2T,A3A7T,A119T,A39VT,A495T
kirp	83636	C19orf12	uc002nsj.2	uc002nsl.2	A7SPT,A47NT,A5DJT,A6GET,A6HPT
luad	151354	FAM84A	uc002rbz.1	uc002rca.1	A492T,A46VT,7166T,7725T,7158T,A472T,A4TAT,A4BDT,7283T
kirp	151354	FAM84A	uc002rbz.1	uc002rca.1	A5NLT,A47NT,A5NIT,A5NJT,A4TMT,A856T,5885T,5902T,A55ZT,3466T,A71RT,A44BT,7056T,A6HPT,A40UT,8310T,7997T,A6GDT,4113T,3472T,5560T,4115T,5561T,7732T,8311T,7173T,5890T,7058T,3471T,8500T
kirc	151354	FAM84A	uc002rbz.1	uc002rca.1	3367T,4981T,4873T,4852T,4355T,4876T,5989T,4351T,4353T,4875T,4691T,5001T,4872T,4352T,4843T,4714T,4697T,4636T,4960T,A564T,4988T,4340T,4822T,4824T,4833T,4847T,4335T,3325T,4813T,5077T,4969T,4912T,4811T,4971T,3426T,3324T,4332T,4814T,5010T,4164T,5986T,5107T,5094T,4989T,4718T,5085T,A54FT,5843T,A54ET,A4VXT,4337T,A54DT,3365T,4992T,3458T,4828T,4815T,4146T,5465T,5199T,5100T,4821T
kirc	2778	GNAS	uc002xzx.2	uc002xzt.2	5095T,4986T,4703T,4326T,6097T,5097T,5633T,3382T,4338T,5096T
kich	1292	COL6A2	uc002zhz.1	uc002zic.1	8328T,8415T,8327T
lusc	644186	C22orf41	uc003bmj.3	uc010hbe.2	4599T,6546T,8287T,7021T,2697T,3408T
kich	644186	C22orf41	uc003bmj.3	uc010hbe.2	8419T,8337T,8425T,8336T,8431T,8326T,8416T
hnsc	644186	C22orf41	uc003bmj.3	uc010hbe.2	6962T,6935T,7416T,7255T,8635T,7406T,7250T,7261T,7437T
lusc	386593	CHKB-CPT1B	uc003bmu.2	uc003bmp.2	4583T,2795T,5592T,2710T,8150T,8148T,8139T,5595T,8144T
brca	386593	CHKB-CPT1B	uc003bmu.2	uc003bmp.2	A0BVT,A1J1T,A5RZT,A5DCT,A0B8T,A082T,A09ET
kirc	25890	ABI3BP	uc003duo.2	uc003dum.2	5191T,5696T,4833T,4822T,5100T,4968T,4819T,4875T,4849T,A4VZT,3383T,3451T,4839T,4873T,4813T,4167T,3426T,4847T
kirp	25890	ABI3BP	uc003duo.2	uc003dum.2	A562T,7173T,A656T,A6HPT,A654T,A7VFT
kirp	389170	LEKR1	uc003faz.1	uc003fba.1	A5Y1T,5876T
